number,duration,params_C,params_a,params_b,params_gamma,params_max_iter,params_n_estimators
0,0 days 00:08:25.991682,0.03585167712801188,0.7172870794572048,0.5056159852240019,0.4641602472394929,10,27
1,0 days 00:06:12.094677,0.007294339471253945,0.22314667349203604,0.29841313151936955,0.30758217368593677,10,19
2,0 days 00:05:00.179888,0.19823841237624357,0.9491099665752403,0.890673110763148,0.38181930299541766,10,15
3,0 days 00:08:20.976476,9554.944082079852,0.32100797341346965,0.1286244209364507,0.528969224622957,10,27
4,0 days 00:09:23.483947,0.004832812107980142,0.2917309808342656,0.36060051456176173,0.039043666606087934,10,32
5,0 days 00:12:03.169104,0.01621155932483293,0.9680996334333773,0.25743488939579184,0.7978438263474005,10,42
6,0 days 00:03:51.823972,0.00023299295098796333,0.8260912911308651,0.6793275298375059,0.30718982111738014,10,11
7,0 days 00:10:46.975881,0.08514823618185219,0.29427171123064033,0.8361717646052874,0.6720164288903617,10,37
8,0 days 00:08:04.042750,0.0037328151453954812,0.6379061016246069,0.1518257646615958,0.30391034412529927,10,26
9,0 days 00:06:27.961045,37.50729730682259,0.18481599388009481,0.1452627758597746,0.6283219133520438,10,20
