,acc,bal_acc,roc,eq_loss,eod,spd,tpr_min,tpr_max,tpr_mean,pr_min,pr_max,pr_mean,bal_acc_min,bal_acc_max,bal_acc_mean
0,0.75,0.7642857142857142,0.8357142857142856,-0.16694642120009007,0.029966703662597016,0.004761904761904745,0.7058823529411765,0.7358490566037735,0.720865704772475,0.5666666666666667,0.5714285714285714,0.569047619047619,0.660633484162896,0.8385127635960044,0.7495731238794502
1,0.69,0.6452380952380952,0.6619047619047619,-0.5367209139034803,0.010000000000000009,-0.02573529411764708,0.75,0.76,0.755,0.6617647058823529,0.6875,0.6746323529411764,0.5833333333333334,0.6855555555555556,0.6344444444444445
2,0.63,0.6309523809523809,0.6969047619047619,0.018758922299608516,-0.040000000000000036,-0.04908835904628328,0.6,0.64,0.62,0.5161290322580645,0.5652173913043478,0.5406732117812061,0.6181818181818182,0.6357894736842105,0.6269856459330143
3,0.61,0.6452380952380952,0.7109523809523809,-0.09746842614720341,-0.15209790209790208,-0.12139219015280134,0.46153846153846156,0.6136363636363636,0.5375874125874126,0.39473684210526316,0.5161290322580645,0.45543293718166383,0.6057692307692308,0.6679292929292929,0.6368492618492618
4,0.75,0.7833333333333333,0.8266666666666667,0.1946651377720357,-0.044871794871794934,-0.01572805682394729,0.6666666666666666,0.7115384615384616,0.6891025641025641,0.5185185185185185,0.5342465753424658,0.5263825469304921,0.7222222222222222,0.8081501831501832,0.7651862026862026
5,0.3,0.5,0.7071428571428572,-0.04429551699017309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5
6,0.73,0.7214285714285714,0.7266666666666667,-0.1933239615462642,0.15000000000000002,0.16320166320166318,0.7,0.85,0.7749999999999999,0.5675675675675675,0.7307692307692307,0.6491683991683992,0.7041666666666666,0.7583333333333333,0.73125
7,0.67,0.7071428571428572,0.7942857142857143,-0.07333400482977248,0.079059829059829,0.06240487062404876,0.5555555555555556,0.6346153846153846,0.5950854700854701,0.4444444444444444,0.5068493150684932,0.4756468797564688,0.6666666666666667,0.7220695970695971,0.6943681318681318
8,0.81,0.7976190476190477,0.8495238095238095,-0.23128588345380507,-0.09999999999999998,-0.03973819541841983,0.8,0.9,0.8500000000000001,0.6376811594202898,0.6774193548387096,0.6575502571294998,0.7947368421052632,0.8136363636363637,0.8041866028708134
9,0.75,0.6785714285714286,0.83,0.11442267105497483,-0.07999999999999996,-0.10518934081346432,0.8,0.88,0.8400000000000001,0.6774193548387096,0.782608695652174,0.7300140252454418,0.6727272727272727,0.6768421052631579,0.6747846889952154
