,pr_0,tpr_0,bal_acc_0,roc_0,pr_1,tpr_1,bal_acc_1,roc_1,tpr,bal_acc,roc
0,0.3802521008403361,0.5403225806451613,0.6670911148839842,0.724541949632145,0.6056910569105691,0.7315436241610739,0.6595862450702277,0.7179824257939529,0.6120906801007556,0.672199186204224,0.7248595233481885
1,0.5272331154684096,0.6720647773279352,0.6567871056450997,0.7040714995034758,0.7224334600760456,0.86,0.6600884955752212,0.7399705014749263,0.743073047858942,0.6607672931602402,0.7143228056578184
2,0.406570841889117,0.5708661417322834,0.6716991652867426,0.7186053191848873,0.548936170212766,0.6713286713286714,0.6563165095773791,0.7200896929157798,0.6070528967254408,0.6712187560550281,0.7238519666731253
3,0.5463917525773195,0.7290076335877863,0.6985845342826824,0.7375825830965665,0.6371308016877637,0.746268656716418,0.6255615128242284,0.6570062309810172,0.7348484848484849,0.6757064510131995,0.7130120220611018
4,0.4171907756813417,0.6074380165289256,0.6930807103921224,0.7580974151573766,0.48360655737704916,0.5974025974025974,0.6542568542568543,0.6818181818181818,0.6035353535353535,0.6817676767676768,0.7393162393162394
5,0.4492753623188406,0.5846774193548387,0.6391472203157172,0.6921585449553876,0.542016806722689,0.6418918918918919,0.6320570570570571,0.6665915915915916,0.6060606060606061,0.63995337995338,0.6915034965034965
6,0.44171779141104295,0.5992217898832685,0.6659902052864618,0.7387377566080773,0.5474137931034483,0.6402877697841727,0.6158428096232691,0.6683298522472345,0.6136363636363636,0.6529720279720279,0.718982128982129
7,0.5096774193548387,0.6995884773662552,0.6988933377822266,0.7533088644199756,0.7578125,0.8300653594771242,0.5897899612919602,0.6670791293863823,0.75,0.6688461538461539,0.7303069153069153
8,0.34408602150537637,0.48497854077253216,0.6411961669379902,0.7275880568299541,0.53125,0.6380368098159509,0.6469753941552873,0.6899531631374101,0.547979797979798,0.6524514374514374,0.7242152292152293
9,0.6072874493927125,0.7032258064516129,0.6287868162692847,0.6753506311360449,0.4282700421940928,0.5726141078838174,0.6468220754011362,0.7120812779370649,0.6237373737373737,0.6487917637917637,0.7083760683760684
