number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_multiplier_learning_rate,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda
0,0 days 00:00:21.456045,0.3677811458900251,0.13068116069549005,5,0.031629485750261366,1294,51,0.03481410351917468,0.0074249082318150125
1,0 days 00:00:04.410898,0.16393245237809825,0.10716624725460688,3,0.16004016494233675,296,18,0.003860866271460547,0.005059803874660437
2,0 days 00:00:05.157141,0.5153314260276387,0.10289760686796066,7,0.10957948710049177,324,10,0.04074144654166233,0.08626905220714905
3,0 days 00:00:35.315457,0.5262403774119917,0.05717750592377516,2,0.013733744820021066,2590,13,0.0040937346448417416,0.018873257833005645
4,0 days 00:00:06.927759,0.4478400830132757,0.014994186195971983,4,0.0194646587780028,436,54,0.0009384756816024662,0.00028120601211200735
5,0 days 00:00:53.931327,0.2893443049664568,0.08084238393690422,3,0.07456241820636361,3734,28,0.0001515920461138471,0.01000691351354558
6,0 days 00:00:06.779171,0.2879890804853512,0.05518780254129612,14,0.013575735243004695,367,20,0.0020692098656538366,0.09228295957427446
7,0 days 00:00:08.685348,0.7072770900331187,0.03460237931022213,10,0.027526946935917413,405,44,0.002655171066269987,0.007422159849037686
8,0 days 00:00:10.675851,0.18648856710456677,0.03018022736113482,5,0.12308112562031265,646,60,0.029038868465087953,0.00019557071673386754
9,0 days 00:01:37.002613,0.9816280559314556,0.011816435472502053,15,0.03755598508892557,4659,29,0.0022567198219888883,0.00011480557979954698
10,0 days 00:00:11.372245,0.8785923051748464,0.13980591376496243,4,0.054366036037476986,733,30,0.05684684928527875,0.00044716356807505644
11,0 days 00:00:16.672534,0.6824567261687999,0.012827199399642279,3,0.12471316823476496,1148,82,0.000681013441437539,0.00010667683314888581
12,0 days 00:00:53.889310,0.7100348831166071,0.057952332585191925,16,0.010141657867337398,3108,18,0.00011490069048873207,0.03067750867937879
13,0 days 00:00:14.315203,0.6750289686081816,0.03662020451495661,15,0.14647814095091796,561,54,0.018548982077619486,0.0015427474110183135
14,0 days 00:00:47.900845,0.4568551667622862,0.12624176896733896,2,0.11449206114640606,3613,47,0.012544051430643325,0.0007803884850277913
15,0 days 00:01:04.034464,0.6795911793066737,0.07961673646486228,16,0.1753450406750194,3501,38,0.01498866107685078,0.0031913405152468204
16,0 days 00:00:17.950366,0.4858918308511896,0.024680723261944783,8,0.06368785335306613,889,40,0.009561380741535596,0.0007417077580505225
