model,thresh,mse,max_mse,duration
0,0.5,0.023896667367404433,0.026573426334083588,0 days 00:00:06.092696
1,0.5,0.021974020384254344,0.02452816987085654,0 days 00:00:06.118369
2,0.5,0.02551763259886292,0.029280030668333238,0 days 00:00:02.505539
3,0.5,0.030876294740654016,0.03802874406315521,0 days 00:00:04.297151
4,0.5,0.027929007563729246,0.0332444131512506,0 days 00:00:05.348065
5,0.5,0.02580091846803371,0.029642807740801864,0 days 00:00:07.474080
6,0.5,0.02996260254374698,0.03652332951521205,0 days 00:00:01.627370
7,0.5,0.018972688687720694,0.02120476930854753,0 days 00:00:01.815327
8,0.5,0.02491605947911895,0.028273608350967386,0 days 00:00:04.456054
9,0.5,0.02912829149979362,0.03519778719092427,0 days 00:00:02.738101
10,0.5,0.024580355755014223,0.027569251182978233,0 days 00:00:01.616836
11,0.5,0.031088087058117532,0.03838591070320229,0 days 00:00:01.941260
12,0.5,0.024036407749051285,0.026828778937938908,0 days 00:00:04.258519
13,0.5,0.024456193180621928,0.02745148938964166,0 days 00:00:01.110942
14,0.5,0.01977296132476601,0.022246440315156032,0 days 00:00:01.152249
15,0.5,0.023102927628284534,0.025692224420384054,0 days 00:00:01.297982
16,0.5,0.030957804001874763,0.03812921415244647,0 days 00:00:02.091264
17,0.5,0.03114431274946787,0.038574509541626036,0 days 00:00:00.719459
18,0.5,0.022246197507584088,0.02496501322087836,0 days 00:00:03.682237
19,0.5,0.02266461737460369,0.0253695689125916,0 days 00:00:10.210522
20,0.5,0.023731983478386946,0.02634090850903945,0 days 00:00:01.588292
21,0.5,0.02053898610721482,0.0228872521111786,0 days 00:00:01.145974
22,0.5,0.026938327804371918,0.031512908286197176,0 days 00:00:01.691908
23,0.5,0.02343519484095918,0.026105900718929098,0 days 00:00:01.208632
24,0.5,0.02301822429224632,0.025765293851294467,0 days 00:00:01.766214
25,0.5,0.023245758492879832,0.02599577091452344,0 days 00:00:06.537680
26,0.5,0.024604133854950416,0.02707944280430095,0 days 00:00:02.281068
27,0.5,0.02355570172585464,0.026302540966664227,0 days 00:00:04.738208
28,0.5,0.02360782638440347,0.026236737268944814,0 days 00:00:00.774760
29,0.5,0.023269339117547715,0.025968082557313813,0 days 00:00:10.503669
30,0.5,0.030852184528576358,0.037982420297552735,0 days 00:00:06.382274
31,0.5,0.02601945176099813,0.030056905905628938,0 days 00:00:01.142987
32,0.5,0.030570172054036605,0.03755321032306801,0 days 00:00:06.048787
33,0.5,0.023787036752799768,0.02630168244937882,0 days 00:00:01.918944
34,0.5,0.021117399294146,0.02372303186079922,0 days 00:00:01.586779
35,0.5,0.02315700272193965,0.02584446486588207,0 days 00:00:01.823687
