,acc,bal_acc,roc,eq_loss,eod,spd,tpr_min,tpr_max,tpr_mean,pr_min,pr_max,pr_mean,bal_acc_min,bal_acc_max,bal_acc_mean
0,0.7,0.6619047619047619,0.7757142857142858,-0.18718333205115267,-0.1653718091009989,-0.10476190476190472,0.7169811320754716,0.8823529411764706,0.799667036625971,0.6285714285714286,0.7333333333333333,0.680952380952381,0.6719457013574661,0.6820199778024417,0.676982839579954
1,0.67,0.611904761904762,0.7066666666666667,-0.05261153702354915,0.15000000000000002,0.1875,0.65,0.8,0.7250000000000001,0.5625,0.75,0.65625,0.5944444444444444,0.6166666666666667,0.6055555555555556
2,0.63,0.6595238095238095,0.6835714285714285,0.01590563217995944,0.020000000000000018,-0.008882655446470322,0.58,0.6,0.59,0.4838709677419355,0.4927536231884058,0.48831229546517063,0.6584210526315789,0.6636363636363636,0.6610287081339712
3,0.74,0.7095238095238094,0.7661904761904763,-0.10573729374010143,-0.14860139860139865,-0.17317487266553477,0.6923076923076923,0.8409090909090909,0.7666083916083917,0.5526315789473685,0.7258064516129032,0.6392190152801358,0.6982323232323233,0.7211538461538461,0.7096930846930847
4,0.68,0.6857142857142857,0.8114285714285714,0.16777043089973864,0.06837606837606836,0.09538305428716387,0.6538461538461539,0.7222222222222222,0.688034188034188,0.5342465753424658,0.6296296296296297,0.5819381024860477,0.6388888888888888,0.7078754578754578,0.6733821733821733
5,0.3,0.5,0.5,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5
6,0.7,0.6523809523809524,0.7057142857142857,-0.31999653652698623,0.10999999999999999,0.06860706860706856,0.74,0.85,0.7949999999999999,0.6621621621621622,0.7307692307692307,0.6964656964656964,0.62,0.7583333333333333,0.6891666666666667
7,0.57,0.6452380952380953,0.7226190476190477,-0.027104017729368213,0.09188034188034189,0.0502283105022831,0.3888888888888889,0.4807692307692308,0.43482905982905984,0.3333333333333333,0.3835616438356164,0.35844748858447484,0.5833333333333334,0.6689560439560439,0.6261446886446886
8,0.75,0.7642857142857142,0.8409523809523809,-0.17178238490533915,-0.030000000000000027,-0.015427769985974837,0.72,0.75,0.735,0.5652173913043478,0.5806451612903226,0.5729312762973352,0.7386363636363636,0.7810526315789473,0.7598444976076555
9,0.44,0.580952380952381,0.5809523809523809,0.016185350857164882,0.09999999999999998,0.06638616175783077,0.2,0.3,0.25,0.15942028985507245,0.22580645161290322,0.19261337073398782,0.5736842105263158,0.6045454545454545,0.5891148325358851
