acc,bal_acc,roc,eq_loss,eod,spd,tpr_min,tpr_max,tpr_mean,pr_min,pr_max,pr_mean,bal_acc_min,bal_acc_max,bal_acc_mean
0.77,0.7404761904761905,0.831904761904762,0.6094170071181497,0.5,0.75,0.5,1.0,0.8225694444444445,0.25,1.0,0.6472886029411764,0.47916666666666663,1.0,0.7633680555555555
0.63,0.6785714285714286,0.7211904761904763,0.2814998872615736,0.6666666666666666,0.5714285714285714,0.0,0.6666666666666666,0.5055555555555555,0.0,0.5714285714285714,0.39074675324675323,0.0,0.8333333333333333,0.6213789682539683
0.72,0.6,0.7885714285714286,0.8945209902278334,0.25,0.33333333333333337,0.75,1.0,0.913888888888889,0.6666666666666666,1.0,0.8675152972027972,0.45,1.0,0.629563492063492
0.74,0.6619047619047619,0.7304761904761904,1.1214218048775868,1.0,0.6,0.0,1.0,0.7582792207792208,0.4,1.0,0.7498665845648604,0.0,1.0,0.6071902056277056
0.76,0.7333333333333334,0.8566666666666666,0.19146154871944548,0.5,0.3125,0.5,1.0,0.7782876845376845,0.5,0.8125,0.658705357142857,0.5,0.875,0.7242628898878898
0.73,0.7119047619047618,0.7866666666666667,0.639998114805662,0.5,0.5555555555555556,0.5,1.0,0.7854395604395604,0.4444444444444444,1.0,0.6741663855150697,0.5,1.0,0.7427197802197802
0.65,0.6261904761904762,0.700952380952381,1.5773073489927785,0.42105263157894735,0.5,0.5789473684210527,1.0,0.7607498313090418,0.5,1.0,0.6567460317460317,0.48947368421052634,1.0,0.7298540823211876
0.69,0.7119047619047619,0.7657142857142857,0.7996287806953789,0.6071428571428571,0.5476190476190477,0.25,0.8571428571428571,0.6239697802197801,0.2857142857142857,0.8333333333333334,0.5638983944904997,0.375,0.8809523809523809,0.6468807234432234
0.77,0.7404761904761905,0.7957142857142857,1.28691220827252,0.33333333333333337,0.5,0.6666666666666666,1.0,0.870248538011696,0.5,1.0,0.7239583333333333,0.5,1.0,0.738249269005848
0.69,0.6547619047619048,0.7228571428571429,0.23596968239027644,0.4666666666666667,0.5652173913043479,0.5333333333333333,1.0,0.7977182539682539,0.43478260869565216,1.0,0.6913427755819059,0.5714285714285714,1.0,0.7269841269841271
