,acc,roc,eq_loss,eod,spd
0,0.75,0.6912,0.3704387901211846,0.04081632653061229,0.06451612903225812
1,0.74,0.787878787878788,0.1478279902087034,0.13157894736842102,0.25
2,0.81,0.8244047619047619,0.6522161187265186,0.040000000000000036,0.33333333333333337
3,0.64,0.5,0.4454270985480003,0.0,0.0
4,0.7,0.7311507936507936,0.49522347956945234,0.125,0.1311475409836066
5,0.76,0.7853881278538812,0.5148678574487873,0.25,0.25
6,0.72,0.7847127996381729,0.3401227731179988,0.04878048780487809,0.16666666666666663
7,0.77,0.8209030948756976,0.402418910467984,0.15918367346938767,0.4285714285714286
8,0.71,0.6998542982030111,0.9597999431477784,0.23076923076923073,0.25
9,0.82,0.7785204991087343,0.608007092452962,0.09523809523809523,0.2678571428571429
