,acc,roc,eq_loss,eod,spd
0,0.58,0.7061333333333333,-0.2477455218745872,0.06020066889632103,0.0954861111111111
1,0.73,0.8073270013568521,-0.008759875212779766,0.04748062015503873,0.11631944444444442
2,0.82,0.8993055555555555,0.14912715257466086,-0.05555555555555547,-0.13970588235294112
3,0.72,0.782986111111111,0.05820422852467455,0.048309178743961345,-0.052360916316035566
4,0.77,0.7708333333333334,0.03514526628863529,0.08363636363636362,-0.06373626373626373
5,0.76,0.8168442415017757,-0.08351086652306561,0.015151515151515138,-0.11184210526315785
6,0.7,0.7725011307100859,-0.045195273921950385,-0.03287981859410427,-0.21178120617110796
7,0.77,0.8249619482496194,-0.1689190856893273,0.2729044834307992,0.27302477793361385
8,0.67,0.6600291403593977,0.040134635912489336,-0.10119047619047628,-0.05594405594405594
9,0.79,0.8226381461675578,-0.05283510033582667,-0.10576923076923073,0.05514705882352944
