,acc,bal_acc,roc,eq_loss,eod,spd,tpr_min,tpr_max,tpr_mean,pr_min,pr_max,pr_mean,bal_acc_min,bal_acc_max,bal_acc_mean
0,0.7,0.7095238095238094,0.8028571428571429,-0.0632357672614019,-0.02663706992230863,0.03809523809523807,0.6792452830188679,0.7058823529411765,0.6925638179800222,0.5333333333333333,0.5714285714285714,0.5523809523809524,0.6990950226244343,0.7219755826859044,0.7105353026551694
1,0.7,0.6238095238095238,0.7242857142857144,-0.09004420912053346,-0.04999999999999993,0.07720588235294112,0.8,0.85,0.825,0.6875,0.7647058823529411,0.7261029411764706,0.5666666666666667,0.7166666666666667,0.6416666666666666
2,0.67,0.7357142857142858,0.7742857142857144,0.04666537998276821,-0.31000000000000005,-0.29593267882187935,0.35,0.66,0.505,0.22580645161290322,0.5217391304347826,0.3737727910238429,0.675,0.7510526315789474,0.7130263157894737
3,0.72,0.7238095238095238,0.7971428571428572,-0.021167045343541135,-0.034965034965035,-0.08658743633276744,0.6923076923076923,0.7272727272727273,0.7097902097902098,0.5263157894736842,0.6129032258064516,0.5696095076400679,0.696969696969697,0.7628205128205128,0.7298951048951049
4,0.71,0.7547619047619047,0.8376190476190476,0.056046949728432105,0.18162393162393164,0.08980213089802136,0.5961538461538461,0.7777777777777778,0.686965811965812,0.4657534246575342,0.5555555555555556,0.5106544901065448,0.7266483516483516,0.8333333333333333,0.7799908424908424
5,0.76,0.7333333333333334,0.78,-0.06497241817163496,0.10606060606060608,0.18961818961818955,0.7272727272727273,0.8333333333333334,0.7803030303030303,0.5405405405405406,0.7301587301587301,0.6353496353496353,0.7166666666666667,0.7303030303030302,0.7234848484848484
6,0.67,0.6785714285714286,0.740952380952381,-0.09122495252974183,0.27,0.1923076923076923,0.58,0.85,0.715,0.5,0.6923076923076923,0.5961538461538461,0.6233333333333333,0.8416666666666667,0.7324999999999999
7,0.7,0.680952380952381,0.7638095238095237,-0.022114699352250744,0.23290598290598286,0.2404870624048706,0.5555555555555556,0.7884615384615384,0.6720085470085471,0.4444444444444444,0.684931506849315,0.5646879756468797,0.6666666666666667,0.679945054945055,0.6733058608058609
8,0.71,0.7547619047619047,0.8185714285714286,-0.009048221632584896,-0.07999999999999996,-0.037868162692847096,0.62,0.7,0.6599999999999999,0.4782608695652174,0.5161290322580645,0.49719495091164095,0.7573684210526316,0.759090909090909,0.7582296650717704
9,0.75,0.7357142857142858,0.8123809523809524,-0.012451318497161135,-0.030000000000000027,-0.024777933613838177,0.75,0.78,0.765,0.6129032258064516,0.6376811594202898,0.6252921926133708,0.6931818181818181,0.7584210526315789,0.7258014354066985
