model,thresh,mse,max_mse,ratio_g=0,ratio_g=1,ratio_g=2,ratio_g=3,ratio_g=4,ratio_g=5,ratio_g=6,ratio_g=7,mse_g=0,mse_g=1,mse_g=2,mse_g=3,mse_g=4,mse_g=5,mse_g=6,mse_g=7,duration
0,0.5,0.03181693490469864,0.0386768978743259,5.259947414548641,11.79559748427673,4.924187725631769,50.43361344537815,3.381183098591549,16.764245810055865,7.30832927423283,100.36120401337793,0.031620009588782534,0.02760704937433289,0.03468646705177648,0.030403144982997177,0.02855247989965625,0.029661049338658003,0.0386768978743259,0.03132111281555532,0 days 00:00:07.279736
1,0.5,0.024449719195023766,0.027161347802773256,5.259947414548641,11.79559748427673,4.924187725631769,50.43361344537815,3.381183098591549,16.764245810055865,7.30832927423283,100.36120401337793,0.027161347802773256,0.02153186927827447,0.02446098582943505,0.021176796483830838,0.022078177295150637,0.0268862968378161,0.026964874148872237,0.025087288640945896,0 days 00:00:00.744531
2,0.5,0.03001965687455659,0.03588940411936344,5.259947414548641,11.79559748427673,4.924187725631769,50.43361344537815,3.381183098591549,16.764245810055865,7.30832927423283,100.36120401337793,0.030449379312579326,0.026199889140500213,0.03216754489484208,0.028326751352644456,0.02701334018680459,0.028834299989408414,0.03588940411936344,0.02963717873902163,0 days 00:00:00.656531
3,0.5,0.02861257679894608,0.033447910574154006,5.259947414548641,11.79559748427673,4.924187725631769,50.43361344537815,3.381183098591549,16.764245810055865,7.30832927423283,100.36120401337793,0.02983340676960076,0.02510880022376963,0.029984624586779213,0.026624620058000946,0.02584188354587689,0.028343626319193835,0.033447910574154006,0.028571744575578234,0 days 00:00:01.142461
4,0.5,0.02347071685162149,0.026249859157313076,5.259947414548641,11.79559748427673,4.924187725631769,50.43361344537815,3.381183098591549,16.764245810055865,7.30832927423283,100.36120401337793,0.026249859157313076,0.021062071264943097,0.023183369898356104,0.020275388066788545,0.021398033505236558,0.026197947633939327,0.025269836671717394,0.02364140613663064,0 days 00:00:00.957949
5,0.5,0.03191824459824385,0.03882867720901042,5.259947414548641,11.79559748427673,4.924187725631769,50.43361344537815,3.381183098591549,16.764245810055865,7.30832927423283,100.36120401337793,0.031577445487236316,0.027741003352701115,0.03484960160620776,0.0306311195855977,0.028687984018042654,0.029675849070863264,0.03882867720901042,0.031187558231824036,0 days 00:00:04.570207
6,0.5,0.022685081687638074,0.025428248444024824,5.259947414548641,11.79559748427673,4.924187725631769,50.43361344537815,3.381183098591549,16.764245810055865,7.30832927423283,100.36120401337793,0.025428248444024824,0.02029894762083383,0.022318618047257405,0.019439859854842652,0.020811464262721343,0.025233769135407726,0.024283638742872992,0.02297680068961266,0 days 00:00:03.285502
7,0.5,0.023900148456260734,0.026706934183712585,5.259947414548641,11.79559748427673,4.924187725631769,50.43361344537815,3.381183098591549,16.764245810055865,7.30832927423283,100.36120401337793,0.026706934183712585,0.021348364945099382,0.023620829435068987,0.020777136998937566,0.021786854258610718,0.026296671607446007,0.025958007081274815,0.024085863034006075,0 days 00:00:01.471699
8,0.5,0.023181873311481315,0.025981065816110274,5.259947414548641,11.79559748427673,4.924187725631769,50.43361344537815,3.381183098591549,16.764245810055865,7.30832927423283,100.36120401337793,0.025981065816110274,0.02088280765768394,0.02279840146842685,0.02016698326517427,0.02118938470268026,0.02560833127345818,0.024940520672991223,0.023613770830846228,0 days 00:00:02.105424
9,0.5,0.021677931861276187,0.024194885661850202,5.259947414548641,11.79559748427673,4.924187725631769,50.43361344537815,3.381183098591549,16.764245810055865,7.30832927423283,100.36120401337793,0.024194885661850202,0.019615419128517116,0.021220265586579787,0.01855923834398699,0.020011773242892498,0.024052222129723543,0.023119755147616203,0.022177943983595835,0 days 00:00:00.697230
