number,duration,params_C,params_Kmin,params_alpha,params_n_iterations
0,0 days 00:00:02.355859,0.5450207567607169,30,0.15909058466442963,23
1,0 days 00:00:01.480085,5.316360887527126,12,0.49531827946346396,14
2,0 days 00:00:20.759853,0.018638449336711497,34,0.8641953860768917,360
3,0 days 00:00:05.321876,5373.248672657191,12,0.6206439018528294,52
4,0 days 00:00:03.585517,129.00122459137594,42,0.7921637520776219,36
5,0 days 00:00:02.979030,0.001912742642080552,31,0.3871222025666874,79
6,0 days 00:00:29.298510,245.16669700160872,20,0.46020212494129564,293
7,0 days 00:00:37.723898,2098.1121872808862,49,0.7549520777253632,372
8,0 days 00:00:03.539720,7930.521221165201,22,0.6557256475007593,35
9,0 days 00:00:03.562785,1.7563808750934788,34,0.7586748326076951,36
10,0 days 00:00:01.006263,0.000956489117461982,15,0.5843911631273593,22
11,0 days 00:00:03.359332,0.002392052600226096,11,0.6994748405712226,87
12,0 days 00:00:00.551531,0.0004975257211992443,19,0.5918657083096068,10
13,0 days 00:00:05.903209,0.00026011941827011614,30,0.15827700064620143,125
14,0 days 00:00:02.864589,0.04414313375564004,25,0.6093051722879074,35
15,0 days 00:00:45.683992,4174.121959360337,16,0.47071271959046457,453
16,0 days 00:00:18.910623,1.3572091697192712,11,0.1837060522489714,187
17,0 days 00:00:05.298022,0.24309156834732026,18,0.5672417745311947,48
18,0 days 00:00:01.293973,0.004917785013360349,20,0.20873880998374306,23
19,0 days 00:00:07.627177,0.006906325299067818,40,0.8568461986736801,159
20,0 days 00:00:06.297426,0.0009999802026470599,16,0.29836425064585353,141
21,0 days 00:00:16.925584,977.6263150545128,41,0.12112247380041535,165
22,0 days 00:00:11.584339,0.031223050137773857,49,0.17910657190031964,175
23,0 days 00:00:01.866015,19.896096282710705,13,0.2974044485163895,17
24,0 days 00:00:21.765213,1459.0073842033792,21,0.3023936968476691,215
25,0 days 00:00:11.964013,0.0004261054840785954,46,0.20804280426640123,423
26,0 days 00:00:13.799101,269.98317748872245,21,0.7668981937813112,137
27,0 days 00:00:18.841225,0.00011743825615602961,36,0.8491179300602939,474
