model,thresh,mse,max_mse,duration
0,0.5,0.023000207091972542,0.025746998878638773,0 days 00:00:07.975106
1,0.5,0.02299996281332556,0.025745716752550857,0 days 00:00:06.946021
2,0.5,0.023000389799706145,0.025746048508779477,0 days 00:00:07.783614
3,0.5,0.023000189435873578,0.025747062886120286,0 days 00:00:07.693320
4,0.5,0.023000252556618674,0.025745793198317317,0 days 00:00:06.112982
5,0.5,0.023000040350963084,0.025746367818001655,0 days 00:00:07.953963
6,0.5,0.022999608180777575,0.025747025971219133,0 days 00:00:07.973323
7,0.5,0.02299987775611711,0.025746717763797465,0 days 00:00:07.936907
8,0.5,0.023000376791668768,0.025745944581578868,0 days 00:00:07.730834
9,0.5,0.023000669198979178,0.02574683237086766,0 days 00:00:07.954046
10,0.5,0.023000283785360048,0.025746284632442766,0 days 00:00:06.778951
11,0.5,0.022999848845679016,0.025746310443608738,0 days 00:00:05.901494
12,0.5,0.022999606727732755,0.025746636354342968,0 days 00:00:08.870154
13,0.5,0.022999979124326657,0.025746826997087184,0 days 00:00:08.714580
14,0.5,0.023000190674989745,0.025746031340780552,0 days 00:00:09.012163
15,0.5,0.022999742064716215,0.025745053751174828,0 days 00:00:08.581597
16,0.5,0.023000194286314665,0.02574661985689946,0 days 00:00:09.348140
17,0.5,0.02300011288816468,0.02574586859303486,0 days 00:00:09.279514
18,0.5,0.023000019879380017,0.025746348676104848,0 days 00:00:09.315694
19,0.5,0.02300012123211846,0.025746792180080347,0 days 00:00:09.299657
