number,duration,params_constraint_fnr_tolerance,params_learning_rate,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_num_leaves,params_reg_lambda
0,0 days 00:00:00.364632,0.11547998988815,0.3321171357163598,2.3804201046634472,0.27111622878176395,154,32,0.1043583317219716
1,0 days 00:00:00.253415,0.010064560512619518,0.09675613452323394,2.5502598990968957,0.08092283819469319,41,39,0.002833890315309625
2,0 days 00:00:00.619522,0.49616391146863303,0.1820275454634852,1.7016840683079442,0.2060860647959042,266,40,0.13676741031397194
3,0 days 00:00:01.059599,0.006914183594515187,0.10224984158214466,0.003461774149307652,0.0758862584780982,491,14,441.19804076336845
4,0 days 00:00:01.700859,0.18562286758173382,0.0170214403406502,0.18452928031881524,0.08576230835484644,152,18,0.29374035532143383
5,0 days 00:00:00.178026,0.0750745784398532,0.010483546531213386,56.228663661125516,0.04664065624898599,35,7,0.0026187325859065936
6,0 days 00:00:01.610054,0.12075667394624996,0.09493062274978127,0.20390451375784754,0.01266734974059782,174,26,0.001022147593157647
7,0 days 00:00:00.524776,0.056214573296390756,0.09357515722507108,774.1680506092816,0.011354098494417384,290,29,0.0014959043887866285
8,0 days 00:00:00.854352,0.04076222793835833,0.19531108315457585,0.0023760426121125925,0.022938125624941595,311,48,57.80932709924799
9,0 days 00:00:00.286615,0.10480683950719057,0.3981779300218437,3.6671478542153375,0.010681163703324248,35,14,0.08874048345633524
10,0 days 00:00:00.115837,0.11322033017892295,0.3086623835952377,184.95883401246473,0.11173136575848469,54,20,983.6146784816676
11,0 days 00:00:00.615484,0.22173892782879406,0.09503098912405535,0.7222181648650907,0.0061691195311116675,76,14,4.033136995518441
12,0 days 00:00:00.708425,0.024536869085738745,0.41508415088693296,0.15452315990943416,0.06983822590845651,339,52,16.64075377794389
13,0 days 00:00:01.125827,0.018899432931778634,0.05237155553412119,0.6952267283119191,0.007878824636536011,240,15,438.0534055003684
14,0 days 00:00:00.998423,0.007479923678354448,0.014986916302423391,139.04921005612306,0.007976939030364035,287,50,66.02844599989895
15,0 days 00:00:01.575829,0.3103323547796272,0.020990701505146665,94.54665942502227,0.05185914881104069,475,29,0.17973895210705448
16,0 days 00:00:00.135244,0.01764242306054585,0.033023308760330904,0.06444478955580173,0.010731952050870106,27,52,311.8239955382437
17,0 days 00:00:00.478528,0.007812180335131953,0.03764677258543339,29.860205762145046,0.009752415927182907,85,10,114.54334757658484
18,0 days 00:00:00.703716,0.027736684918885784,0.06444365656346776,0.4901722584334629,0.049667285754180446,26,61,0.6937876633264455
19,0 days 00:00:00.573673,0.005339872236368459,0.022348795562667306,39.29338782717635,0.00984188875769651,129,21,597.6107285496945
20,0 days 00:00:00.398194,0.006073351340788555,0.12798447124154885,105.02998674452138,0.021336170455488065,159,21,2.6682039428738666
21,0 days 00:00:00.100415,0.08609842734836098,0.3358365195486319,40.33216910724357,0.23568844407159537,53,34,26.376842444393514
22,0 days 00:00:00.866973,0.17520171306957857,0.13143854473849864,0.00294115729674753,0.23806206742888064,388,29,0.0019080095775658957
23,0 days 00:00:00.204563,0.13152846944198382,0.045642636709954394,175.85941963547504,0.005533933570929739,50,28,0.04600236210399563
24,0 days 00:00:00.642374,0.03685921800923161,0.04433338141233251,0.9878659664742032,0.0799499740587876,191,18,1.2188576867355403
25,0 days 00:00:00.239828,0.0965703895190588,0.22094669327121572,0.04162946723871698,0.062176031733676196,41,30,116.27130615378638
26,0 days 00:00:00.150948,0.4851715713346818,0.13805037840143422,1.4596675854067387,0.05661873017090947,32,10,749.3136672299801
27,0 days 00:00:00.615798,0.005032785001306663,0.1360175173560751,0.0049309700683285,0.3427570394529747,240,38,0.0017426967317731316
28,0 days 00:00:00.060790,0.02912757546064277,0.1493174617513235,435.2411338528144,0.005898748399966508,20,24,0.026293252291262496
29,0 days 00:00:01.195778,0.2883156983071239,0.14836744094509757,0.737318768882908,0.01317371988715456,40,60,0.0016205200913040332
30,0 days 00:00:00.405310,0.011378835339067165,0.03550650784104064,0.003966818336397774,0.03472450233376303,89,7,0.005188051677052028
31,0 days 00:00:00.342540,0.2401029467910734,0.1107815112027763,0.2958810992730115,0.4178226295820093,69,45,0.002060067921767133
32,0 days 00:00:00.360758,0.08378180972974118,0.21607848160804838,0.09326158168666351,0.013384193720091673,117,4,125.16783216853123
33,0 days 00:00:01.170122,0.019741043146175963,0.11375726612714977,60.529891482417625,0.008329301228582804,434,12,1.3607522795139757
34,0 days 00:00:00.073746,0.00969047564286051,0.05550529415370017,314.2834243844906,0.042136395657499034,25,56,45.375994372601916
35,0 days 00:00:05.845489,0.19471688946550336,0.01895766455018428,0.0106530273176475,0.026071649433660363,341,46,0.05115421960595465
36,0 days 00:00:00.762197,0.016250225061198487,0.012622806543884584,78.34337169713697,0.025214619721020095,203,37,145.04149109332943
37,0 days 00:00:00.514619,0.36555142792429585,0.013281615705487318,25.489810236774236,0.30844495695904245,166,8,12.87337519043301
38,0 days 00:00:00.527555,0.0917270306621658,0.37282108276365467,0.001987269311071241,0.13056307798563707,209,58,246.1687203834394
39,0 days 00:00:00.131563,0.4004455912885552,0.13649282924961556,22.477227990230606,0.2473824719225458,30,10,0.3103778306384374
40,0 days 00:00:00.109292,0.06541720020444101,0.016744534874818907,418.66390287766944,0.4021862235923492,40,43,7.499754741313273
