,acc,bal_acc,roc,eq_loss,eod,spd
0,0.75,0.7357142857142858,0.8295238095238096,-0.19419518411454878,0.008879023307436285,-0.004761904761904745
1,0.65,0.6547619047619048,0.7366666666666667,-0.04038784903425807,0.06000000000000005,0.1654411764705882
2,0.63,0.7071428571428571,0.7714285714285714,0.037181769623414795,-0.09000000000000002,-0.09770920991117343
3,0.7,0.7,0.7447619047619048,-0.2641917531332959,-0.256993006993007,-0.2563667232597623
4,0.74,0.7,0.8395238095238096,0.045749744411538174,-0.02991452991452992,0.032470826991374935
5,0.66,0.6904761904761905,0.7985714285714286,-0.5108811277621305,0.16666666666666663,0.1072501072501072
6,0.7,0.7095238095238094,0.7295238095238096,-0.11150162468074643,0.08999999999999997,0.12681912681912688
7,0.77,0.7214285714285714,0.7823809523809524,-0.02856669452660815,0.16239316239316237,0.21156773211567725
8,0.79,0.7261904761904762,0.8052380952380952,-0.10467344868457928,-0.08999999999999997,-0.035063113604488105
9,0.76,0.7428571428571429,0.7966666666666666,0.01478904122348318,-0.050000000000000044,-0.03927068723702665
