,acc,bal_acc,roc,eq_loss,eod,spd,tpr_min,tpr_max,tpr_mean,pr_min,pr_max,pr_mean,bal_acc_min,bal_acc_max,bal_acc_mean
0,0.73,0.6928571428571428,0.828095238095238,-0.25591745441922936,-0.049944506104328434,-0.042857142857142816,0.7735849056603774,0.8235294117647058,0.7985571587125416,0.6571428571428571,0.7,0.6785714285714286,0.6425339366515836,0.739733629300777,0.6911337829761803
1,0.77,0.7023809523809523,0.7195238095238095,-0.23006296316838348,0.030000000000000027,0.045955882352941124,0.85,0.88,0.865,0.71875,0.7647058823529411,0.7417279411764706,0.675,0.7177777777777778,0.696388888888889
2,0.68,0.6761904761904762,0.7861904761904762,-0.13438996106206613,-0.12,-0.23281907433380084,0.6,0.72,0.6599999999999999,0.41935483870967744,0.6521739130434783,0.5357643758765779,0.6231578947368421,0.7545454545454545,0.6888516746411484
3,0.77,0.7214285714285714,0.7942857142857143,-0.07863852554508644,-0.11713286713286708,-0.16893039049235992,0.7692307692307693,0.8863636363636364,0.8277972027972028,0.6052631578947368,0.7741935483870968,0.6897283531409168,0.6931818181818181,0.7596153846153846,0.7263986013986014
4,0.74,0.6904761904761905,0.8295238095238096,0.14511543696659196,-0.04914529914529908,0.0050735667174023336,0.7777777777777778,0.8269230769230769,0.8023504273504274,0.6986301369863014,0.7037037037037037,0.7011669203450026,0.6111111111111112,0.722985347985348,0.6670482295482296
5,0.3,0.5,0.6445238095238095,-0.10169279650069607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5
6,0.65,0.6261904761904762,0.7,-0.7220194784199405,0.08999999999999997,0.05925155925155923,0.66,0.75,0.7050000000000001,0.5945945945945946,0.6538461538461539,0.6242203742203742,0.6008333333333333,0.7083333333333333,0.6545833333333333
7,0.67,0.7071428571428572,0.7452380952380953,-0.04493658495204467,0.079059829059829,0.06240487062404876,0.5555555555555556,0.6346153846153846,0.5950854700854701,0.4444444444444444,0.5068493150684932,0.4756468797564688,0.6666666666666667,0.7220695970695971,0.6943681318681318
8,0.71,0.6595238095238095,0.7776190476190477,-0.07484066666965983,-0.020000000000000018,0.018232819074333828,0.78,0.8,0.79,0.6774193548387096,0.6956521739130435,0.6865357643758765,0.6531578947368422,0.6727272727272727,0.6629425837320575
9,0.47,0.5452380952380952,0.5507142857142857,0.0529780006951297,0.06,-0.010752688172043001,0.34,0.4,0.37,0.3225806451612903,0.3333333333333333,0.3279569892473118,0.5121052631578947,0.6090909090909091,0.560598086124402
