,acc,roc,eq_loss,eod,spd
0,0.7,0.7352000000000001,0.4513153891312681,0.08333333333333337,0.21935483870967742
1,0.77,0.7996381727725012,0.3579500733285331,1.0,0.6857142857142857
2,0.82,0.8675595238095238,0.35116045710773636,0.23529411764705888,0.4516129032258065
3,0.62,0.7287326388888888,0.7457247232637257,0.30402930402930406,0.17622950819672129
4,0.77,0.7772817460317462,0.35756336202857003,0.22916666666666663,0.15000000000000002
5,0.69,0.8153221714865551,1.2934641746810533,0.25,0.4
6,0.75,0.815015829941203,0.5241801256101054,0.25,0.31547619047619047
7,0.72,0.810755961440893,1.574530290135338,0.19656283566057997,0.23271889400921658
8,0.72,0.7319086935405537,0.5367873622242445,0.3846153846153846,0.5
9,0.77,0.8043672014260249,0.4063445212482323,0.4,0.4444444444444444
