,acc,roc,eq_loss,eod,spd
0,0.58,0.776,1.5609243498246899,0.4342105263157895,0.5741935483870968
1,0.56,0.7480777928539122,3.183076246705709,0.8,0.5
2,0.75,0.8209325396825397,0.5662555588039853,0.3529411764705882,0.4838709677419355
3,0.71,0.7504340277777778,0.3865363835455985,0.2857142857142857,0.3770491803278688
4,0.75,0.775297619047619,0.3098347436632247,0.33333333333333337,0.35
5,0.75,0.8488077118214105,0.406388043045241,0.0357142857142857,0.375
6,0.76,0.8163726820443238,0.5687241855598195,0.33333333333333337,0.3571428571428571
7,0.71,0.8016235413495687,0.49701175755966837,0.39527389903329757,0.33036707452725256
8,0.62,0.6697425934919864,0.08322313432913231,0.33333333333333337,0.19999999999999996
9,0.79,0.7780748663101604,0.42319645801514455,0.33333333333333337,0.37037037037037035
