number,duration,params_learning_rate,params_max_depth,params_n_estimators
0,0 days 00:00:01.183471,0.05123090434910557,2,308
1,0 days 00:00:04.329046,0.11161872520674153,6,256
2,0 days 00:00:04.582151,0.22350195128499772,4,540
3,0 days 00:00:04.700924,0.02107763690851919,5,294
4,0 days 00:00:07.867810,0.08839769940059201,5,691
5,0 days 00:00:01.920368,0.1750043848397773,2,351
6,0 days 00:00:03.097339,0.015403824415809921,5,204
7,0 days 00:00:03.923291,0.17808051634184915,2,955
8,0 days 00:00:06.122969,0.04796038105106651,6,384
9,0 days 00:00:01.878644,0.052116629939381424,3,259
10,0 days 00:00:02.425983,0.010986211667678691,3,335
11,0 days 00:00:02.104978,0.03183439600998932,2,336
12,0 days 00:00:05.301675,0.028687119346146518,3,793
13,0 days 00:00:09.758859,0.0853647479342619,5,858
14,0 days 00:00:01.427116,0.012212370960718059,2,293
15,0 days 00:00:02.894716,0.01114499125887511,4,265
16,0 days 00:00:01.788802,0.06560680184875003,2,313
17,0 days 00:00:01.946877,0.022236711295065263,2,367
18,0 days 00:00:03.317775,0.02173800736687695,4,330
19,0 days 00:00:01.627869,0.08235851685010509,2,261
20,0 days 00:00:04.231771,0.03518513018267144,4,438
21,0 days 00:00:02.790395,0.48105186391121907,4,311
22,0 days 00:00:01.139141,0.04565684734778116,2,212
23,0 days 00:00:03.778744,0.10902716776229919,2,922
24,0 days 00:00:03.292141,0.29735804405838845,6,212
25,0 days 00:00:03.833067,0.10245432673759622,6,250
26,0 days 00:00:03.979306,0.014445871676828311,6,203
27,0 days 00:00:10.516488,0.17940262157120584,6,697
28,0 days 00:00:02.414172,0.08220956633770227,3,324
29,0 days 00:00:05.247771,0.34575251312606675,6,375
30,0 days 00:00:03.862713,0.010682798660841252,6,218
31,0 days 00:00:03.998201,0.015342466591530459,3,546
32,0 days 00:00:14.109128,0.01995678286812531,6,940
33,0 days 00:00:02.393177,0.027364463926569473,3,324
34,0 days 00:00:05.087752,0.2532489524166685,3,896
35,0 days 00:00:01.456065,0.024652724504330228,2,266
36,0 days 00:00:06.247456,0.018881945572778846,5,516
37,0 days 00:00:09.027690,0.03503702058437946,6,616
38,0 days 00:00:04.407365,0.017924160162346506,4,385
39,0 days 00:00:03.139367,0.03293822887114482,2,686
40,0 days 00:00:05.353730,0.06164900747507825,6,370
41,0 days 00:00:02.320811,0.033916324019817756,2,573
42,0 days 00:00:03.492638,0.05937930269857535,5,267
43,0 days 00:00:01.698109,0.05084099199344665,2,333
44,0 days 00:00:03.045130,0.09592724673964255,2,534
45,0 days 00:00:01.543330,0.031441276590032034,3,226
46,0 days 00:00:01.681133,0.37018848272855076,2,353
47,0 days 00:00:06.889511,0.06961925354100731,4,733
48,0 days 00:00:06.050523,0.011238567176133293,6,385
49,0 days 00:00:05.653705,0.0377092149082793,4,681
50,0 days 00:00:01.695185,0.016505044828090336,3,214
51,0 days 00:00:03.313067,0.14985499279690795,4,382
52,0 days 00:00:01.582476,0.0806692725912545,3,257
53,0 days 00:00:02.672040,0.14292508251004274,2,517
54,0 days 00:00:04.346010,0.044485144912258585,6,289
55,0 days 00:00:02.642974,0.387372740185369,2,546
56,0 days 00:00:04.826825,0.1036984122901041,2,955
57,0 days 00:00:04.619882,0.14267129110500398,5,362
58,0 days 00:00:08.354562,0.3207365247890251,5,712
59,0 days 00:00:04.078537,0.013669757031227955,3,563
60,0 days 00:00:03.041128,0.22247592144582898,5,236
61,0 days 00:00:01.099666,0.23259387975143708,2,227
62,0 days 00:00:01.429126,0.21684395473253207,3,254
63,0 days 00:00:08.524980,0.24910125436245947,5,739
64,0 days 00:00:01.614400,0.49187636773861515,3,265
65,0 days 00:00:02.228013,0.32264570492784517,3,393
66,0 days 00:00:09.705574,0.014385917486860472,5,677
67,0 days 00:00:06.214291,0.21039313362952153,6,388
68,0 days 00:00:02.257000,0.317824383172111,3,330
69,0 days 00:00:05.552227,0.03294805759729105,5,301
70,0 days 00:00:05.940971,0.014002287694524445,3,729
71,0 days 00:00:09.840913,0.039203024564317825,5,792
72,0 days 00:00:01.941614,0.05621514850933818,3,301
73,0 days 00:00:03.590985,0.022881011101001204,3,452
74,0 days 00:00:05.698669,0.1111677077760162,3,778
75,0 days 00:00:07.703978,0.03086917448579076,5,584
76,0 days 00:00:06.973677,0.020532073594337515,4,691
77,0 days 00:00:11.622985,0.014108275911223218,5,940
78,0 days 00:00:07.828610,0.011769393452068982,3,980
79,0 days 00:00:02.653693,0.17834339099415142,4,273
80,0 days 00:00:05.610965,0.13395819194918412,3,905
81,0 days 00:00:04.162209,0.1525048864446531,5,346
82,0 days 00:00:03.613971,0.1679225880189385,5,259
83,0 days 00:00:04.535349,0.07319824410637017,3,781
84,0 days 00:00:01.076545,0.06956975204751242,2,285
85,0 days 00:00:01.546270,0.02247832422647284,3,252
86,0 days 00:00:08.445823,0.2459066623151859,6,543
87,0 days 00:00:01.935154,0.31071765196495676,3,278
88,0 days 00:00:04.712773,0.04109963234536263,5,405
89,0 days 00:00:06.885822,0.010078177737632027,4,777
90,0 days 00:00:06.416575,0.014514303422700516,5,471
91,0 days 00:00:04.110760,0.11625282944453673,5,351
92,0 days 00:00:04.111816,0.01061386074802768,6,259
93,0 days 00:00:07.179542,0.03395268049017006,6,626
94,0 days 00:00:01.362785,0.18025236173632683,2,317
95,0 days 00:00:04.487778,0.02325462653736596,6,209
96,0 days 00:00:02.821051,0.1533380628044672,5,236
97,0 days 00:00:03.792285,0.3453406140237548,4,601
98,0 days 00:00:03.691967,0.043825616626217534,6,312
99,0 days 00:00:01.972575,0.04247627572283966,2,508
