number,duration,params_learning_rate,params_max_depth,params_n_estimators
0,0 days 00:00:01.795797,0.05123090434910557,2,308
1,0 days 00:00:04.312053,0.11161872520674153,6,256
2,0 days 00:00:04.941155,0.22350195128499772,4,540
3,0 days 00:00:03.884073,0.02107763690851919,5,294
4,0 days 00:00:08.309916,0.08839769940059201,5,691
5,0 days 00:00:01.848208,0.1750043848397773,2,351
6,0 days 00:00:03.122908,0.015403824415809921,5,204
7,0 days 00:00:04.454452,0.17808051634184915,2,955
8,0 days 00:00:06.608476,0.04796038105106651,6,384
9,0 days 00:00:02.253457,0.052116629939381424,3,259
10,0 days 00:00:02.516872,0.010986211667678691,3,335
11,0 days 00:00:01.650480,0.03183439600998932,2,336
12,0 days 00:00:04.918021,0.028687119346146518,3,793
13,0 days 00:00:11.398281,0.0853647479342619,5,858
14,0 days 00:00:01.423750,0.012212370960718059,2,293
15,0 days 00:00:02.802367,0.01114499125887511,4,265
16,0 days 00:00:01.643292,0.06560680184875003,2,313
17,0 days 00:00:01.942813,0.022236711295065263,2,367
18,0 days 00:00:02.970196,0.02173800736687695,4,330
19,0 days 00:00:01.339291,0.08235851685010509,2,261
20,0 days 00:00:04.017321,0.03518513018267144,4,438
21,0 days 00:00:02.531343,0.48105186391121907,4,311
22,0 days 00:00:01.123996,0.04565684734778116,2,212
23,0 days 00:00:04.068412,0.10902716776229919,2,922
24,0 days 00:00:03.246507,0.29735804405838845,6,212
25,0 days 00:00:03.708794,0.10245432673759622,6,250
26,0 days 00:00:03.725199,0.014445871676828311,6,203
27,0 days 00:00:10.226455,0.17940262157120584,6,697
28,0 days 00:00:02.163486,0.08220956633770227,3,324
29,0 days 00:00:05.830592,0.34575251312606675,6,375
30,0 days 00:00:03.594777,0.010682798660841252,6,218
31,0 days 00:00:03.790844,0.015342466591530459,3,546
32,0 days 00:00:15.213018,0.01995678286812531,6,940
33,0 days 00:00:02.355865,0.027364463926569473,3,324
34,0 days 00:00:05.536528,0.2532489524166685,3,896
35,0 days 00:00:01.396774,0.024652724504330228,2,266
36,0 days 00:00:08.346085,0.018881945572778846,5,516
37,0 days 00:00:09.750460,0.03503702058437946,6,616
38,0 days 00:00:04.577842,0.017924160162346506,4,385
39,0 days 00:00:03.255543,0.03293822887114482,2,686
40,0 days 00:00:06.462906,0.06164900747507825,6,370
41,0 days 00:00:02.680855,0.033916324019817756,2,573
42,0 days 00:00:03.960272,0.05937930269857535,5,267
43,0 days 00:00:01.693638,0.05084099199344665,2,333
44,0 days 00:00:02.537514,0.09592724673964255,2,534
45,0 days 00:00:01.621203,0.031441276590032034,3,226
46,0 days 00:00:01.632600,0.37018848272855076,2,353
47,0 days 00:00:05.078580,0.06961925354100731,4,733
48,0 days 00:00:06.793941,0.011238567176133293,6,385
49,0 days 00:00:05.558500,0.0377092149082793,4,681
50,0 days 00:00:01.763496,0.016505044828090336,3,214
51,0 days 00:00:03.519353,0.14985499279690795,4,382
52,0 days 00:00:01.672526,0.0806692725912545,3,257
53,0 days 00:00:02.681534,0.14292508251004274,2,517
54,0 days 00:00:04.749388,0.044485144912258585,6,289
55,0 days 00:00:02.298144,0.387372740185369,2,546
56,0 days 00:00:05.135926,0.1036984122901041,2,955
57,0 days 00:00:04.416962,0.14267129110500398,5,362
58,0 days 00:00:07.037794,0.3207365247890251,5,712
59,0 days 00:00:04.519598,0.013669757031227955,3,563
60,0 days 00:00:02.813384,0.22247592144582898,5,236
61,0 days 00:00:01.271498,0.23259387975143708,2,227
62,0 days 00:00:01.894185,0.21684395473253207,3,254
63,0 days 00:00:07.872243,0.24910125436245947,5,739
64,0 days 00:00:01.650378,0.49187636773861515,3,265
65,0 days 00:00:02.464083,0.32264570492784517,3,393
66,0 days 00:00:08.859869,0.014385917486860472,5,677
67,0 days 00:00:05.700605,0.21039313362952153,6,388
68,0 days 00:00:02.504678,0.317824383172111,3,330
69,0 days 00:00:03.981691,0.03294805759729105,5,301
70,0 days 00:00:04.452936,0.014002287694524445,3,729
71,0 days 00:00:10.151797,0.039203024564317825,5,792
72,0 days 00:00:01.748766,0.05621514850933818,3,301
73,0 days 00:00:02.834768,0.022881011101001204,3,452
74,0 days 00:00:05.121628,0.1111677077760162,3,778
75,0 days 00:00:07.061051,0.03086917448579076,5,584
76,0 days 00:00:06.081993,0.020532073594337515,4,691
77,0 days 00:00:13.171421,0.014108275911223218,5,940
78,0 days 00:00:05.440397,0.011769393452068982,3,980
79,0 days 00:00:02.547570,0.17834339099415142,4,273
80,0 days 00:00:05.230123,0.13395819194918412,3,905
81,0 days 00:00:04.657606,0.1525048864446531,5,346
82,0 days 00:00:03.265144,0.1679225880189385,5,259
83,0 days 00:00:04.895353,0.07319824410637017,3,781
84,0 days 00:00:01.617422,0.06956975204751242,2,285
85,0 days 00:00:02.222884,0.02247832422647284,3,252
86,0 days 00:00:06.865849,0.2459066623151859,6,543
87,0 days 00:00:01.938910,0.31071765196495676,3,278
88,0 days 00:00:05.738933,0.04109963234536263,5,405
89,0 days 00:00:06.743784,0.010078177737632027,4,777
90,0 days 00:00:06.661295,0.014514303422700516,5,471
91,0 days 00:00:04.219940,0.11625282944453673,5,351
92,0 days 00:00:04.663643,0.01061386074802768,6,259
93,0 days 00:00:06.969176,0.03395268049017006,6,626
94,0 days 00:00:01.577238,0.18025236173632683,2,317
95,0 days 00:00:04.397613,0.02325462653736596,6,209
96,0 days 00:00:02.732360,0.1533380628044672,5,236
97,0 days 00:00:03.510515,0.3453406140237548,4,601
98,0 days 00:00:03.084141,0.043825616626217534,6,312
99,0 days 00:00:01.926598,0.04247627572283966,2,508
