,acc,bal_acc,roc,eq_loss,eod,spd,min_tpr,max_tpr,mean_tpr
0,0.72,0.7142857142857142,0.8280952380952381,-0.07666618299698852,0.029966703662597016,0.09523809523809523,0.7058823529411765,0.7358490566037735,0.720865704772475
1,0.7,0.6238095238095238,0.7238095238095239,-0.09004630688268345,-0.04999999999999993,0.07720588235294112,0.8,0.85,0.825
2,0.66,0.7285714285714286,0.7757142857142857,0.045513962428333665,-0.29000000000000004,-0.281439925198691,0.35,0.64,0.495
3,0.71,0.7166666666666666,0.7942857142857143,-0.019205018161482013,-0.012237762237762295,-0.07045840407470294,0.6923076923076923,0.7045454545454546,0.6984265734265734
4,0.71,0.7642857142857142,0.8357142857142857,0.0577248580474049,0.20085470085470092,0.11719939117199396,0.5769230769230769,0.7777777777777778,0.6773504273504274
5,0.76,0.7333333333333334,0.7799999999999999,-0.065409759586461,0.10606060606060608,0.18961818961818955,0.7272727272727273,0.8333333333333334,0.7803030303030303
6,0.68,0.6857142857142857,0.7414285714285715,-0.09190904429385294,0.25,0.1787941787941788,0.6,0.85,0.725
7,0.7,0.680952380952381,0.7633333333333333,-0.019991037573372283,0.23290598290598286,0.2404870624048706,0.5555555555555556,0.7884615384615384,0.6720085470085471
8,0.71,0.7547619047619047,0.8185714285714286,-0.008795758793958885,-0.07999999999999996,-0.037868162692847096,0.62,0.7,0.6599999999999999
9,0.75,0.7357142857142858,0.8123809523809524,-0.012507564126436665,-0.030000000000000027,-0.024777933613838177,0.75,0.78,0.765
