number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators
0,0 days 00:00:01.440760,0.029859446083346963,0.0027772246541775745,6,931.4099357317587,0.23110905060029993,115
1,0 days 00:00:00.601943,0.001868624028757996,0.038937192476214695,2,116.74476339590278,0.02004502128145692,48
2,0 days 00:00:00.292469,0.0214450446794744,0.4366932883909294,3,166.79093492010986,0.025112713773716336,20
3,0 days 00:00:01.092544,0.6954562658911403,0.11177088419062332,4,420.7159773707775,0.0011915805563952782,84
4,0 days 00:00:00.998348,0.041259800985767855,0.0010895675295236247,2,9.967060518359924,0.058890593376680185,72
5,0 days 00:00:00.541441,0.008892039527982513,0.0016661889883605517,3,4500.070423556124,0.0013833772158811763,42
6,0 days 00:00:01.644309,0.3149978406265933,0.0071614752186373925,6,8948.088257410642,0.00397286599306361,130
7,0 days 00:00:01.151871,0.34778340362868665,0.1530994398975787,3,1.2746004588279092,0.24205397609424603,84
8,0 days 00:00:01.470989,0.0024263274426864763,0.0010059207074234135,7,78.78486719483251,0.01273375638442998,108
9,0 days 00:00:05.201253,0.0018836070311361106,0.006254777557232693,3,106.16644651515794,0.116954279806375,390
10,0 days 00:00:02.290394,0.004915965679959788,0.1651624166666287,7,99.47204764563303,0.0017787341408221898,157
11,0 days 00:00:01.909426,0.004597962843715642,0.008491588463699611,6,73.5246403663345,0.0019701999864160653,129
12,0 days 00:00:03.762891,0.18089925236714968,0.007305537398930619,9,1.0531177187712821,0.001779127810767746,198
13,0 days 00:00:00.660081,0.001573780910643166,0.0266264931222325,5,2.721461856968294,0.001572059179962152,38
14,0 days 00:00:04.821017,0.005081248040863556,0.002183811211480185,9,1.0570474357840018,0.10986537662241162,252
15,0 days 00:00:04.611763,0.001792762881861971,0.0012176941075830543,5,34.756066652738916,0.0011756941116908054,285
16,0 days 00:00:00.503856,0.1756508778884995,0.34922224931458157,3,766.3262562740346,0.37069143245464503,39
17,0 days 00:00:01.553617,0.0075059982368155176,0.0016367658376108248,3,26.809355944577757,0.024907147859816167,110
18,0 days 00:00:00.708833,0.6098551866625721,0.35788157911836666,9,1384.200597752262,0.30092187752911903,55
19,0 days 00:00:02.224067,0.12321759563039156,0.09024486400671071,5,7.377783070184392,0.01644180076455565,138
20,0 days 00:00:02.223804,0.006359589716893759,0.012890376202569132,3,6.069146663661221,0.228811271101277,154
21,0 days 00:00:00.724870,0.0046500456569042985,0.0024424505392324695,7,1570.658760808497,0.00126132963212725,53
22,0 days 00:00:00.376914,0.28588998239395924,0.09584084038283289,2,286.13865129455047,0.005911683142452578,28
23,0 days 00:00:00.913284,0.3455197081656613,0.05424447193410853,8,424.3753484347386,0.004526281977943282,70
24,0 days 00:00:05.294266,0.0025984362895743033,0.007966693374768042,5,103.97928716405393,0.37388994157502964,372
25,0 days 00:00:04.768974,0.0029740917145927048,0.45566146929797036,2,99.19647892832967,0.129087520249425,343
26,0 days 00:00:05.619434,0.001127728050927666,0.005064867784893382,7,100.12140054601619,0.0020132455819816875,394
27,0 days 00:00:01.533028,0.060274383621679965,0.07485283990163072,4,1.261937713246548,0.06580714988780595,105
28,0 days 00:00:01.376511,0.011746798694614964,0.007516334218732843,3,9.683186056945376,0.011393582358293708,95
29,0 days 00:00:02.002159,0.05985143722977001,0.03545724505858868,7,21.551726064421484,0.012327023265856952,112
30,0 days 00:00:00.317592,0.00195789153650956,0.11993320165803097,2,628.5559002697089,0.13421880720919752,22
31,0 days 00:00:03.375514,0.0018783997544735145,0.23811702203247545,2,1469.227934655341,0.017631369110411556,245
32,0 days 00:00:00.569203,0.006462675216915687,0.011747830488585957,4,378.10778440083357,0.36012166939656,42
33,0 days 00:00:01.064864,0.008297135768796563,0.18966093574426926,5,21.432127455955982,0.0025470517681934106,71
34,0 days 00:00:01.220722,0.0074138173677954135,0.016327140600891733,3,1426.9093884237775,0.001715030495957222,90
35,0 days 00:00:02.897703,0.002128211226308594,0.013125876646648216,5,75.20384601681056,0.09120839750612272,196
36,0 days 00:00:00.537080,0.15552751599191314,0.01449267525063921,5,940.2853987182448,0.03190130238972008,35
37,0 days 00:00:04.785206,0.09285824726303454,0.14819712854077663,5,4.0152866567610355,0.49314295081913156,319
38,0 days 00:00:02.112768,0.9085227164723151,0.01168218230238043,5,1.2830058440239291,0.27205463138156016,124
39,0 days 00:00:05.060305,0.03272666215616919,0.09977261866975891,5,49.121761040855745,0.007905027773262002,360
40,0 days 00:00:01.346380,0.002070353018033926,0.16772789474714578,7,6.9088448552259205,0.23486722490777218,78
41,0 days 00:00:01.132183,0.037237183140450464,0.0030602062523581177,2,3.6028393648959653,0.0058286978278982715,84
42,0 days 00:00:00.360205,0.6253244223243761,0.22318703701168727,6,12.452678461646864,0.2554244396679097,21
43,0 days 00:00:02.813152,0.0015249836696175638,0.003429458690025471,2,651.6658444595247,0.003505798866559601,211
44,0 days 00:00:03.982897,0.8136128929511084,0.08293347811867335,8,1.380364977029226,0.009795066772537577,224
45,0 days 00:00:01.608099,0.5275290829332036,0.004336903047260423,2,2473.1959017803633,0.14172202321689978,120
46,0 days 00:00:00.721313,0.9575632197115985,0.0016487716930045668,7,2018.1640191527406,0.004927396826640149,54
47,0 days 00:00:00.390315,0.4724713966043567,0.2912925677706718,3,4540.881362211115,0.024648380880909617,29
48,0 days 00:00:01.004857,0.33533887080744657,0.06440265416128756,5,1355.5421814195968,0.006535500424962798,78
49,0 days 00:00:04.267694,0.00835797112948574,0.0027253512992028535,8,7.376696449105926,0.00928967486597314,229
50,0 days 00:00:00.364971,0.01792535074614136,0.04165319799079147,3,91.11912937906027,0.08932487403704854,25
51,0 days 00:00:02.300519,0.009805594831360684,0.0021837581589601285,4,30.213770075979014,0.022740965545309508,153
52,0 days 00:00:01.506109,0.1152389200243141,0.006263475971699711,4,1.2114375139656952,0.0015920495344570844,98
53,0 days 00:00:05.585784,0.006153707478211825,0.01855527703155304,5,1549.0693636997462,0.018015425093897235,435
54,0 days 00:00:00.381808,0.6565607731254741,0.0271827537526262,3,3828.564349564877,0.0045606756200362855,29
55,0 days 00:00:00.487283,0.25613456414095226,0.4141786893770478,4,1931.9833744120247,0.0416702743264618,37
56,0 days 00:00:00.290216,0.0019129298292123596,0.06064385550602673,3,4500.756448508957,0.009199874482265618,21
57,0 days 00:00:05.366176,0.1438389388189759,0.013278019163467582,6,8227.91307821014,0.014251458057665405,434
58,0 days 00:00:00.566627,0.0085739581418389,0.011958178110227867,4,60.93640784798958,0.0012953766628700431,38
59,0 days 00:00:04.485006,0.5073552712367396,0.009755447584068629,4,30.682950003714968,0.054842893764897475,304
60,0 days 00:00:03.747642,0.8052111942181971,0.061321228304797956,7,1711.616595477257,0.02287534983477302,288
61,0 days 00:00:03.091664,0.02295952230703771,0.06066509776688026,6,1.0444539826039612,0.06018355932501696,187
62,0 days 00:00:04.656992,0.03763519057668854,0.011325135282060087,6,2.3865423978955014,0.0023662983063666714,266
63,0 days 00:00:04.504010,0.02198079634205796,0.1983400301074539,6,103.17398822611614,0.15768145994880164,319
64,0 days 00:00:00.690676,0.07257561217810214,0.007901411612071946,9,8315.74715465848,0.4012904664846587,54
65,0 days 00:00:00.549822,0.10768894540666794,0.07525063092104224,2,58.963983744389736,0.03270190280857661,40
66,0 days 00:00:05.779185,0.06955150766652744,0.12189958683082444,7,65.92008312647071,0.010448881585871077,411
67,0 days 00:00:01.146218,0.709662369662044,0.0011415878739697574,7,5.88848755299316,0.04756134493735591,62
68,0 days 00:00:00.633159,0.12644138058967627,0.3780721134532938,9,4.629997093011659,0.07806182559350637,34
69,0 days 00:00:00.987420,0.026909283112125627,0.018206497404750527,2,2.464374021830596,0.0036868341642306945,75
70,0 days 00:00:00.556239,0.002366214161575742,0.004167011768652302,6,36.55248972295047,0.001290415985572918,34
71,0 days 00:00:04.729619,0.003759137467170716,0.0013072155917405496,2,2224.1570067236453,0.08848130944883292,370
72,0 days 00:00:01.388483,0.0016480787869004635,0.0033586709786551927,2,1.4750940625513744,0.010008807018380144,110
73,0 days 00:00:00.718188,0.9754865466322429,0.12183795016960143,2,1466.185424361184,0.001688417080635822,56
74,0 days 00:00:01.690147,0.0083163121792591,0.06775784252777933,7,4982.789795319842,0.007891648678849351,134
75,0 days 00:00:04.228087,0.06643599122383,0.001372482568643276,3,3.268527133356959,0.0011388308654402088,323
76,0 days 00:00:02.230921,0.0022716385223875385,0.0650756240667571,8,1529.5721047456916,0.08584838928528617,175
77,0 days 00:00:01.044902,0.0011210618424546289,0.001317844203239114,3,143.23058474701398,0.002405694326921156,73
78,0 days 00:00:02.606503,0.03829825143748226,0.0038871717804856445,4,32.40248407263104,0.2980917126019299,191
79,0 days 00:00:04.363694,0.0018226175701693387,0.46924835058494163,9,67.1837861155784,0.0016364588518419604,302
80,0 days 00:00:00.516197,0.771200058762419,0.07920594903882247,9,39.072548413424215,0.029932480139037383,32
81,0 days 00:00:02.283968,0.0012857796515008402,0.06313746615778558,3,842.9983801565836,0.349550114620053,189
82,0 days 00:00:01.427929,0.02362339153213311,0.04799484249333367,8,6272.304337056251,0.01170436570339677,111
83,0 days 00:00:01.378979,0.48959615470592005,0.3100931904753208,5,3.938462732321345,0.0032697909761946428,94
84,0 days 00:00:01.180562,0.0013104741767666324,0.05163832186953479,8,49.286842166626734,0.11206101105715097,78
85,0 days 00:00:00.487271,0.0013967523599579792,0.020182705043798755,2,180.98385003953663,0.018868445250811185,35
86,0 days 00:00:00.447496,0.008232936039892502,0.0028208355706983855,3,1720.3171618970161,0.07552087422416676,34
87,0 days 00:00:01.253678,0.10597349668008833,0.45675900801981334,2,9745.172639617753,0.039031255404916546,96
88,0 days 00:00:02.785239,0.2052702188998479,0.003952985144135013,2,9339.133531401965,0.12146904642764561,215
89,0 days 00:00:00.845898,0.034585418139702735,0.001404094668565727,6,26.478671126643533,0.37715399288456575,52
90,0 days 00:00:03.417917,0.056614199194515956,0.15264834439450342,8,2376.686994082411,0.014746997176703844,269
91,0 days 00:00:07.149347,0.0014667950602049325,0.0019246715667264598,7,12.920460190939506,0.0017487846437917994,418
92,0 days 00:00:00.438105,0.0059083508753363205,0.0019728315054543012,6,791.8100832035186,0.06055399878801299,35
93,0 days 00:00:00.312241,0.009900327290612493,0.09543017429213108,7,174.44059401098139,0.016846434587980567,21
94,0 days 00:00:01.322819,0.03698026230771732,0.001019584468357293,9,852.5820760207139,0.0014215660325254515,110
95,0 days 00:00:04.949583,0.22190295220864487,0.415875210689199,2,226.51803072936707,0.07502535506723121,380
96,0 days 00:00:06.055585,0.0033612434190788765,0.004343537076889696,9,548.7141729343765,0.06289618676808625,468
97,0 days 00:00:00.802783,0.001266499108997598,0.05863203802942527,4,10.874169378065154,0.05236626586739852,53
98,0 days 00:00:02.588065,0.018220690411768957,0.008616362024740915,3,1.192211077266636,0.0026514226705061095,185
99,0 days 00:00:01.139705,0.01411103925045099,0.0034201140338430127,5,1.1418438041643895,0.00394930488308288,72
100,0 days 00:00:00.647859,0.3364487392307966,0.0031699690576825756,4,44.810283528682405,0.031180077581747834,42
101,0 days 00:00:01.075252,0.0955105496850259,0.18790802963956788,2,117.44501114204417,0.1259475011833271,86
102,0 days 00:00:02.035255,0.2571908369487088,0.3068583105747675,2,290.8294773214961,0.3333857576934289,160
103,0 days 00:00:02.421707,0.9313558067100502,0.025859299464636224,9,3480.7949658627085,0.023184513949735593,196
104,0 days 00:00:04.130769,0.021883460387220124,0.10224420234452304,9,1699.964619780425,0.00362452524986066,318
105,0 days 00:00:00.504256,0.0446215364155258,0.05144357878217039,7,4739.974504913708,0.025793955733831864,39
106,0 days 00:00:00.439269,0.0014799428078579747,0.04637306266880024,2,1.80252314819332,0.0033869233569546096,32
107,0 days 00:00:02.959647,0.26113777602774335,0.11018881935435122,3,7.402248030279315,0.02057075485383124,214
108,0 days 00:00:00.721998,0.0782793167618706,0.011712629629991912,8,2.2596346475224,0.0018807461198915533,40
109,0 days 00:00:04.656530,0.004674432267398856,0.009824594451037776,6,596.9136561854936,0.21084163672063846,355
110,0 days 00:00:01.278785,0.003504095148314085,0.003125175552758258,6,41.6480569798511,0.009526735141080949,82
111,0 days 00:00:01.049191,0.00588221328653238,0.0012404549685114384,7,263.25728773013736,0.0076155871322445955,80
112,0 days 00:00:00.506261,0.22886035763165233,0.03364301066638971,3,785.6578102887429,0.009826929238433943,40
113,0 days 00:00:00.403651,0.35841377926263207,0.019786907528464695,4,84.0622728438065,0.00985057246478648,28
114,0 days 00:00:01.054241,0.23493345963450393,0.004314369463017253,5,24.743677204893515,0.016496040551394326,68
115,0 days 00:00:01.768219,0.003531796865874586,0.01093519885391965,7,20.81474527965572,0.12659042609867155,96
116,0 days 00:00:02.580310,0.014961396245942738,0.35061399742099886,7,1.0964574425241684,0.2434358777000175,152
117,0 days 00:00:00.286687,0.0013658244419848134,0.23469033035425876,6,4367.3457751022415,0.005390694926885967,21
118,0 days 00:00:02.340911,0.052347951184921804,0.012216597983834678,4,2.620534859653947,0.0027154377288403455,155
119,0 days 00:00:03.441965,0.5407184661571971,0.004493640719800806,9,1695.55360116924,0.0822713467927729,263
120,0 days 00:00:02.183320,0.030315892232492207,0.02723041306366076,5,61.17064717318701,0.004952935679493042,149
121,0 days 00:00:03.615865,0.1662887782966785,0.0038453306744704436,4,100.27311499885563,0.0021309477103535635,260
122,0 days 00:00:00.911909,0.6924648777858576,0.1268167968630216,7,53.88878748511746,0.3301187620268734,59
123,0 days 00:00:00.285635,0.14179124075459937,0.28749906658641466,6,535.1731177062717,0.18195304595034958,20
124,0 days 00:00:01.159606,0.2147769757810288,0.03705600856311262,6,8.618422170352472,0.0302626058672706,65
125,0 days 00:00:01.465647,0.01649317698616036,0.1999477721460078,2,27.912361646080203,0.025491653588410414,110
126,0 days 00:00:00.532281,0.008957201632744573,0.008907213818716094,4,825.141183839342,0.1459141253196374,41
127,0 days 00:00:03.030855,0.014873059212487869,0.47043605535129696,6,14.68105457711702,0.002059302653408236,201
128,0 days 00:00:00.621342,0.008339517125509949,0.02850786440619488,3,2674.3184222191144,0.01815553332143057,47
129,0 days 00:00:01.929401,0.568468937679165,0.001073241562015761,5,26.719396437388852,0.011285319937336717,127
130,0 days 00:00:02.199592,0.008331975463112337,0.013231618611182999,4,9.041989008878614,0.30381346572396684,152
131,0 days 00:00:01.288188,0.6391785936304837,0.001454838461017511,4,156.999177314887,0.14860769899656093,93
132,0 days 00:00:01.979935,0.0024473391194348476,0.02758806998188035,8,1150.115771894427,0.001399297246857473,153
133,0 days 00:00:01.658045,0.004085611058782429,0.002314212779320788,4,2.0335554515374508,0.001944753287008127,110
134,0 days 00:00:03.719450,0.8780157734830821,0.20902877792267058,4,936.2848207747494,0.028079889176584334,299
135,0 days 00:00:01.160971,0.19976028854061365,0.4114236273464076,8,9.772028694214118,0.2664752107095767,68
136,0 days 00:00:00.450410,0.010004939502286828,0.03706259042262511,2,34.49323275566888,0.11719571479082712,32
137,0 days 00:00:05.197550,0.36086436197510363,0.0034110247793886442,2,1.5041971387765,0.010282895516744077,408
138,0 days 00:00:01.389924,0.9371527637152492,0.006430868082835632,3,1813.053525256884,0.03478104989568396,104
139,0 days 00:00:00.387047,0.001450427447771426,0.002680756238662575,8,1.5120641062543363,0.09250955294766429,20
140,0 days 00:00:06.291552,0.006190823156315035,0.007903768724814457,7,168.25496543634398,0.030855883950511993,473
