number,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators
0,0 days 00:00:20.957163,0.001672455963214129,2,3.0086822346769178,471
1,0 days 00:00:11.825968,0.20008369086441957,7,11.09857168650801,125
2,0 days 00:00:11.869857,0.0024396716746724538,6,6679.875570646841,150
3,0 days 00:00:06.944480,0.0012103769253263878,9,7016.722423042077,60
4,0 days 00:00:04.922201,0.03916872755189125,3,24.23883862642622,47
5,0 days 00:00:05.768112,0.1861333536307623,2,939.6776137469942,127
6,0 days 00:00:35.743916,0.06676079682971943,6,8.481602507645803,395
7,0 days 00:00:11.086492,0.04450795897662105,4,29.114886166004784,152
8,0 days 00:00:13.482896,0.06715661147671771,9,155.94281111790897,120
9,0 days 00:00:30.701816,0.0625295892166438,7,4.025387704613868,410
10,0 days 00:00:03.063424,0.0037025821877333938,4,120.46184957446211,23
11,0 days 00:00:04.085685,0.05289635073938926,2,17.330198276016024,49
12,0 days 00:00:06.897352,0.009947202931010677,2,5157.285264212672,129
13,0 days 00:00:03.304913,0.48876613376702155,2,898.3816427749975,39
14,0 days 00:00:02.903213,0.22014187559547357,3,176.12957721378467,28
15,0 days 00:00:05.239625,0.4974349540414988,4,2.701601336239347,70
16,0 days 00:00:11.275863,0.22580135079915625,2,1.5229714777798349,278
17,0 days 00:00:03.369850,0.3582420172635433,3,3842.774370076393,35
18,0 days 00:00:15.966290,0.005119791275602916,2,4928.775575972521,371
19,0 days 00:00:38.169061,0.16051554051326575,8,1159.771902862752,356
20,0 days 00:00:09.326213,0.01675263926801295,3,80.01640581193202,154
21,0 days 00:00:15.442616,0.1545782625341557,8,2.643986505822918,218
22,0 days 00:00:10.676818,0.006440940428337289,8,402.9062887935713,65
23,0 days 00:00:40.316265,0.009267980011108377,6,4.6936682212120795,331
24,0 days 00:00:10.803769,0.06431309339507431,6,7.98341394756579,125
25,0 days 00:00:03.575617,0.06393107769377496,2,4183.89144348478,38
26,0 days 00:00:17.291187,0.03811664079082731,9,100.73487010314551,121
27,0 days 00:00:10.594569,0.17627130517726,2,5328.096259461605,260
28,0 days 00:00:03.920376,0.005543431715852094,4,34.14321107447923,33
29,0 days 00:00:14.814195,0.02695313312830285,6,3858.5602099980774,198
30,0 days 00:00:11.340765,0.17611163405597324,4,6660.43369287871,193
31,0 days 00:00:04.241855,0.07753623386138392,3,331.61562473490113,52
32,0 days 00:00:06.639189,0.029293901200234996,3,8508.801964567207,100
33,0 days 00:00:10.599308,0.17040411275382186,7,2906.3857614159665,131
34,0 days 00:00:04.469416,0.03128896385363421,7,45.55928657759564,30
