,acc,bal_acc,roc,eq_loss,eod,spd,min_tpr,max_tpr,mean_tpr
0,0.73,0.7309523809523809,0.8300000000000001,-0.1905280189255641,0.10765815760266373,0.080952380952381,0.6470588235294118,0.7547169811320755,0.7008879023307437
1,0.65,0.6547619047619048,0.7026190476190477,-0.09664638275767456,0.13,0.1654411764705882,0.55,0.68,0.615
2,0.66,0.680952380952381,0.7638095238095238,0.014912397311384828,-0.040000000000000036,-0.09911173445535298,0.6,0.64,0.62
3,0.68,0.6857142857142857,0.7452380952380951,-0.14604691361898592,-0.15034965034965042,-0.13921901528013586,0.5769230769230769,0.7272727272727273,0.6520979020979021
4,0.76,0.7428571428571429,0.8328571428571429,0.12470926135616284,-0.010683760683760646,0.0365296803652968,0.7777777777777778,0.7884615384615384,0.7831196581196581
5,0.65,0.6547619047619048,0.7214285714285714,-0.4671755702258129,0.20833333333333337,0.1866151866151866,0.5,0.7083333333333334,0.6041666666666667
6,0.65,0.6452380952380952,0.7252380952380952,-0.16479007476430474,0.27,0.21725571725571724,0.58,0.85,0.715
7,0.67,0.6880952380952381,0.751904761904762,-0.04465587443136776,0.26709401709401714,0.21867072552004063,0.4444444444444444,0.7115384615384616,0.5779914529914529
8,0.76,0.6952380952380952,0.7766666666666666,-0.06914475287358418,0.010000000000000009,0.04394576905095837,0.85,0.86,0.855
9,0.77,0.75,0.8071428571428572,0.05618947144833658,0.0,-0.007012622720897643,0.8,0.8,0.8
