,pr_0,tpr_0,bal_acc_0,roc_0,pr_1,tpr_1,bal_acc_1,roc_1,tpr,bal_acc,roc
0,0.5333333333333333,0.6470588235294118,0.6312217194570136,0.7828054298642534,0.6142857142857143,0.7547169811320755,0.7891231964483907,0.8645948945615982,0.7285714285714285,0.7309523809523809,0.8300000000000001
1,0.4375,0.55,0.65,0.6625,0.6029411764705882,0.68,0.6455555555555557,0.7122222222222223,0.6428571428571429,0.6547619047619048,0.7026190476190477
2,0.5507246376811594,0.64,0.6621052631578948,0.7515789473684211,0.45161290322580644,0.6,0.7090909090909091,0.7727272727272727,0.6285714285714286,0.680952380952381,0.7638095238095238
3,0.6129032258064516,0.7272727272727273,0.696969696969697,0.7348484848484849,0.47368421052631576,0.5769230769230769,0.6634615384615384,0.7724358974358975,0.6714285714285714,0.6857142857142857,0.7452380952380951
4,0.6301369863013698,0.7884615384615384,0.7751831501831501,0.8699633699633699,0.6666666666666666,0.7777777777777778,0.6666666666666667,0.7160493827160495,0.7857142857142857,0.7428571428571429,0.8328571428571429
5,0.43243243243243246,0.5,0.5833333333333333,0.706060606060606,0.6190476190476191,0.7083333333333334,0.6875,0.7055555555555555,0.6428571428571429,0.6547619047619048,0.7214285714285714
6,0.5135135135135135,0.58,0.6025,0.7025,0.7307692307692307,0.85,0.7583333333333333,0.7916666666666667,0.6571428571428571,0.6452380952380952,0.7252380952380952
7,0.37037037037037035,0.4444444444444444,0.6111111111111112,0.7592592592592593,0.589041095890411,0.7115384615384616,0.7129120879120879,0.7527472527472527,0.6428571428571429,0.6880952380952381,0.751904761904762
8,0.7096774193548387,0.85,0.6977272727272728,0.7545454545454545,0.7536231884057971,0.86,0.6931578947368421,0.7894736842105263,0.8571428571428571,0.6952380952380952,0.7766666666666666
9,0.6521739130434783,0.8,0.7684210526315789,0.8126315789473684,0.6451612903225806,0.8,0.7181818181818183,0.8022727272727272,0.8,0.75,0.8071428571428572
