number,duration,params_C,params_a,params_b,params_gamma,params_n_estimators
0,0 days 00:00:01.228220,440.2570376201747,0.18435553496427576,0.010517518709562811,0.6388052428312534,51
1,0 days 00:00:01.310320,0.9797573407469362,0.5817725336033784,0.5134395706314274,0.5322842488518682,174
2,0 days 00:00:01.081722,17.769666109463092,0.9546865141221244,0.6548015709356146,0.05275918265790469,42
3,0 days 00:00:01.164058,0.6172431427812475,0.3751817467665597,0.3614766949652005,0.647384856455282,498
4,0 days 00:00:01.291356,0.02987703375557765,0.6809354313544155,0.5755122020572379,0.312831170796533,66
5,0 days 00:00:01.083399,0.2520774285775859,0.9773265920153014,0.44048337266015075,0.7159377408163031,67
6,0 days 00:00:01.174740,2574.101242001323,0.1775069561985927,0.9884266260854548,0.4250077331744867,105
7,0 days 00:00:01.241900,37.371731755668776,0.8080939824371455,0.651327935095567,0.7849832234380137,76
8,0 days 00:00:01.328092,0.04554130977692062,0.8098392922991986,0.31805371159928897,0.22616458244897675,15
9,0 days 00:00:01.214517,1370.7647763594873,0.5334806898853687,0.2202149270367998,0.019013817748645634,146
10,0 days 00:00:01.356470,902.0870064497788,0.5779599444065625,0.9339165195854868,0.19273412074392482,429
11,0 days 00:00:01.035742,0.0018634708312054325,0.6789707498521695,0.6207695420833037,0.279244515828433,14
12,0 days 00:00:01.077850,64.39747233625516,0.3899257684747325,0.6822371687434213,0.645757600490096,423
13,0 days 00:00:00.943295,1.9435140523755534,0.6655559192614866,0.0163276387480942,0.8006092188012184,21
14,0 days 00:00:01.519971,598.6296375390784,0.9489120134416126,0.6915060841978958,0.6091616311887875,401
15,0 days 00:00:01.253303,0.0034734068470523433,0.10663014287446604,0.32473350052642275,0.5376214800532818,89
16,0 days 00:00:01.587693,0.04083409366825268,0.7271092816982856,0.0125579253230475,0.6127975603703995,84
17,0 days 00:00:01.326503,2.2160643812623966,0.1706166947244118,0.6999645526581487,0.677964976680568,24
18,0 days 00:00:01.565049,5829.60819415498,0.2542462444206696,0.9983511781409986,0.900802673371181,13
19,0 days 00:00:00.996304,0.0008626531917856617,0.12178644314872936,0.8934305824706946,0.8506352045378078,237
20,0 days 00:00:01.051789,0.00018327002787178246,0.5659905762954264,0.7842179605004264,0.024943895672003058,19
21,0 days 00:00:00.980256,0.0002254705599697055,0.6836629243587119,0.10761347435079348,0.28187042282701125,492
22,0 days 00:00:01.451426,0.5621198992589134,0.14705749807270263,0.15380913059235965,0.7821824165376674,71
23,0 days 00:00:01.300971,35.36209916380863,0.7563049555992938,0.8056267387609721,0.6371584276245146,20
24,0 days 00:00:01.148764,1377.0733564514612,0.11963965131817876,0.5957127609078433,0.8535764771286608,10
25,0 days 00:00:01.656888,129.86405102505248,0.5831239982332584,0.5503570106363062,0.6671688698146478,16
26,0 days 00:00:01.180525,68.70641772714818,0.6852844740668652,0.5441458169321145,0.7584238085849199,12
27,0 days 00:00:01.550582,5745.39618647541,0.8709581056680562,0.15588745253044062,0.6458197433103584,63
28,0 days 00:00:01.358440,152.67792107174637,0.1954700770356598,0.29377293029223184,0.35113954959498417,300
29,0 days 00:00:01.362918,5383.323588649826,0.7255636391884456,0.236506299020868,0.29943552673309726,60
30,0 days 00:00:01.762090,4892.2834255967555,0.4140272288647716,0.5523333760752478,0.5115322052317505,104
31,0 days 00:00:01.407380,1988.5516522529003,0.7299470020121829,0.36660984005350855,0.7318539814934397,32
32,0 days 00:00:01.392959,0.016325188960899663,0.6720830505687472,0.567021045178191,0.1116522165331364,14
33,0 days 00:00:01.436490,0.5559112905105694,0.11576148941442183,0.8309228621487853,0.467546290015988,21
34,0 days 00:00:00.958744,9342.75614224992,0.15678117671565311,0.5675800543238365,0.3851179946681912,80
35,0 days 00:00:01.331720,22.718584706008848,0.1992348031956609,0.26308536838690516,0.0417800066004651,89
36,0 days 00:00:01.205576,186.14398438866658,0.5971221042458598,0.031103943560372105,0.9713059484574978,201
37,0 days 00:00:01.035334,1.7779372820418484,0.9409958006743513,0.4312054922003587,0.8838608401712214,48
38,0 days 00:00:01.408049,0.06862059683002994,0.15516042401106053,0.5208456592054223,0.8265813754088296,11
39,0 days 00:00:00.898833,0.005191422014469472,0.2658648326479509,0.23799975145172675,0.29930966774182344,11
40,0 days 00:00:01.278404,6.586261293737422,0.8847727129635782,0.45349708922816023,0.18796854952278774,171
41,0 days 00:00:01.214900,42.90785255092112,0.3067709334564642,0.643773464315535,0.1761259613603946,114
42,0 days 00:00:01.251466,47.729449748746084,0.9493293164872921,0.5777735527821491,0.02855495359118221,46
43,0 days 00:00:01.254732,0.048978883621464166,0.23494814056198235,0.8829035793283564,0.4242199329403553,49
44,0 days 00:00:01.115380,0.20288543755654098,0.9187735683153321,0.20078731252307566,0.02977206054205639,436
45,0 days 00:00:00.944786,1.0942823232125602,0.4286306662761208,0.9286487518828503,0.12050183804493708,35
46,0 days 00:00:01.189047,3825.167494880946,0.5042345136024462,0.9706787943059415,0.3208105398781316,16
47,0 days 00:00:01.264717,42.97208118358403,0.35942530584618215,0.04493524444441507,0.39217415749417994,12
48,0 days 00:00:01.092710,0.0042659998304930115,0.6677340982735215,0.3444551549866485,0.8957699036221476,28
49,0 days 00:00:01.486164,0.8950071566075412,0.6309938348298256,0.17155580422054229,0.47267479132916423,185
50,0 days 00:00:00.938911,31.00446887199868,0.7333622513586454,0.3889055751418244,0.5568926537967724,49
51,0 days 00:00:01.361146,1750.9812822597803,0.47235855134817517,0.0872723280556202,0.041129948388939574,39
52,0 days 00:00:01.176479,0.3560938274921142,0.7665169083852167,0.7947947789576503,0.5938112639885514,250
53,0 days 00:00:01.062581,0.0006009513389102866,0.2281465707486987,0.9070189985350453,0.5019537891820713,87
54,0 days 00:00:01.282205,1008.0799541383848,0.7051745022771535,0.8115342169315528,0.009236933564275795,19
55,0 days 00:00:01.594383,2229.443469314266,0.3029733931545784,0.39130326468400367,0.510204633557105,272
56,0 days 00:00:01.407236,0.0852522789657475,0.2343264604985463,0.7859671454149495,0.8205018711845206,307
57,0 days 00:00:01.124157,0.00571517326302427,0.9660990834713071,0.9709136200726175,0.2529850409778792,47
58,0 days 00:00:01.111842,0.08242552681380831,0.8014151210764372,0.687597846691691,0.1549882924360676,21
