,acc,roc,eq_loss,eod,spd
0,0.78,0.7770666666666667,-0.08279299388126016,-0.04264214046822745,0.09895833333333337
1,0.78,0.7584803256445048,0.0563112425757214,0.05620155038759689,0.03125
2,0.77,0.8566468253968254,0.2513874928293466,-0.2592592592592592,-0.20404411764705888
3,0.73,0.7604166666666669,-0.045087929960982986,0.007246376811594235,-0.018232819074333828
4,0.73,0.7395833333333333,-0.10370667746876444,0.12363636363636366,-0.01978021978021982
5,0.76,0.8148148148148149,-0.04411568494206747,-0.0949494949494949,-0.16447368421052633
6,0.7,0.7869742198100408,0.015570352703984991,0.057823129251700744,-0.11173445535296866
7,0.77,0.7904616945712837,-0.1998774982944,0.1549707602339181,0.11313697989714822
8,0.67,0.7047110247693055,0.10866936530598803,-0.09642857142857142,-0.1608391608391609
9,0.81,0.8155080213903744,-0.07305547634329645,-0.23076923076923073,-0.016544117647058876
