number,duration,params_constraint_fnr_tolerance,params_learning_rate,params_max_depth,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators
0,0 days 00:00:01.086506,0.2778026868877506,0.0103263290152187,4,103.13394934898916,0.021667604857865744,319
1,0 days 00:00:00.470490,0.026577712545703458,0.0029751836869398736,8,512.9865858216443,0.25359971665793474,192
2,0 days 00:00:00.311609,0.16905318982134213,0.3936677836019652,9,3.5123596417787257,0.00842391771657469,81
3,0 days 00:00:00.489093,0.06187317855269904,0.016484086707210736,7,250.11663510058884,0.016035480636646452,230
4,0 days 00:00:00.090766,0.0064289521957311265,0.01093663102462232,9,243.71726311151352,0.026737817456020968,20
5,0 days 00:00:00.315393,0.005538682872099577,0.02965614443051563,8,22.93606117466085,0.09791918919245328,108
6,0 days 00:00:00.701975,0.1788850448909578,0.1000427577641414,7,30.379680156646195,0.0733806148409917,434
7,0 days 00:00:00.089220,0.12079792480773598,0.16530566358053222,7,500.61783498321324,0.14245447526752752,37
8,0 days 00:00:00.239410,0.10783757976976782,0.26412465799304957,3,5.409574293384821,0.09094612781227394,137
9,0 days 00:00:00.117498,0.20424955134260694,0.007308488795454528,5,7692.073074204379,0.031006605509788412,63
10,0 days 00:00:01.514324,0.008015937461516163,0.0020070532911168238,7,10.793096060402553,0.18198675306708487,220
11,0 days 00:00:00.073094,0.017874223449929873,0.06337901402932353,2,171.45338641892636,0.2544500643010401,32
12,0 days 00:00:00.046241,0.06698608597510337,0.04762737581243754,4,881.6643351407091,0.1984123745207364,23
13,0 days 00:00:00.727891,0.05427149139406204,0.0016436965841714257,2,19.904079785297373,0.04762479755476687,291
14,0 days 00:00:00.768107,0.010052319173286892,0.005286546859896014,6,237.43861551127898,0.007960348575481552,234
15,0 days 00:00:00.336444,0.027821856660006618,0.09931078404208392,9,5318.421159290975,0.09759784910422448,176
16,0 days 00:00:00.158279,0.027418032683402184,0.009848120121714064,2,262.7515725053499,0.05258352613620945,52
17,0 days 00:00:00.069591,0.014204672454436957,0.44085135864975317,3,696.5118432631871,0.011341049634851464,39
18,0 days 00:00:00.354786,0.008452147177129676,0.00929637640319767,7,7881.071632890173,0.05806263714653671,222
19,0 days 00:00:00.102706,0.04388869925056805,0.24593653146978064,4,84.96132938620813,0.07452520411191008,49
20,0 days 00:00:00.423185,0.017899667048572633,0.024164812682730505,2,15.339197004675347,0.13703330113893775,250
21,0 days 00:00:00.976078,0.017133430610473455,0.0029833377981906195,5,8.701449908576395,0.2533653891969495,225
22,0 days 00:00:00.618649,0.0080594897380022,0.07743216861198496,9,1.3685879371864196,0.006334215359161998,39
23,0 days 00:00:00.735958,0.03366088462748689,0.0026499517845023335,3,33.0314011635989,0.007330500529863879,179
24,0 days 00:00:00.708427,0.17465516476796558,0.0069595317623664475,8,3342.6992356900337,0.07131218935965408,453
25,0 days 00:00:00.267263,0.006300653333571083,0.018266028341811867,8,1028.1557126926848,0.2920327794794856,173
26,0 days 00:00:00.700332,0.0058905341033074965,0.02058776085846824,7,6573.640267580872,0.04864758234003492,429
27,0 days 00:00:00.245010,0.0862283330895641,0.006628546234366971,9,6125.487267280724,0.010018230142937182,152
28,0 days 00:00:00.485250,0.09801224595810601,0.03677772201432973,4,228.95506562119394,0.005013118690755489,243
29,0 days 00:00:00.075932,0.47908882132089914,0.03527725976092199,4,881.5606102752583,0.014280574017682382,43
30,0 days 00:00:00.175170,0.059047078639419597,0.025596150640977786,4,8761.774006977817,0.012463657960079103,106
31,0 days 00:00:00.120462,0.06934896608729663,0.012594081324293243,4,2006.9957352859267,0.12311278261534193,73
32,0 days 00:00:00.586696,0.0464614897304945,0.07324312272021127,4,16.530099363870697,0.011320194597262516,314
33,0 days 00:00:00.314966,0.3293012380658286,0.068577931226721,6,3.651980223870815,0.0495967670983185,70
34,0 days 00:00:00.151993,0.025177880126780558,0.017595351050605435,5,18.659707256808108,0.192285604588684,24
35,0 days 00:00:00.947584,0.3846818830718213,0.09340380520563862,7,10.05979574921975,0.013159894666945747,481
36,0 days 00:00:00.777113,0.22643923978075653,0.0303038316964279,5,6895.6564972857705,0.22843868443451498,477
37,0 days 00:00:00.664545,0.06834302933537414,0.015827158599925333,7,3.3539405314502035,0.021276128880452893,99
38,0 days 00:00:00.134115,0.015960453548172392,0.0023728376586376718,7,2976.0470205920233,0.3482381896978977,70
39,0 days 00:00:00.099123,0.02721410776811186,0.001994134477173444,4,509.25766388186133,0.17972834933244966,33
40,0 days 00:00:00.245421,0.38409725223540575,0.03157182725840167,4,8791.034323057684,0.3837142651838333,145
41,0 days 00:00:00.565594,0.022768692179549688,0.004292803553158587,3,1.6429880432048554,0.20407090473729533,271
42,0 days 00:00:00.411162,0.09274348161304992,0.009785469006243431,6,1113.8387042597203,0.006826153230111535,267
43,0 days 00:00:00.720003,0.20303440951871557,0.021149073191200775,7,359.0443608967575,0.0070928239067943296,289
44,0 days 00:00:00.161086,0.29265703684808725,0.18988197162908724,3,2.083132033709784,0.1771296713550303,62
45,0 days 00:00:00.064672,0.0059975297909596855,0.012870022230667506,8,1299.6048640505537,0.030899851990468716,39
46,0 days 00:00:00.247337,0.0650123387733217,0.0482141325103571,8,7265.273609728905,0.3331558642249513,167
47,0 days 00:00:00.288327,0.25743052794900706,0.03400891043029798,6,6.291251907324794,0.22260794511365578,69
48,0 days 00:00:00.488522,0.007868153979089014,0.038150415298278714,5,361.048287048413,0.07696546486082025,309
49,0 days 00:00:00.146043,0.28762273275718653,0.38253874864989307,9,555.381142224073,0.005674126421138887,92
50,0 days 00:00:00.357500,0.05191215708532096,0.0019298948451211195,9,2718.437321163239,0.008103006275046877,202
51,0 days 00:00:00.265267,0.01359184075239552,0.014440576680297634,8,213.59965386504106,0.07154181282263451,116
52,0 days 00:00:00.317917,0.1139094316775382,0.031038404847933607,2,609.8805581589381,0.038371089937598114,181
53,0 days 00:00:00.110188,0.12215578554677517,0.21198862412192812,2,56.79484847999959,0.02543829312512639,58
54,0 days 00:00:00.075352,0.43267059292718724,0.01811327970030717,2,2.9041534503830957,0.09750223043329245,20
55,0 days 00:00:00.199250,0.3562266249857251,0.01867371401483093,5,15.155483612277905,0.013359702251457476,21
56,0 days 00:00:00.123174,0.0153264589466361,0.27855319140783946,9,151.28316552323963,0.006994959701616451,46
