number,duration,params_C,params_Kmin,params_alpha,params_max_iter,params_n_iterations
0,0 days 00:00:17.051404,0.0004653299975208871,16,0.41485453584460197,10,16
1,0 days 00:00:27.573312,0.026149663283421345,32,0.8552516776566239,10,17
2,0 days 00:00:38.866582,0.22922537852441352,46,0.4384275020326198,10,21
3,0 days 00:00:24.067997,0.09111306263434278,45,0.7551302919329103,10,13
4,0 days 00:00:42.801205,0.0057520467383605995,32,0.17575207599741935,10,33
5,0 days 00:00:17.410304,0.0007991755004844227,19,0.8859447582011585,10,16
6,0 days 00:01:20.133482,1.7959427303599187,28,0.725664541705132,10,49
7,0 days 00:00:57.940296,1.0113046638362535,24,0.2808419904175614,10,34
8,0 days 00:00:38.445619,3.5302747042594897,47,0.16829589470455159,10,22
9,0 days 00:00:21.914985,0.0002110053361761915,24,0.8114559605363051,10,22
10,0 days 00:01:03.026836,835.7295577172501,13,0.8890323397485714,10,37
11,0 days 00:01:07.762859,29.655400975982143,46,0.6590062095619101,10,43
12,0 days 00:00:16.876006,0.0008964780663186568,11,0.13816876772563091,10,14
13,0 days 00:00:20.420748,0.0062487963542427315,30,0.843193770870812,10,16
14,0 days 00:00:20.883711,0.15224114756315305,32,0.3057306899638028,10,12
15,0 days 00:00:58.602349,5.077965346783218,38,0.3118911958956302,10,34
16,0 days 00:00:22.612252,0.015455630863037936,24,0.201128387880952,10,12
17,0 days 00:00:12.749986,0.00022700040675425115,17,0.8764953223346569,10,10
18,0 days 00:00:17.537539,0.00012480154496921072,21,0.4559716930433878,10,16
19,0 days 00:00:20.146332,2.630237788466111,40,0.6731595789635689,10,11
20,0 days 00:01:19.368911,2015.1653343122073,42,0.5264319058026342,10,48
21,0 days 00:00:15.336789,0.001003736424888902,10,0.6743415021800772,10,15
22,0 days 00:00:36.277344,0.10826147510812273,38,0.6310763424746082,10,23
23,0 days 00:00:29.843093,9.888913897063286,17,0.41763941456500975,10,17
24,0 days 00:00:33.422356,14.219938424173842,38,0.4079756102811676,10,19
25,0 days 00:00:29.742672,0.006800222652602668,19,0.1546068440865832,10,16
26,0 days 00:00:18.617849,0.24521140975623615,37,0.5331742832467596,10,10
27,0 days 00:01:02.518757,2.2016963413168242,44,0.2663166373820227,10,37
28,0 days 00:00:36.865018,0.0004540471940805699,42,0.5877085832241196,10,40
29,0 days 00:01:18.548680,30.996926278794366,20,0.5753180718061751,10,49
30,0 days 00:00:22.723393,361.77501005396,30,0.36571431156459855,10,13
31,0 days 00:00:18.690414,3328.340918237091,27,0.20082260996545892,10,10
32,0 days 00:00:56.680764,4.531220701974451,37,0.8493013574256403,10,41
33,0 days 00:00:21.651669,2058.917484679144,43,0.5236137047727712,10,12
34,0 days 00:00:19.685223,0.019310367500265217,25,0.6086969072308064,10,11
35,0 days 00:00:33.996636,0.0020249300146852217,11,0.27219246995665874,10,38
36,0 days 00:00:33.730850,2177.1508107909262,44,0.45947341252435425,10,19
37,0 days 00:00:21.054921,7079.794667999301,31,0.20533721361054313,10,11
38,0 days 00:00:28.366790,0.00030239328357063564,20,0.17629129770760887,10,31
39,0 days 00:00:22.027796,0.06027367669144343,10,0.8525390165765269,10,12
40,0 days 00:00:24.267403,0.0005376786543735986,29,0.13174868443098955,10,24
41,0 days 00:00:59.322652,0.017804110329287835,24,0.7168857982359758,10,35
42,0 days 00:00:18.899259,0.0018271688144608244,10,0.48363848338930593,10,19
43,0 days 00:00:21.773033,0.005557696924600974,21,0.5925057311557286,10,19
44,0 days 00:01:21.780591,276.17069345781846,31,0.4534941104275063,10,48
45,0 days 00:00:28.951610,9753.140871183508,41,0.1992610226188309,10,16
46,0 days 00:00:44.728328,0.021729541476811238,41,0.3119209437280257,10,27
47,0 days 00:00:29.300684,4591.404497313104,14,0.5186175668433294,10,16
48,0 days 00:00:42.738396,5126.700901905256,39,0.4108655410432065,10,24
49,0 days 00:00:38.306125,0.04477721993493781,28,0.7840886763561801,10,29
50,0 days 00:00:33.604800,2.0043214283613153,13,0.3803826245042621,10,18
51,0 days 00:00:58.736869,4400.529183351915,43,0.3136119638076541,10,35
52,0 days 00:01:16.594572,0.014097069240796439,41,0.3203408986727452,10,46
53,0 days 00:00:56.065178,9731.76236166389,24,0.6171487791225547,10,46
54,0 days 00:00:42.867226,0.02082904066125014,35,0.8898136937304701,10,24
55,0 days 00:00:27.620076,0.00202074929001577,22,0.8986629536604902,10,31
56,0 days 00:00:30.088649,0.07013268382768692,24,0.6523806408277222,10,17
57,0 days 00:00:32.253457,10.536404732069398,47,0.7640572557611343,10,18
58,0 days 00:01:19.138373,0.034736367888583336,33,0.5875889788100438,10,48
59,0 days 00:00:22.141465,0.00011061172531067712,47,0.3714898019631382,10,20
60,0 days 00:00:12.985801,0.00018318057904153932,24,0.6929338741665901,10,11
