,acc,bal_acc,roc,eq_loss,eod,spd
0,0.76,0.7714285714285715,0.8642857142857143,-0.26845544607473815,0.1265260821309656,0.11428571428571432
1,0.75,0.6595238095238095,0.7285714285714285,-0.12410808837786835,0.050000000000000044,0.05882352941176472
2,0.72,0.7047619047619047,0.7421428571428572,0.01614972112199986,0.010000000000000009,-0.010285179990649818
3,0.66,0.6142857142857143,0.6630952380952381,0.006213719627786052,-0.24125874125874136,-0.17317487266553477
4,0.73,0.7214285714285714,0.8342857142857143,0.1190445488204751,-0.10256410256410264,-0.1253170979198377
5,0.6,0.6666666666666667,0.7585714285714286,-0.34488232601890756,0.2651515151515152,0.20592020592020588
6,0.74,0.6904761904761905,0.7257142857142858,-0.11468240274248787,0.04999999999999993,0.04158004158004158
7,0.72,0.7333333333333334,0.7857142857142857,-0.023975768159869015,0.2692307692307693,0.2090309487569762
8,0.8,0.7619047619047619,0.8228571428571428,-0.152459504518406,-0.13,-0.014025245441795287
9,0.74,0.7,0.7173809523809525,-0.0018692040423353706,0.06999999999999995,-0.003740065451145469
