,acc,bal_acc,roc,eq_loss,eod,spd,min_tpr,max_tpr,mean_tpr
0,0.71,0.7261904761904763,0.8176190476190477,-0.23569066320428206,0.05105438401775797,-0.023809523809523836,0.6470588235294118,0.6981132075471698,0.6725860155382908
1,0.72,0.6666666666666667,0.7047619047619047,-0.1567325253616394,0.06999999999999995,0.06433823529411764,0.75,0.82,0.7849999999999999
2,0.74,0.7,0.7761904761904762,0.12898063834509,0.0,-0.05049088359046283,0.8,0.8,0.8
3,0.65,0.6071428571428572,0.6799999999999999,-0.018712250663163288,-0.2797202797202798,-0.24193548387096775,0.5384615384615384,0.8181818181818182,0.6783216783216783
4,0.69,0.7023809523809523,0.8276190476190476,0.16234141759234128,-0.08119658119658113,-0.04312531709791989,0.6111111111111112,0.6923076923076923,0.6517094017094017
5,0.68,0.7047619047619048,0.7790476190476191,-0.22908927528666612,0.14204545454545459,0.1818961818961819,0.5454545454545454,0.6875,0.6164772727272727
6,0.7,0.680952380952381,0.7242857142857143,-0.22783121518206162,0.16999999999999993,0.1496881496881497,0.68,0.85,0.765
7,0.6,0.6952380952380952,0.7311904761904762,-0.03125489234853107,0.09188034188034189,0.059868087265347536,0.3888888888888889,0.4807692307692308,0.43482905982905984
8,0.6,0.6666666666666667,0.6461904761904762,-0.07750870770229112,-0.07000000000000006,0.01870032725572701,0.48,0.55,0.515
9,0.75,0.7071428571428571,0.7978571428571428,0.05187286573872463,-0.019999999999999907,-0.018232819074333828,0.8,0.82,0.81
