number,duration,params_C,params_a,params_b,params_gamma,params_n_estimators
0,0 days 00:01:00.313822,302.04591076895446,0.7690225133035691,0.6269319853346158,0.1886934889033961,192
1,0 days 00:00:10.030451,0.5510987349296321,0.9772271059063535,0.04956050058570129,0.806783517855315,33
2,0 days 00:01:05.374608,0.01039278591560561,0.40702277945664944,0.2105096681429552,0.9062696601527321,217
3,0 days 00:00:09.577940,440.4833656551056,0.7156515987981753,0.45382203146116307,0.7573584670786176,34
4,0 days 00:00:05.285580,0.04188293213411289,0.9661046699898734,0.09772272474540818,0.6896377531681308,19
5,0 days 00:00:04.074971,6.21264370522917,0.913490424735956,0.4284754668499825,0.5586714208445411,12
6,0 days 00:00:06.050663,3.2366399715971057,0.8577439183729656,0.52089545736447,0.19325611664171405,19
7,0 days 00:00:23.788494,3489.6588280375777,0.8437358881723641,0.8461514940882846,0.1559528503566766,80
8,0 days 00:01:24.869936,0.05185336772074696,0.7296701634206167,0.17085121309723114,0.5128573958908685,277
9,0 days 00:00:02.899431,1.0578709893105038,0.8808993060152159,0.8779760398287915,0.5065060306478791,10
10,0 days 00:02:07.283185,14.396666892630876,0.9208784332977837,0.8628884406704731,0.3062227031916174,413
11,0 days 00:00:12.148233,1857.517869765188,0.36269832299823446,0.6622286268420043,0.13447983041607114,40
12,0 days 00:00:29.352026,1317.378154029495,0.20014086752718424,0.9313487228984318,0.29839288770673167,96
13,0 days 00:00:07.637714,0.03578671344285609,0.983589111659796,0.3585239959799716,0.09089594760768871,21
14,0 days 00:00:04.529135,0.8616305849620837,0.3132935104775193,0.8696638597158032,0.36244149230307454,16
15,0 days 00:00:18.105951,125.6525477041831,0.5574554579694543,0.3678459580731503,0.5052246109935566,58
16,0 days 00:00:07.340959,0.006318897975686027,0.532293788091975,0.5527278141747604,0.19109999058052585,24
17,0 days 00:00:03.300714,55.04342047562609,0.5191568720236321,0.8789929812771944,0.8078817294753262,10
18,0 days 00:00:02.493656,0.002589254853153,0.9618656844815662,0.3812285946471123,0.2153219006915602,10
19,0 days 00:00:30.705419,1065.5962023445559,0.3930478727374984,0.2691262699693564,0.794750746012903,96
20,0 days 00:02:14.237855,0.07504543069631547,0.14016164812337678,0.8900346753732138,0.769873611847327,439
21,0 days 00:00:04.419449,32.31648850337078,0.8991911029506016,0.37518148430173265,0.22024354766484244,11
22,0 days 00:00:07.200774,0.0010904262808403464,0.2704210757567237,0.9757525046466541,0.8143157643388705,25
23,0 days 00:01:09.670123,9.69780219562354,0.8002995746467414,0.2851155163534888,0.3464497165946159,226
24,0 days 00:00:33.097799,3182.3553648383454,0.1772692218784709,0.5924118165939007,0.4312066918205215,109
25,0 days 00:01:43.385988,18.788315384733593,0.6507227622357101,0.982219186178591,0.17929812921493005,337
26,0 days 00:00:25.968512,1003.2071915980315,0.44367965673509635,0.31685888443656796,0.8272335131359779,82
27,0 days 00:00:04.136874,0.5929239739707117,0.8563053281860725,0.28306987378905185,0.7575093661062263,14
28,0 days 00:00:13.562454,0.0003937286359121197,0.1546628106282711,0.6523247682460951,0.2615642615067757,48
29,0 days 00:00:36.784149,25.10047850145985,0.18512537975936738,0.9601385108573816,0.9079617911779884,118
30,0 days 00:00:11.609261,9117.248872550723,0.8442728852371703,0.8675040203712246,0.34532547162109983,39
31,0 days 00:00:10.978001,332.84421555474876,0.9799841012858032,0.9205597334763062,0.1168298954603526,36
32,0 days 00:00:27.328363,246.61204211579988,0.6823082115854877,0.41878637559008314,0.28687489553245804,89
33,0 days 00:00:05.334029,0.0019569201500548514,0.5858934693271158,0.7606691181878197,0.9960087636497925,17
34,0 days 00:00:15.892530,0.06054147091336939,0.25035212714705524,0.9273625894184544,0.3527148468388617,57
35,0 days 00:00:26.562047,9423.338973937894,0.12121592172411753,0.6013373723519837,0.37126822837504125,88
36,0 days 00:00:20.292863,681.7592377351572,0.6038886773382364,0.8502699306497556,0.5182383515295146,62
37,0 days 00:01:29.714950,1824.5137895064465,0.6696950634957868,0.6513735349896064,0.9246846075158268,293
38,0 days 00:00:34.956314,0.15217950970108107,0.9262936670083733,0.1345489977536117,0.8310336198012566,120
39,0 days 00:00:06.600473,0.17354757981143365,0.9237235602699215,0.15330180194085544,0.7242538910731379,19
40,0 days 00:00:05.510845,773.7200492781747,0.9741396655093147,0.7609335274842115,0.5977297756053538,16
41,0 days 00:02:19.624844,103.42576436126257,0.7214943602710072,0.9966998489904458,0.8224985230847992,459
42,0 days 00:00:38.878047,0.0004060419584684724,0.7901900239153008,0.4280568170237872,0.24581292761943285,127
43,0 days 00:00:12.172139,0.018172286285354854,0.24433834070997848,0.860580896190036,0.886262413936869,35
