,acc,bal_acc,roc,eq_loss,eod,spd
0,0.72,0.6952380952380952,0.8080952380952382,-0.20249233096517882,-0.1653718091009989,-0.1333333333333333
1,0.65,0.6261904761904762,0.7180952380952381,-0.06735536064923331,-0.019999999999999907,0.023897058823529438
2,0.64,0.6571428571428571,0.6897619047619047,0.011423512367341293,-0.020000000000000018,-0.052360916316035566
3,0.57,0.588095238095238,0.6838095238095239,-0.02215225030986423,-0.12937062937062938,-0.15365025466893034
4,0.72,0.6857142857142857,0.8161904761904762,0.10178118771079586,0.08333333333333337,0.11060375443937087
5,0.3,0.5,0.5,4.440892098500626e-16,0.0,0.0
6,0.71,0.6690476190476191,0.7352380952380952,-0.057297319370646305,0.18000000000000005,0.1860706860706861
7,0.65,0.6642857142857143,0.7709523809523808,-0.020617184317783033,0.24786324786324787,0.21867072552004063
8,0.78,0.7380952380952381,0.7876190476190476,-0.4308851387030149,-0.010000000000000009,-0.014025245441795287
9,0.3,0.5,0.5,-5.551115123125783e-16,0.0,0.0
