,acc,bal_acc,roc,eq_loss,eod,spd
0,0.68,0.6857142857142857,0.8233333333333334,-0.20245424796384404,0.10987791342952269,0.08571428571428574
1,0.72,0.6476190476190476,0.7071428571428572,-0.3607563834620966,0.10999999999999999,0.03125
2,0.69,0.6928571428571428,0.767142857142857,0.09661870634176417,-0.04999999999999993,-0.03132304815334275
3,0.66,0.6714285714285715,0.7228571428571429,-0.015091868350912474,-0.34965034965034963,-0.3191850594227504
4,0.72,0.6857142857142857,0.82,0.04303633868445805,0.08333333333333337,0.0091324200913242
5,0.57,0.6261904761904762,0.6814285714285715,0.16851151614727877,-0.21969696969696967,-0.20720720720720726
6,0.7,0.6523809523809524,0.7057142857142857,-0.3638869260413654,0.10999999999999999,0.06860706860706856
7,0.59,0.6023809523809524,0.6880952380952381,-0.07261215849268343,0.170940170940171,0.08980213089802136
8,0.52,0.6000000000000001,0.5723809523809524,-0.037753736674798866,-0.07,0.025245441795231416
9,0.54,0.5571428571428572,0.6173809523809524,0.3954969084513803,0.19,0.28611500701262266
