,acc,bal_acc,roc,eq_loss,eod,spd,tpr_min,tpr_max,tpr_mean,pr_min,pr_max,pr_mean,bal_acc_min,bal_acc_max,bal_acc_mean
0,0.73,0.7404761904761905,0.8219047619047618,-0.513674067570911,0.08879023307436174,0.05238095238095242,0.6470588235294118,0.7358490566037735,0.6914539400665927,0.5333333333333333,0.5857142857142857,0.5595238095238095,0.6312217194570136,0.8091009988901221,0.7201613591735678
1,0.73,0.6833333333333333,0.7102380952380951,-0.041113816423588245,0.20999999999999996,0.27941176470588236,0.65,0.86,0.755,0.5,0.7794117647058824,0.6397058823529411,0.6522222222222223,0.7,0.6761111111111111
2,0.69,0.6642857142857143,0.7257142857142856,0.020205479587066977,0.030000000000000027,-0.024777933613838177,0.72,0.75,0.735,0.6129032258064516,0.6376811594202898,0.6252921926133708,0.6494736842105263,0.6931818181818181,0.6713277511961722
3,0.72,0.7142857142857142,0.7747619047619048,-0.07789617573430319,-0.24125874125874136,-0.20373514431239387,0.5769230769230769,0.8181818181818182,0.6975524475524475,0.47368421052631576,0.6774193548387096,0.5755517826825127,0.6634615384615384,0.7424242424242424,0.7029428904428905
4,0.72,0.7428571428571429,0.8104761904761905,0.15658469132250796,-0.02564102564102566,-0.029426686960933535,0.6666666666666666,0.6923076923076923,0.6794871794871795,0.5185185185185185,0.547945205479452,0.5332318619989853,0.7222222222222222,0.7509157509157509,0.7365689865689866
5,0.54,0.5952380952380952,0.6845238095238095,-0.15800493713142838,0.2689393939393939,0.20592020592020588,0.2727272727272727,0.5416666666666666,0.40719696969696967,0.2702702702702703,0.47619047619047616,0.3732303732303732,0.5030303030303029,0.6375,0.5702651515151514
6,0.66,0.6428571428571428,0.7195238095238096,-0.16814214046610787,0.019999999999999907,0.02079002079002079,0.68,0.7,0.69,0.5945945945945946,0.6153846153846154,0.6049896049896051,0.6316666666666667,0.6833333333333333,0.6575
7,0.71,0.7261904761904763,0.7761904761904762,-0.013973351652810495,0.32478632478632485,0.24606798579401323,0.4444444444444444,0.7692307692307693,0.6068376068376069,0.37037037037037035,0.6164383561643836,0.49340436326737697,0.6111111111111112,0.7655677655677655,0.6883394383394383
8,0.72,0.6952380952380952,0.7747619047619048,-0.04622037980002719,0.010000000000000009,0.03927068723702665,0.75,0.76,0.755,0.6129032258064516,0.6521739130434783,0.632538569424965,0.6931818181818181,0.6957894736842105,0.6944856459330143
9,0.3,0.5,0.5,-5.551115123125783e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5
