,acc,bal_acc,roc,eq_loss,eod,spd
0,0.7,0.7380952380952381,0.8295238095238096,-0.6988855815756999,0.07214206437291892,0.04761904761904756
1,0.71,0.6404761904761904,0.7376190476190476,-0.11579830506363564,0.019999999999999907,0.0625
2,0.69,0.730952380952381,0.7723809523809524,0.03170373057777298,0.030000000000000027,-0.008882655446470322
3,0.73,0.6833333333333333,0.7585714285714286,-0.04666131333563184,-0.2325174825174825,-0.2640067911714771
4,0.72,0.6952380952380952,0.8242857142857144,0.1346684125038815,0.02777777777777779,0.08726534753932014
5,0.72,0.7047619047619047,0.7780952380952382,-0.6629104530647392,0.22159090909090906,0.21192621192621186
6,0.61,0.6452380952380952,0.7200000000000001,-0.20480731356454307,0.19999999999999996,0.1964656964656965
7,0.54,0.5952380952380952,0.6702380952380952,0.0025863682060758286,0.09188034188034189,0.091324200913242
8,0.55,0.6404761904761905,0.7397619047619047,-0.012661794197136866,-0.04999999999999999,-0.03599812996727447
9,0.52,0.6571428571428571,0.7457142857142857,0.0031540527720252953,-0.09000000000000002,-0.08508648901355775
