number,duration,params_learning_rate,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_lambda
0,0 days 00:00:00.136309,0.019696517927848677,210.73004640533037,176,19,0.005617990740908217
1,0 days 00:00:00.062308,0.0017906275722276873,178.68835473095078,52,50,119.58881026266732
2,0 days 00:00:00.177768,0.0629604895452844,0.8932354422151577,68,11,800.8286188520914
3,0 days 00:00:01.916066,0.008028671621328193,0.0019620479205812924,310,12,0.368733682501121
4,0 days 00:00:00.062609,0.05660315978077297,27.120079962550122,23,9,0.002156633307271498
5,0 days 00:00:00.200254,0.0029281070656463157,362.8615974274321,381,3,0.0033545057700495183
6,0 days 00:00:00.840679,0.003442125808064015,0.04965752275549874,223,47,92.68535018696745
7,0 days 00:00:02.877958,0.013854123496207583,0.06541965270008042,281,59,0.05082453795540489
8,0 days 00:00:00.324506,0.02995300056099758,0.24506056270106283,47,43,4.1646838309348855
9,0 days 00:00:00.072819,0.0016694122183847707,0.8800605970042382,28,32,144.4829947908448
10,0 days 00:00:02.682167,0.003339256902435177,0.0045441454950618815,303,24,0.1253463649467218
11,0 days 00:00:01.473068,0.005310417061289131,0.059676780086792294,410,19,319.214537776983
12,0 days 00:00:02.366774,0.03917533793202203,2.8522610940717597,305,35,0.005446064102795458
13,0 days 00:00:00.137549,0.05508435340930149,477.6060779409085,215,30,2.0591887770628508
14,0 days 00:00:00.058290,0.00504935704579488,4.719167913219237,34,5,1.2603434586622453
15,0 days 00:00:00.097432,0.030566169113870514,18.435742848408285,29,24,3.5322659855794454
16,0 days 00:00:00.420210,0.033074360488176004,0.002969298696822444,171,4,0.01730852478351423
17,0 days 00:00:00.432490,0.016788871684963475,6.056169721291532,53,45,0.03497429532763918
18,0 days 00:00:00.828971,0.07437832203912804,0.0038150747902512185,77,56,0.06494396329577187
19,0 days 00:00:01.719576,0.09395138985894308,0.23651725728313924,304,31,131.15314750763866
20,0 days 00:00:00.090910,0.007797148681298457,0.1321127299328109,21,34,242.22392266500987
21,0 days 00:00:00.767011,0.01787830904040342,0.27490876610439713,87,26,1.5872902575515624
22,0 days 00:00:00.163519,0.00970705698924763,548.753679549967,305,20,190.2195050175961
23,0 days 00:00:00.139442,0.08979797793246294,9.4845013660972,60,44,520.6912431856717
24,0 days 00:00:01.988199,0.00220152606729224,0.015357426555315336,208,43,0.0037546269002535827
25,0 days 00:00:00.373886,0.00809195321520047,0.14364163423254156,58,39,8.910988099259084
26,0 days 00:00:00.328570,0.06272565746452116,0.003344587631049101,32,51,0.025186618709782775
27,0 days 00:00:00.673527,0.008415261391838263,0.010067981081872936,118,13,0.0012676522792306171
28,0 days 00:00:00.047361,0.04315685344795935,241.9137964729156,78,49,55.780090141828616
29,0 days 00:00:00.149852,0.00207013499280185,612.8869372771723,278,33,7.456146032400036
30,0 days 00:00:00.249387,0.040017746104083,0.93725827014814,23,45,1.1456979407521464
