,acc,roc,eq_loss,eod,spd
0,0.71,0.6960000000000001,0.8277390731763767,0.22448979591836737,0.25806451612903225
1,0.69,0.7587064676616915,0.08120321843419498,0.10526315789473684,0.1785714285714286
2,0.76,0.8005952380952381,0.5264842709097688,0.25,0.33333333333333337
3,0.67,0.759982638888889,0.2580213287270408,0.05128205128205132,0.11475409836065575
4,0.79,0.7648809523809523,0.23400582518747176,0.10416666666666663,0.10245901639344257
5,0.8,0.8396752917300861,0.3060819867509531,0.25,0.25
6,0.74,0.7236544549977385,0.281403064206885,0.125,0.25
7,0.77,0.7983257229832572,0.38562762562869457,0.14736842105263148,0.4285714285714286
8,0.77,0.7081107333657115,0.44568512079004974,0.15384615384615385,0.25
9,0.69,0.8114973262032086,0.5057982181343929,0.04761904761904767,0.0714285714285714
