model,thresh,mse,max_mse,duration
0,0.5,0.02299928726561986,0.02574344765450498,0 days 00:00:55.620199
1,0.5,0.02300070012791474,0.02574530187086328,0 days 00:00:49.501607
2,0.5,0.023000188328030642,0.025746086743755756,0 days 00:01:04.240895
3,0.5,0.02299954570502945,0.025744051106051873,0 days 00:01:03.523960
4,0.5,0.02300012496863313,0.025746323963140447,0 days 00:01:09.052519
5,0.5,0.02299957084232121,0.02574466347557666,0 days 00:01:02.900872
6,0.5,0.023000204123697566,0.025744492132320714,0 days 00:01:08.929451
7,0.5,0.02299998910829664,0.0257481694245361,0 days 00:01:08.848064
8,0.5,0.0229996966373579,0.025745837564757727,0 days 00:00:57.903382
9,0.5,0.023000012840536436,0.025747387519753806,0 days 00:01:08.917967
10,0.5,0.023000036375409465,0.025745202675432535,0 days 00:01:26.529922
11,0.5,0.02300030080746179,0.025746667356709316,0 days 00:01:20.236067
12,0.5,0.02299960944318425,0.025745293958464442,0 days 00:01:19.902939
13,0.5,0.02300004782186409,0.025745460839643408,0 days 00:01:20.022574
14,0.5,0.023000323440948222,0.025745823410207234,0 days 00:01:19.265636
15,0.5,0.022999662961971985,0.0257444030504369,0 days 00:01:15.786160
16,0.5,0.023000791041477814,0.025745634671164242,0 days 00:01:27.670493
17,0.5,0.023000351414253745,0.025744312976208633,0 days 00:01:18.211126
18,0.5,0.022999873757613663,0.025744320642196245,0 days 00:01:27.694776
19,0.5,0.02299960448091182,0.02574557290561511,0 days 00:01:23.935345
20,0.5,0.02299921382174471,0.025743984401538644,0 days 00:01:14.107216
21,0.5,0.02299995719687323,0.02574493893772713,0 days 00:01:39.421730
22,0.5,0.022999959887642016,0.025744535312601895,0 days 00:01:39.547150
23,0.5,0.02299973016971876,0.025744448735351453,0 days 00:01:37.761895
24,0.5,0.023000289579861583,0.025746839328316142,0 days 00:01:25.632593
25,0.5,0.022999618048377423,0.025745072063380225,0 days 00:01:24.500872
26,0.5,0.02299981613596031,0.025743806059582704,0 days 00:01:43.939882
27,0.5,0.02300015526260294,0.025745789248624567,0 days 00:01:39.008260
28,0.5,0.023000224945081766,0.025744727163477782,0 days 00:01:46.414712
29,0.5,0.022999417683293104,0.025745129781423882,0 days 00:01:38.793149
30,0.5,0.023000588253835278,0.02574505442093494,0 days 00:01:37.226273
31,0.5,0.0229999022708841,0.02574538420999285,0 days 00:01:33.836077
32,0.5,0.022999857408320654,0.025744121421525608,0 days 00:01:45.766556
33,0.5,0.022999929112195262,0.02574466261965568,0 days 00:01:46.236551
34,0.5,0.02300080517645387,0.02574579984969996,0 days 00:01:44.458756
35,0.5,0.022999989453152556,0.025744715287930375,0 days 00:01:45.988748
36,0.5,0.023000498790402116,0.025746159451963187,0 days 00:01:31.178867
37,0.5,0.02300003253075461,0.025745385841477276,0 days 00:01:27.323416
38,0.5,0.023000142756137824,0.0257452302890928,0 days 00:01:28.186948
39,0.5,0.023000143899773468,0.025745740795287873,0 days 00:01:20.494450
40,0.5,0.023000195703108333,0.025744529393518175,0 days 00:01:22.373143
41,0.5,0.023000081553073322,0.02574476634512058,0 days 00:01:25.025302
42,0.5,0.023000256940467288,0.025745571590633082,0 days 00:01:37.253900
43,0.5,0.02300019095162727,0.025745353893918826,0 days 00:01:37.366799
44,0.5,0.023000312462342746,0.025745648876043675,0 days 00:01:42.718396
45,0.5,0.022999727380175288,0.025745169692031642,0 days 00:01:42.526147
46,0.5,0.023000538881419414,0.02574527511048346,0 days 00:01:44.958027
47,0.5,0.023000544581701178,0.025745767219362378,0 days 00:01:45.194100
48,0.5,0.02299958431145484,0.025746109986540946,0 days 00:01:47.774475
49,0.5,0.02300070680149403,0.025746003885070853,0 days 00:01:47.760528
50,0.5,0.022999201622474656,0.02574421066848424,0 days 00:01:36.205890
51,0.5,0.023000029602932678,0.025745076132735346,0 days 00:02:21.325783
52,0.5,0.022999770198099446,0.025744352429109853,0 days 00:02:00.082818
53,0.5,0.023000415381034273,0.02574706097930941,0 days 00:02:05.861211
54,0.5,0.02299996683777481,0.025745064492281245,0 days 00:02:05.527378
55,0.5,0.023000276399079752,0.02574652014748691,0 days 00:02:00.085739
56,0.5,0.02300043451559961,0.025745743687167196,0 days 00:01:56.905170
57,0.5,0.023000041529708255,0.025745011285586993,0 days 00:02:02.013837
58,0.5,0.02300020060862561,0.025746757290574927,0 days 00:02:02.464222
59,0.5,0.023000561217823255,0.02574414485690531,0 days 00:01:54.117906
60,0.5,0.023000195114418566,0.025744581991863656,0 days 00:02:05.845522
61,0.5,0.023000252643684764,0.02574563597600694,0 days 00:01:39.821842
62,0.5,0.02300030669792975,0.02574305137598414,0 days 00:01:31.004214
63,0.5,0.022999790444417374,0.02574564174225889,0 days 00:01:32.296985
64,0.5,0.022999661153852203,0.025745459511239122,0 days 00:01:52.175888
65,0.5,0.02299994181038039,0.02574491737685112,0 days 00:01:49.634233
66,0.5,0.022999589592222976,0.02574318954126028,0 days 00:01:47.075987
67,0.5,0.022999602612182566,0.025745651467442465,0 days 00:01:51.093354
68,0.5,0.02300049346572879,0.025746315398834502,0 days 00:01:51.100293
69,0.5,0.023000213732970034,0.02574430484764695,0 days 00:01:40.678449
70,0.5,0.02300025372247172,0.025745760802314496,0 days 00:01:38.429026
71,0.5,0.023000438138050944,0.025745913093469557,0 days 00:01:33.922749
72,0.5,0.022999586851376083,0.02574447851403936,0 days 00:01:48.747506
73,0.5,0.022999762767451835,0.02574439437705415,0 days 00:01:47.204936
74,0.5,0.023000009979397076,0.02574414139801179,0 days 00:01:24.710869
