,acc,roc,eq_loss,eod,spd
0,0.77,0.776,1.2965177488093675,0.25,0.32258064516129037
1,0.64,0.5047489823609227,0.012331698365833366,0.13157894736842102,0.125
2,0.72,0.5,0.14395319360863013,0.0,0.0
3,0.65,0.7120225694444444,0.06124472324069885,0.2857142857142857,0.25
4,0.8,0.7782738095238095,0.48988918774137347,0.14583333333333337,0.18688524590163935
5,0.75,0.8041603247082698,0.6910132312424474,0.13235294117647056,0.32499999999999996
6,0.74,0.7734056987788331,0.2170951304776924,0.125,0.13479623824451403
7,0.69,0.6927955352612887,0.4241388009575417,0.1578947368421053,0.1724137931034483
8,0.72,0.6189898008742107,0.05121937353917971,0.16666666666666663,0.30000000000000004
9,0.75,0.7825311942959002,0.3007886347070926,0.19047619047619047,0.2592592592592593
