fold,trial,model,params,roc,acc,eod,spd,eq_loss
3,3,XtremeFair_grad,"{'min_child_weight': 900.2076666623284, 'n_estimators': 10, 'eta': 0.4345791313302759, 'max_depth': 2, 'l2_weight': 0.0018065299528923183, 'fair_weight': 1.2226455180160516, 'multiplier_learning_rate': 0.07290781573688455}",0.5,0.29,0.0,0.0,0.0
3,4,XtremeFair_grad,"{'min_child_weight': 365.578422001702, 'n_estimators': 11, 'eta': 0.4933515465408408, 'max_depth': 4, 'l2_weight': 0.012011469562392064, 'fair_weight': 1.5923846241980992, 'multiplier_learning_rate': 0.07267228810405327}",0.5,0.29,0.0,0.0,0.0
3,5,XtremeFair_grad,"{'min_child_weight': 0.04083502539295419, 'n_estimators': 383, 'eta': 0.05651937855977313, 'max_depth': 2, 'l2_weight': 0.04026962465223705, 'fair_weight': 1.480119660588556, 'multiplier_learning_rate': 0.09249043780489895}",0.7508499271491015,0.735,0.050615901455767,-0.00347222222222221,-0.0037282686982074154
4,0,XtremeFair_grad,"{'min_child_weight': 0.8386413698444528, 'n_estimators': 277, 'eta': 0.23713239385932924, 'max_depth': 7, 'l2_weight': 0.0031193785583109456, 'fair_weight': 0.06677448670520678, 'multiplier_learning_rate': 0.08057886364762343}",0.7514570179698884,0.765,0.02015677491601342,-0.02083333333333337,0.17309140159436875
4,1,XtremeFair_grad,"{'min_child_weight': 700.8013588517773, 'n_estimators': 12, 'eta': 0.09800230247474775, 'max_depth': 8, 'l2_weight': 134.03279048125094, 'fair_weight': 0.017659854027790287, 'multiplier_learning_rate': 0.23689251843927586}",0.5,0.29,0.0,0.0,0.0
4,2,XtremeFair_grad,"{'min_child_weight': 0.061879103090073585, 'n_estimators': 37, 'eta': 0.11851990246234062, 'max_depth': 3, 'l2_weight': 0.009799694047842833, 'fair_weight': 0.21288808270612716, 'multiplier_learning_rate': 0.037446148636669375}",0.7767119961146188,0.775,0.05151175811870101,0.04513888888888884,0.07848622168524427
4,3,XtremeFair_grad,"{'min_child_weight': 220.78041733131522, 'n_estimators': 75, 'eta': 0.010497146114440413, 'max_depth': 8, 'l2_weight': 0.0036829003354600393, 'fair_weight': 4.036206685356721, 'multiplier_learning_rate': 0.029738873200174366}",0.6004735308402136,0.29,0.0,0.0,0.024488848637891025
4,4,XtremeFair_grad,"{'min_child_weight': 826.4061515910442, 'n_estimators': 199, 'eta': 0.12269075569766509, 'max_depth': 4, 'l2_weight': 0.1305631191077697, 'fair_weight': 0.40887985781480973, 'multiplier_learning_rate': 0.018826529011799258}",0.5,0.29,0.0,0.0,0.0
5,0,XtremeFair_grad,"{'min_child_weight': 0.007238798737489663, 'n_estimators': 428, 'eta': 0.4840468011242243, 'max_depth': 8, 'l2_weight': 0.012768444963332931, 'fair_weight': 0.014857192595245164, 'multiplier_learning_rate': 0.23424099230381318}",0.7213453132588635,0.705,0.039641657334826386,0.02777777777777779,0.3249937030730945
5,1,XtremeFair_grad,"{'min_child_weight': 0.6185418474129127, 'n_estimators': 56, 'eta': 0.10563486219915824, 'max_depth': 6, 'l2_weight': 0.8065086296186718, 'fair_weight': 2.2548139384713117, 'multiplier_learning_rate': 0.02051285865728191}",0.7621418164157358,0.705,0.018365061590145504,0.02170138888888884,0.06874886176956074
5,2,XtremeFair_grad,"{'min_child_weight': 41.61389429598375, 'n_estimators': 112, 'eta': 0.09701548471385059, 'max_depth': 3, 'l2_weight': 0.0045181919036702866, 'fair_weight': 9.118882661801122, 'multiplier_learning_rate': 0.00880164388837135}",0.7647523069451191,0.69,0.028443449048152325,0.04253472222222221,0.0823099615462144
