,pr_0,tpr_0,bal_acc_0,roc_0,pr_1,tpr_1,bal_acc_1,roc_1,tpr,bal_acc,roc
0,0.6,0.7647058823529411,0.6900452488687783,0.7647058823529412,0.6857142857142857,0.8113207547169812,0.7586015538290789,0.8768035516093231,0.8,0.7333333333333334,0.8428571428571429
1,0.71875,0.85,0.675,0.7083333333333333,0.8088235294117647,0.88,0.6344444444444445,0.7322222222222222,0.8714285714285714,0.6523809523809524,0.7266666666666667
2,0.7391304347826086,0.82,0.6468421052631579,0.7589473684210526,0.5806451612903226,0.7,0.6681818181818182,0.7681818181818182,0.7857142857142857,0.6595238095238095,0.7661904761904762
3,0.5483870967741935,0.6363636363636364,0.6515151515151515,0.672979797979798,0.5,0.5384615384615384,0.5608974358974359,0.6314102564102565,0.6,0.6166666666666667,0.6590476190476191
4,0.6438356164383562,0.7692307692307693,0.717948717948718,0.8516483516483516,0.6296296296296297,0.7222222222222222,0.6388888888888888,0.7839506172839505,0.7571428571428571,0.6952380952380952,0.8338095238095238
5,0.35135135135135137,0.45454545454545453,0.6272727272727273,0.6060606060606061,0.6031746031746031,0.6875,0.6770833333333333,0.7666666666666667,0.6142857142857143,0.6738095238095239,0.7123809523809523
6,0.6486486486486487,0.72,0.61,0.7050000000000001,0.6923076923076923,0.8,0.7333333333333334,0.8166666666666667,0.7428571428571429,0.638095238095238,0.7347619047619047
7,0.2962962962962963,0.3888888888888889,0.6388888888888888,0.7160493827160493,0.5616438356164384,0.6730769230769231,0.6936813186813187,0.7994505494505495,0.6,0.6833333333333333,0.7771428571428571
8,0.3870967741935484,0.5,0.6590909090909092,0.8090909090909091,0.4057971014492754,0.5,0.6710526315789473,0.8126315789473685,0.5,0.6666666666666667,0.8123809523809523
9,0.7681159420289855,0.82,0.5942105263157894,0.758421052631579,0.7741935483870968,0.85,0.6068181818181818,0.8113636363636363,0.8285714285714286,0.5976190476190476,0.7757142857142858
