,acc,bal_acc,roc,eq_loss,eod,spd,tpr_min,tpr_max,tpr_mean,pr_min,pr_max,pr_mean,bal_acc_min,bal_acc_max,bal_acc_mean
0,0.8249744114636642,0.8166500307089957,0.9007447967359148,-0.18499098883576287,-0.06519274376417228,-0.23646466749521,0.746031746031746,0.8112244897959183,0.7786281179138321,0.16156670746634028,0.3980313749615503,0.2797990412139453,0.7957487486408037,0.830455319382655,0.8131020340117294
1,0.8184237461617195,0.8357973427280454,0.926235219857072,0.18191350124242223,0.023375884662925617,0.2704204266230925,0.8494623655913979,0.8728382502543235,0.8611503079228606,0.1755050505050505,0.445925477128143,0.31071526381659675,0.8039773649891118,0.8818127278600767,0.8428950464245942
2,0.7608517608517609,0.5,0.45504111708716094,-1.1453672774009682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5
3,0.8251433251433251,0.8260921855876845,0.9140428008463956,-0.20469914626349647,-0.0381526104417671,-0.2710250747753705,0.7951807228915663,0.8333333333333334,0.8142570281124498,0.1501240694789082,0.42114914425427874,0.2856366068665935,0.7970631424375918,0.8595544001733073,0.8283087713054496
4,0.7876740376740377,0.8261253631095448,0.9193574251293923,-0.17326681300300525,-0.07283024312820141,-0.30620741421246794,0.8373493975903614,0.9101796407185628,0.8737645191544621,0.19697923222152297,0.5031866464339909,0.3500829393277569,0.7924208277731497,0.8575362588795096,0.8249785433263297
5,0.8196150696150696,0.8301295121734995,0.9167912204815518,-0.17083255868317795,-0.07531861550247232,-0.25505012852703834,0.7861271676300579,0.8614457831325302,0.823786475381294,0.1748564135290364,0.42990654205607476,0.3023814777925556,0.8083618402952613,0.8435657358953732,0.8259637880953172
6,0.8253480753480753,0.8438643190450478,0.9267944787218488,-0.1850858459437953,-0.13324484378190737,-0.3269378191498553,0.7650602409638554,0.8983050847457628,0.8316826628548091,0.13690105787181084,0.46383887702166615,0.3003699674467385,0.8130487604907354,0.8502608630218305,0.831654811756283
7,0.7911547911547911,0.8249053901426142,0.9143142670628749,-0.16412618075762078,0.022887485123134654,-0.23486110983836403,0.8862034239677744,0.9090909090909091,0.8976471665293417,0.24019312009656005,0.4750542299349241,0.35762367501574205,0.7969513091190707,0.8741943404333681,0.8355728247762194
8,0.8196150696150696,0.797592471277403,0.893553174366514,-0.22504432958306347,-0.0135672159364163,-0.23897767650854856,0.7435897435897436,0.7571569595261599,0.7503733515579518,0.14432989690721648,0.38330757341576505,0.2638187351614908,0.7721428361987235,0.830937537568482,0.8015401868836027
9,0.7813267813267813,0.815806955594675,0.9001547376310636,0.0033318799827934953,-0.041538723984988035,0.12644005560760374,0.8751279426816786,0.9166666666666666,0.8958973046741726,0.3171182266009852,0.44355828220858895,0.3803382544047871,0.808129017332955,0.8399674115456238,0.8240482144392893
