number,duration,params_C,params_a,params_b,params_gamma,params_max_iter,params_n_estimators
0,0 days 00:00:24.874438,0.00011315775385260474,0.5015304649069184,0.20572970455104558,0.5620851844306392,10,16
1,0 days 00:00:16.657656,0.0003120929362957605,0.8642922059640061,0.7875020462759019,0.4424404661690905,10,11
2,0 days 00:00:27.284627,55.27678603211953,0.1190881025416839,0.8595053597519864,0.6364723439127652,10,19
3,0 days 00:00:18.402718,3145.657925376568,0.264189613604806,0.9292277252248947,0.6323069833455341,10,12
4,0 days 00:00:45.305464,0.052843247320706416,0.2694623145602787,0.14019958332191687,0.6351574392450087,10,32
5,0 days 00:00:21.338004,96.47002752530254,0.4981420728662799,0.8032240571237818,0.7796650393592381,10,14
6,0 days 00:00:51.677600,3169.739672862908,0.13138358248851778,0.6041430567190811,0.33446938922730984,10,36
7,0 days 00:00:30.983776,0.4492692401433918,0.7891832619048994,0.33637468738248816,0.7196857256022205,10,21
8,0 days 00:00:33.277261,50.809520522218605,0.5092106231327681,0.13847189118516354,0.783689021755383,10,22
9,0 days 00:01:03.056557,0.0014274883130631297,0.9107393835721355,0.3086241574319673,0.091810362337712,10,43
10,0 days 00:00:22.953067,0.0009599634521007615,0.2028087902734096,0.9428052992577955,0.022834561351813387,10,15
11,0 days 00:00:15.315760,3979.920101850321,0.4941093228097696,0.23987220441768103,0.14650521543932415,10,10
12,0 days 00:00:33.792612,0.11393427063114268,0.3310085741139044,0.11362741355016594,0.7470672725931381,10,22
13,0 days 00:00:17.251877,22.7967500442542,0.2622210566104607,0.9533640218633453,0.6111398591870596,10,11
14,0 days 00:00:27.524115,0.0008009751610079228,0.9394253959807846,0.2734501095994159,0.8936033170965891,10,19
15,0 days 00:01:04.526805,0.00041094100959599236,0.8711340470771047,0.08580638735145164,0.17631447730930072,10,43
16,0 days 00:00:15.677859,351.11693572151887,0.6340032398114934,0.8942072249310488,0.518183092317625,10,10
17,0 days 00:00:46.969054,0.0006495354211466989,0.6344526905022915,0.7845698369160257,0.5235197647565388,10,32
18,0 days 00:00:37.422848,0.0007563195156400803,0.2224667160049585,0.21340748761606,0.21595756125847532,10,26
19,0 days 00:00:38.564089,0.0004217905010024343,0.7993505876266548,0.3463652757881472,0.6361789884605045,10,26
20,0 days 00:00:47.259197,2394.0964478012747,0.47765837451130366,0.18765963419809825,0.803237805046572,10,32
21,0 days 00:00:21.002762,162.85764854447143,0.6591139224902296,0.317695901161758,0.04136438438629597,10,13
22,0 days 00:00:41.273896,0.9138867016632769,0.8862328654557421,0.5788704803302336,0.08318582972893984,10,27
23,0 days 00:00:15.567041,4667.4690075974095,0.8451931990761222,0.41044063854342794,0.7165236486146638,10,10
24,0 days 00:01:03.071432,5685.346436470832,0.6182358390783819,0.19433084669155692,0.7454288497125825,10,43
25,0 days 00:00:20.309205,37.711273784643936,0.12042715074823362,0.15905845357212317,0.6052424528673096,10,13
26,0 days 00:00:32.308068,19.161777440235866,0.8205183198098297,0.04435745975364427,0.9902094408987955,10,22
27,0 days 00:00:54.476525,0.015560762324203566,0.399283047213043,0.4548078660910288,0.5989415364920038,10,36
28,0 days 00:00:25.987125,0.005335049187347705,0.6092009506709511,0.3468576260832999,0.1249568329028361,10,17
29,0 days 00:00:18.798918,0.07281503290464666,0.6976092742503339,0.03505882761144051,0.13030156790826286,10,12
30,0 days 00:00:33.416947,0.0006213372323375098,0.1072413651677792,0.32301451849126994,0.8318432848425608,10,23
31,0 days 00:00:58.125764,128.69024219452874,0.7085805716893672,0.3159808070931948,0.12543302987069294,10,41
32,0 days 00:00:31.102822,0.005528148132698297,0.17857158957280622,0.2821257428390419,0.7393893229937433,10,21
33,0 days 00:00:36.462886,0.05400021360128336,0.38829403849064714,0.4865099113845879,0.41275116188483296,10,24
34,0 days 00:00:25.862851,0.0018706569586472216,0.8283766621954008,0.08428178297858782,0.14696461924160464,10,17
35,0 days 00:01:02.688981,0.03427144292196282,0.5147970672229116,0.9977880589084167,0.22444504204434568,10,42
36,0 days 00:00:59.402476,7.704099360704921,0.4478469624805971,0.3560235412049128,0.0765019911877417,10,41
37,0 days 00:00:50.509195,4.9408024628335685,0.41448230876649594,0.04146378896918344,0.9258010573503752,10,35
38,0 days 00:00:36.701963,25.315753967659443,0.9691644581408154,0.1727149809373606,0.811494436637355,10,25
39,0 days 00:00:31.832206,0.33198075776819636,0.681996156590042,0.5600707314749297,0.529526088097326,10,21
40,0 days 00:00:33.222706,40.797730539934186,0.16228681894228908,0.5520260547271836,0.08971949866971884,10,22
41,0 days 00:00:29.708869,78.69294279434118,0.18122407989938766,0.5598464306820857,0.455405141062028,10,20
42,0 days 00:00:20.512119,5981.67952484194,0.393207677954058,0.21431933130562542,0.5798676674840684,10,13
43,0 days 00:00:16.582924,0.06027340309179861,0.10155664131128019,0.6092481061593243,0.33057229375612085,10,10
44,0 days 00:01:04.347379,0.8386802881937113,0.2973186985168095,0.3493987550730018,0.2657203089586505,10,43
45,0 days 00:00:19.882627,0.00010839496722916466,0.10208968121810783,0.34269850378376454,0.36882027558918173,10,12
46,0 days 00:00:36.736381,681.5601340160586,0.15503332897172428,0.7135298877954348,0.49480837715188664,10,25
47,0 days 00:00:50.365361,0.02366321572894821,0.18799502090691483,0.4700434085207174,0.8076639185496715,10,35
48,0 days 00:00:15.535432,1.406730119420491,0.7758317834056224,0.9963592653937976,0.751540338026703,10,10
49,0 days 00:00:19.061925,1435.2817282455637,0.7368944902650831,0.8325172544510225,0.5847320154252986,10,12
50,0 days 00:00:30.348369,43.673655928457606,0.3448511931849757,0.5790458406668042,0.5816507700453586,10,20
51,0 days 00:00:19.870040,0.35208480136393827,0.626481398775703,0.6890748777302613,0.6594010879142589,10,13
52,0 days 00:00:25.395317,243.17953965228912,0.36841424823433155,0.8194110034702021,0.988160661951978,10,17
53,0 days 00:01:09.554974,1.4317905346965134,0.9308499266514404,0.95104568529004,0.9929444212296058,10,46
54,0 days 00:01:10.121283,0.8497067949039342,0.20431619942909507,0.8276531570838687,0.5963715756159966,10,49
55,0 days 00:00:26.164530,11.338836319870921,0.39176389278147294,0.5044348252441735,0.07547002574356287,10,18
56,0 days 00:00:38.719618,0.02284983327876205,0.981658180211358,0.7616283085876179,0.066151355823724,10,25
57,0 days 00:00:17.532191,16.323121533081473,0.5292672713281087,0.7200926648611097,0.9653058774935321,10,11
58,0 days 00:00:16.955333,0.4347223017816278,0.8203490596210475,0.7017753180451651,0.35699973024070664,10,11
59,0 days 00:00:25.843433,5.494041873109843,0.4848159094189267,0.8586235369711092,0.07900665425025932,10,17
60,0 days 00:00:18.052373,2.852449430058062,0.6919754710259861,0.7152978414132981,0.7624573556747046,10,12
61,0 days 00:00:58.003095,0.01573768041036721,0.8997162177155453,0.838349194869735,0.12219421815592046,10,40
62,0 days 00:00:18.728460,26.69546659399867,0.5382647966561543,0.6375032040941508,0.8442355279630368,10,12
63,0 days 00:00:33.333591,20.800278487359744,0.6346981808918526,0.8283562158843434,0.042527215260751206,10,22
64,0 days 00:00:22.586298,0.00021540007213116918,0.5846689851253034,0.47774739861414706,0.30958089147197587,10,15
65,0 days 00:00:20.276441,232.23456693579112,0.3928266581230996,0.1277171919759107,0.10960509906444371,10,13
66,0 days 00:00:36.331086,0.21138871085416616,0.1288618710027027,0.947348305056619,0.8373185636774938,10,25
67,0 days 00:00:45.314330,352.9685717295528,0.18384501702162104,0.19682271597767548,0.30847843516787254,10,30
68,0 days 00:01:02.023472,0.0030472855173854993,0.8792957372738481,0.6788839151127702,0.15959037773141915,10,42
69,0 days 00:00:58.940874,1013.3955019644885,0.2167808029570351,0.6457983939898114,0.987566993162705,10,40
70,0 days 00:00:17.573094,1034.7693513595768,0.4685698768144726,0.7680469160466377,0.17306223474578364,10,12
71,0 days 00:01:12.256250,6491.506058797392,0.49708909925570444,0.05750532845624206,0.7265260818866164,10,49
72,0 days 00:00:51.782444,0.014010709037668942,0.1004228315271587,0.4627307338766078,0.23932324133492577,10,35
73,0 days 00:00:28.237990,65.02495941814149,0.8773908296006183,0.49422752182010665,0.014574767730576643,10,19
74,0 days 00:00:21.407313,1.9847360397918847,0.40887285242402027,0.12415396945729985,0.754698752145662,10,14
75,0 days 00:00:23.182773,0.15574938399353697,0.9897335956649005,0.8111719481115947,0.058530922274766195,10,15
76,0 days 00:01:04.154929,4473.240163913751,0.5132238175219933,0.6445651953587833,0.4271606263331865,10,44
77,0 days 00:00:52.898611,0.007453824657547361,0.31801505206146174,0.8218543415941483,0.8731931440514492,10,37
78,0 days 00:00:38.168826,1384.1675461070322,0.7409090692726118,0.04054948980111265,0.40836281962554055,10,26
79,0 days 00:00:15.421165,366.2953683520053,0.14549117626480224,0.4109819723782215,0.6721180405012686,10,10
80,0 days 00:00:16.479292,0.00010034642191536441,0.1439278460961016,0.848682213439614,0.6044595106332115,10,11
81,0 days 00:00:37.728072,107.3023969525603,0.6464211345051402,0.955271254467694,0.010902010803259476,10,26
82,0 days 00:00:15.321582,8093.163380255769,0.6811413631456784,0.9678836871181674,0.6148576938069739,10,10
83,0 days 00:00:36.708599,0.0043521826338023505,0.31244706161405,0.07620518452916807,0.05809511576500226,10,25
84,0 days 00:00:25.296504,0.008292627784491255,0.9234269060211816,0.3811631878484036,0.12865042513713898,10,17
85,0 days 00:00:22.188401,0.11035649911222188,0.5043671314718523,0.18198564522535723,0.40438635584986105,10,15
86,0 days 00:00:22.535034,0.00022027122022201046,0.5419056643992118,0.32392879563557153,0.19704002603211457,10,14
87,0 days 00:00:18.148828,0.0007495318804664496,0.3272341465365847,0.7402281296735707,0.17231317723658968,10,12
88,0 days 00:00:41.486579,0.35978901482433456,0.49456074184658927,0.3975325529837719,0.3557475338338316,10,29
89,0 days 00:00:32.187025,1023.8916238114604,0.5397657019327091,0.987184512915232,0.16657710750681842,10,22
90,0 days 00:00:59.359826,1.652756658031395,0.15756741795939713,0.5610422790046541,0.5254540303812258,10,41
91,0 days 00:00:33.513121,0.025336737404376603,0.9284143353886727,0.8592922918444715,0.46840753853672723,10,23
92,0 days 00:00:44.230748,1.3353091760090037,0.8584633065782289,0.5782681222919187,0.8003893384759374,10,30
93,0 days 00:00:48.918867,245.06627967050287,0.1051870709179727,0.7323980817572452,0.45090752225641817,10,34
94,0 days 00:00:49.997978,8.849854898695085,0.12245673300059795,0.29921348320588625,0.12291509744256801,10,34
95,0 days 00:00:29.397155,0.0001286697496668663,0.8796248728509455,0.1625534028761069,0.5258287892511263,10,20
96,0 days 00:00:16.133713,816.9344374722873,0.9424151848604142,0.6985732581602953,0.4253278906916641,10,10
97,0 days 00:00:15.144961,5.33315163531798,0.9438267265241882,0.3803480687254176,0.508474828788043,10,10
98,0 days 00:00:22.373251,0.0002568386666668266,0.8861750544608679,0.10066052954863405,0.08375014031551187,10,14
99,0 days 00:00:23.057755,0.008693102314008654,0.9163119121072527,0.24876773487564613,0.5619710171376519,10,15
100,0 days 00:00:42.089450,211.06117754543067,0.6125037567839666,0.31663941557109554,0.05545862329938078,10,28
101,0 days 00:00:20.369817,24.357298659014884,0.8513290084464104,0.5535862506202546,0.5104595686832997,10,13
102,0 days 00:00:21.418941,0.004102706979047562,0.5151416053863126,0.313238692734068,0.8160657526274905,10,14
103,0 days 00:00:24.520642,0.00012126746316190126,0.19186428659423865,0.14232511188844355,0.14718555106927744,10,16
104,0 days 00:00:55.764022,110.44406131305139,0.13351728504229454,0.4018086553599749,0.899354166033375,10,39
105,0 days 00:00:49.663726,0.635401091743159,0.7190660078779155,0.24719334287180791,0.9045356259033777,10,34
