number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_multiplier_learning_rate,params_n_estimators
0,0 days 00:00:08.501252,0.04838735051717592,0.1632829691687743,5,0.011985892849011089,314
1,0 days 00:00:12.019565,0.0802340969296331,0.1565832969070302,4,0.3878789113173504,530
2,0 days 00:00:22.679123,0.6481215719304433,0.010047352243235528,5,0.3858716022316113,839
3,0 days 00:00:22.778899,0.3507683907505821,0.04013441678399718,4,0.12023401422785049,987
4,0 days 00:00:11.894311,0.04091071559361401,0.033283025905600325,3,0.005508962559217184,554
5,0 days 00:00:06.457339,0.3705344044932764,0.01292589731557401,5,0.002738783613410569,222
6,0 days 00:00:18.371323,0.49184835095259377,0.31879149129703555,3,0.00788085326579269,866
7,0 days 00:00:09.340706,0.011176887411112488,0.07896849710483038,4,0.12858490846244203,401
8,0 days 00:00:08.808493,0.011236260076184518,0.018728535005898394,4,0.0018116537401008216,373
9,0 days 00:00:22.595104,0.9163181125922221,0.1491497789833048,6,0.11201612940022095,822
10,0 days 00:00:09.298480,0.012437569142170812,0.043598734604794874,2,0.005060266828267938,447
11,0 days 00:00:14.003836,0.0374230718333816,0.029593259466514213,4,0.0020739863467788898,599
12,0 days 00:00:25.260200,0.0034335225512750816,0.010152163920582638,5,0.04509298481968653,953
13,0 days 00:00:12.407802,0.06695452318257128,0.4566221385161123,2,0.007696352213579305,603
14,0 days 00:00:06.823763,0.6200920335239232,0.0858193044919393,2,0.025440140092292073,324
15,0 days 00:00:19.526647,0.018959978271094306,0.011373611263699006,6,0.0017923315693535856,639
16,0 days 00:00:07.852623,0.023741573623670475,0.28776446200467054,4,0.015846295637533012,333
17,0 days 00:00:12.756238,0.5015409439776244,0.2070923169498224,5,0.012337046085620387,502
18,0 days 00:00:16.678230,0.005428357457830107,0.14059685111829207,4,0.003838942917594423,715
19,0 days 00:00:14.592504,0.028097965035789253,0.1681466105492987,3,0.003339348610893787,665
20,0 days 00:00:13.556415,0.8413359311341492,0.055441284147869176,6,0.006485071253853976,473
21,0 days 00:00:17.738115,0.002945439092720563,0.01492787203813956,4,0.006622517948184931,746
22,0 days 00:00:10.882600,0.05065855305504615,0.015234887549248665,5,0.004628601427040086,396
23,0 days 00:00:14.882779,0.6230388110373833,0.010105277947994108,5,0.06586683223159878,534
24,0 days 00:00:09.539889,0.08300711470682878,0.011693555219306975,3,0.012647284913303457,435
25,0 days 00:00:14.461296,0.04089846078725884,0.10296663944901825,4,0.01696652377968045,622
26,0 days 00:00:14.684749,0.10108853876164788,0.04303119352775681,5,0.017104798321800355,573
27,0 days 00:00:17.054612,0.004338135210025194,0.015524250417498362,2,0.003118899387720257,816
28,0 days 00:00:16.616995,0.02904216380451847,0.07855972436262261,5,0.0010033987204674517,663
29,0 days 00:00:05.725956,0.011093542697573703,0.028125058012508575,4,0.0017305308727838151,221
30,0 days 00:00:17.289367,0.010627045446035037,0.018497610623162623,6,0.09179640700190012,631
31,0 days 00:00:13.359447,0.27278198481766947,0.12106797771773851,2,0.01967181897866849,645
32,0 days 00:00:05.381534,0.18421226239233313,0.07561374017022658,4,0.0012220940701241439,227
33,0 days 00:00:05.825542,0.2831505009940961,0.015210652359762142,3,0.01892337983123107,264
34,0 days 00:00:17.418880,0.018427128351018514,0.09485057183468175,2,0.07893063230607986,846
35,0 days 00:00:22.177407,0.001036236517091184,0.17890158644403598,6,0.07473279396478198,836
36,0 days 00:00:04.871404,0.34242128349758827,0.3191101416938704,4,0.023813332183653543,211
37,0 days 00:00:07.409674,0.588729669088664,0.3909612772223607,2,0.005799201247183012,356
38,0 days 00:00:13.019187,0.0027759011844485973,0.43295555172097705,5,0.004936399673594045,525
39,0 days 00:00:15.656235,0.1338729002265553,0.04074911965919139,4,0.03848649290337493,680
40,0 days 00:00:07.234918,0.019917386330455165,0.057442132890621174,3,0.009214430726594447,332
41,0 days 00:00:14.153136,0.054091406339840095,0.031085242142508906,3,0.1267599089228297,645
42,0 days 00:00:14.033438,0.7784361304669658,0.1370924466531715,4,0.23513433879178988,601
43,0 days 00:00:20.436289,0.028789315999144645,0.05620719856988751,5,0.01622314181939514,805
