number,duration,params_C,params_Kmin,params_alpha,params_n_iterations
0,0 days 00:00:23.237961,0.15703873444514926,46,0.4367075555860608,121
1,0 days 00:00:12.967242,24.59736175839829,26,0.1882561374663581,57
2,0 days 00:00:28.081235,15.858230336113483,34,0.5096957242926242,125
3,0 days 00:00:24.844102,0.0028399213296345775,46,0.5176708640261126,378
4,0 days 00:00:02.910257,0.0007522331846968583,36,0.6675195743839955,32
5,0 days 00:00:17.619780,0.00022335084933918943,24,0.49124082686969717,277
6,0 days 00:00:01.841804,170.7125399942029,10,0.8009168287206755,11
7,0 days 00:00:07.449137,0.00017654693485776097,16,0.3277306712033735,70
8,0 days 00:00:02.620389,5741.095397901501,26,0.260676778181972,11
9,0 days 00:00:02.838115,0.00039796134815242465,42,0.43520867260731266,27
10,0 days 00:00:06.123088,99.73696192067867,12,0.29612060754125724,26
11,0 days 00:00:13.112297,0.14294108250915594,12,0.4015104846930492,71
12,0 days 00:00:08.204257,0.0002074367028957738,21,0.30306292365781284,81
13,0 days 00:00:16.039036,11.430857453404586,16,0.7487032330270228,71
14,0 days 00:00:05.670269,2640.2780109055084,37,0.7072105526203352,24
15,0 days 00:00:34.367800,0.00012024617982635362,38,0.18486266588214503,396
16,0 days 00:00:05.204478,8.605458057882853,37,0.2568256904248828,22
17,0 days 00:00:42.379517,0.5895114641724958,29,0.49818435242441284,219
18,0 days 00:00:22.036648,0.0004496470224467429,23,0.34141490873674646,372
19,0 days 00:00:14.549929,5.479117296433799,13,0.6067641118436968,66
20,0 days 00:00:02.646843,1856.583574955051,10,0.5474573431976112,10
21,0 days 00:00:10.700478,0.05226030346287414,45,0.18262995372562757,60
22,0 days 00:00:33.555380,98.4003687877119,33,0.6720281081003776,162
23,0 days 00:01:07.198921,643.1246464882653,14,0.1190033146124371,325
24,0 days 00:00:01.457728,0.00234250218777137,39,0.16107582446563953,12
25,0 days 00:00:04.513828,66.95730482397673,26,0.2709676077156914,21
26,0 days 00:00:12.998408,0.01023232765328899,41,0.37117290860233365,243
27,0 days 00:00:08.582389,3046.270399938677,45,0.21894972047402048,38
28,0 days 00:00:04.866189,0.00012949671749990543,32,0.3860569729932152,46
29,0 days 00:01:08.444709,1483.167728202393,40,0.14584439929227744,327
30,0 days 00:00:07.456645,5.171316379947132,21,0.47632280602084565,29
31,0 days 00:00:46.666587,0.7631057901507338,16,0.7540106024835842,216
32,0 days 00:00:36.363379,37.764402122517936,25,0.1715263551173738,168
33,0 days 00:00:20.907824,0.0011442030914219341,37,0.5409329134636796,276
34,0 days 00:00:02.620975,33.099254045555575,47,0.8443820383819567,10
35,0 days 00:00:04.857526,0.639059233616368,11,0.687038248715266,23
36,0 days 00:00:09.109748,2.2848147313410094,41,0.8943824496055116,41
37,0 days 00:00:41.944536,0.12936831557331518,20,0.8347411244712354,198
38,0 days 00:00:12.428436,0.002492011607069531,38,0.5787395561694767,201
39,0 days 00:00:32.741504,2223.5816545597277,32,0.5230554522203313,154
40,0 days 00:00:56.988719,1396.1965012334658,24,0.16180327038231948,284
41,0 days 00:00:02.968147,0.22732274831466345,35,0.6909615848834008,12
42,0 days 00:00:10.319532,3.2421842580075166,49,0.41499539441064903,51
43,0 days 00:00:05.026312,0.09819640900791918,18,0.3175642259224543,24
44,0 days 00:00:02.292568,3351.473052241412,41,0.5426519720791204,10
45,0 days 00:00:00.862907,0.0007901208409795262,34,0.6755534667610067,10
46,0 days 00:00:09.620531,148.70966728443432,46,0.16782988515185632,45
47,0 days 00:00:07.851756,204.3840916374606,34,0.728895857755805,39
48,0 days 00:00:02.453660,0.04796310793006762,24,0.79519804547813,16
49,0 days 00:00:19.727345,0.05076249641927861,41,0.3942829397733413,198
50,0 days 00:00:02.730843,0.037513744090254444,13,0.8381921545617199,16
51,0 days 00:00:39.945549,0.11035528147694856,39,0.8399442228560707,224
52,0 days 00:00:15.031983,0.0001456786494019057,35,0.33504503850109035,178
53,0 days 00:00:06.224433,222.96984284211126,13,0.4672658251025493,30
54,0 days 00:00:06.954356,170.594385706302,23,0.2446697986988342,32
55,0 days 00:00:56.514026,36.022851066367686,40,0.24314506953316428,279
56,0 days 00:00:04.356520,6.89296009671563,17,0.36081991641837285,16
57,0 days 00:00:19.637693,0.0002045216721784149,41,0.13791065000906802,239
58,0 days 00:01:22.639171,19.67800642586595,17,0.8063270780874304,410
59,0 days 00:00:12.032703,10.454255590432444,25,0.22683723723807905,58
60,0 days 00:00:09.540041,56.252100403293284,31,0.612391263448561,40
61,0 days 00:00:47.058351,7886.170590272118,38,0.8945256326794961,232
62,0 days 00:00:03.244776,0.0001664818302325351,39,0.21392385314720652,42
63,0 days 00:00:24.057001,0.0033908746023544665,20,0.20983553662477236,291
64,0 days 00:00:02.012012,0.01747005998662375,36,0.16910720165885912,15
65,0 days 00:00:20.052060,7.001775441788584,13,0.5956209429637823,92
66,0 days 00:01:18.544606,0.19437289236626687,11,0.6102789186598336,393
67,0 days 00:00:09.711177,0.062427224334509084,31,0.3026968118677036,68
68,0 days 00:00:05.518170,0.002822595105647025,10,0.15784687790812102,67
69,0 days 00:00:26.914590,0.04242114035111453,41,0.5441585293818659,330
70,0 days 00:00:03.586756,1667.2798509041988,12,0.47519726375464255,15
71,0 days 00:00:06.595062,1.2561947476643172,47,0.8419462733913532,29
72,0 days 00:00:14.851055,281.10713376131827,27,0.30440215559423967,72
73,0 days 00:00:14.066650,0.2639428441732436,19,0.8959424579679424,67
74,0 days 00:00:17.104217,5398.452715291673,29,0.5596058327189092,84
75,0 days 00:00:03.211336,24.663899608584494,24,0.11607393393217463,15
76,0 days 00:00:50.520047,1.2953350821799217,49,0.31347519965434617,267
77,0 days 00:00:03.868211,0.0005076595126414118,38,0.8687225858211697,57
78,0 days 00:00:05.996090,0.00021580736318472404,11,0.5791061702462946,86
79,0 days 00:00:30.596739,10.347617367848375,43,0.5420623292353575,158
80,0 days 00:00:01.189041,0.0011909929114925872,28,0.7380763897770781,15
81,0 days 00:00:08.146515,0.0008201875735233951,29,0.5211250268668289,215
82,0 days 00:00:04.478566,5779.483908325287,40,0.49800361711826147,25
83,0 days 00:01:40.038049,231.95232627961377,26,0.6906658598615455,473
84,0 days 00:00:47.458615,12.942695126753922,21,0.6797870858010622,231
85,0 days 00:00:12.150714,1.2456329991298773,26,0.4995433063150808,64
86,0 days 00:00:08.755201,0.5976222845942668,21,0.3208791611863637,45
87,0 days 00:00:09.516441,77.89260341699703,19,0.4665561779847631,53
88,0 days 00:00:05.318731,0.02747753552629964,42,0.8039192293273648,43
