number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_multiplier_learning_rate,params_n_estimators
0,0 days 00:00:27.441207,0.004928454293510034,0.13939413943833173,5,0.16261460853918136,885
1,0 days 00:00:21.651317,0.015372047214477517,0.48844384173627564,3,0.169407495681962,922
2,0 days 00:00:07.687993,0.0046025818442687995,0.021407484617148767,4,0.004319287178460385,256
3,0 days 00:00:13.977394,0.005085813649759821,0.02347686337601322,2,0.0034099263504000603,610
4,0 days 00:00:17.382363,0.17015164795340706,0.04077894225745951,3,0.0033055202755898527,736
5,0 days 00:00:10.938824,0.19443838897827634,0.024802423443186093,4,0.0020011582467342,352
6,0 days 00:00:06.964630,0.08114938706786584,0.23634365458579726,5,0.1429634486491529,202
7,0 days 00:00:18.065726,0.009049718278197498,0.03092455856492194,5,0.039662433796657647,507
8,0 days 00:00:13.288555,0.1901765242994239,0.03059798687534092,4,0.42574840036311845,477
9,0 days 00:00:16.175751,0.003373227524148125,0.013213103141771033,5,0.0034871470038663277,473
10,0 days 00:00:08.853330,0.012051793257375626,0.011201119082630379,5,0.08713233652184715,238
11,0 days 00:00:11.086173,0.001742952120340854,0.14970911798003492,6,0.4281939550712909,309
12,0 days 00:00:28.289257,0.007573329599906795,0.03441055517244956,6,0.011642387635799327,808
13,0 days 00:00:18.214394,0.002275310346171684,0.018620804006747576,6,0.002019545576619088,482
14,0 days 00:00:12.255523,0.0016381234749582414,0.02660799592383433,3,0.027998680546030524,523
15,0 days 00:00:24.131336,0.6980143648178015,0.03556187779349106,6,0.17786596613780808,678
16,0 days 00:00:11.265424,0.003378827550484777,0.3520188354208346,4,0.06389705459546804,422
17,0 days 00:00:08.818678,0.035597435735827465,0.3824733722254327,4,0.011408436017020742,328
18,0 days 00:00:07.108063,0.008318510832806174,0.028212386523576043,4,0.024569598834004485,252
19,0 days 00:00:31.436253,0.7000748759513163,0.062292636870497964,5,0.042474195419120925,912
20,0 days 00:00:19.075472,0.01205195948333814,0.051645679261928076,3,0.16206584204315877,828
