number,duration,params_fair_weight,params_learning_rate,params_max_depth,params_multiplier_learning_rate,params_n_estimators
0,0 days 00:00:27.784705,0.004928454293510034,0.13939413943833173,5,0.16261460853918136,885
1,0 days 00:00:22.043254,0.015372047214477517,0.48844384173627564,3,0.169407495681962,922
2,0 days 00:00:07.843783,0.0046025818442687995,0.021407484617148767,4,0.004319287178460385,256
3,0 days 00:00:14.165368,0.005085813649759821,0.02347686337601322,2,0.0034099263504000603,610
4,0 days 00:00:17.582905,0.17015164795340706,0.04077894225745951,3,0.0033055202755898527,736
5,0 days 00:00:10.252007,0.19443838897827634,0.024802423443186093,4,0.0020011582467342,352
6,0 days 00:00:07.051540,0.08114938706786584,0.23634365458579726,5,0.1429634486491529,202
7,0 days 00:00:18.341632,0.009049718278197498,0.03092455856492194,5,0.039662433796657647,507
8,0 days 00:00:13.230632,0.1901765242994239,0.03059798687534092,4,0.42574840036311845,477
9,0 days 00:00:16.156681,0.003373227524148125,0.013213103141771033,5,0.0034871470038663277,473
10,0 days 00:00:08.979868,0.012051793257375626,0.011201119082630379,5,0.08713233652184715,238
11,0 days 00:00:11.259348,0.001742952120340854,0.14970911798003492,6,0.4281939550712909,309
12,0 days 00:00:29.046712,0.007573329599906795,0.03441055517244956,6,0.011642387635799327,808
13,0 days 00:00:18.190774,0.002275310346171684,0.018620804006747576,6,0.002019545576619088,482
14,0 days 00:00:12.312464,0.0016381234749582414,0.02660799592383433,3,0.027998680546030524,523
15,0 days 00:00:24.497794,0.6980143648178015,0.03556187779349106,6,0.17786596613780808,678
16,0 days 00:00:11.247677,0.003378827550484777,0.3520188354208346,4,0.06389705459546804,422
17,0 days 00:00:08.829832,0.035597435735827465,0.3824733722254327,4,0.011408436017020742,328
18,0 days 00:00:07.095714,0.008318510832806174,0.028212386523576043,4,0.024569598834004485,252
19,0 days 00:00:32.188291,0.7000748759513163,0.062292636870497964,5,0.042474195419120925,912
20,0 days 00:00:19.261106,0.01205195948333814,0.051645679261928076,3,0.16206584204315877,828
21,0 days 00:00:23.748814,0.04407143784401437,0.1442328217939171,3,0.13994986832659465,999
22,0 days 00:00:08.629460,0.07099928320760458,0.03355049730951926,5,0.007900772723020526,254
23,0 days 00:00:13.721597,0.41821916479800164,0.13398562122246746,3,0.08396841076743991,546
24,0 days 00:00:08.148257,0.5170339770042572,0.016790269104181757,4,0.002797049778694433,261
25,0 days 00:00:05.399894,0.04342199791615155,0.07647242529628635,3,0.0010256081485387784,220
26,0 days 00:00:17.418475,0.044017188507682145,0.40504094387341133,6,0.00521598074267265,497
27,0 days 00:00:14.398977,0.8797330002677974,0.2705781374104904,5,0.11195272988404438,451
28,0 days 00:00:12.718689,0.004062231242841079,0.012501640255215251,6,0.11232849704618557,331
29,0 days 00:00:07.226903,0.004576522266083517,0.15684698689497284,3,0.0016587543759801382,287
30,0 days 00:00:23.703611,0.00511455220467562,0.015622357714086845,3,0.04134771360812812,936
31,0 days 00:00:11.829373,0.2489603444321905,0.05854234717368979,2,0.04816746991313088,492
32,0 days 00:00:10.755773,0.029436418242581523,0.13581665036142007,3,0.1269892278420426,392
33,0 days 00:00:09.079741,0.7166403226984255,0.014834705329258466,2,0.301508852953949,375
34,0 days 00:00:09.904236,0.02578493631262488,0.013190453194871958,3,0.0013320558444214622,372
35,0 days 00:00:15.938588,0.07340704964184494,0.022847202563076967,5,0.008004667072330952,493
36,0 days 00:00:08.456453,0.571917547347617,0.27847079394030033,2,0.09573077234464761,360
37,0 days 00:00:07.424519,0.011668705890656104,0.032291638559345026,2,0.14897612423025972,299
38,0 days 00:00:16.364427,0.007282420506706951,0.012992556065839928,6,0.15108762531746542,431
39,0 days 00:00:09.339747,0.006552961461976288,0.21242143795223561,2,0.09800077528662354,433
40,0 days 00:00:23.202409,0.027700557716529284,0.01472728472703192,4,0.002938201620678784,889
41,0 days 00:00:20.530140,0.0073675918668034135,0.017460470880267948,6,0.0680914752287025,562
42,0 days 00:00:18.834013,0.06103884583007874,0.08686315341107473,6,0.15328265930953883,530
43,0 days 00:00:07.439179,0.18579218498625502,0.0665292791174701,6,0.003687091544321789,200
44,0 days 00:00:28.620332,0.4498528043848394,0.24118646357420792,6,0.011662564390069317,820
45,0 days 00:00:17.863092,0.07705072033028006,0.010343637935408847,4,0.004231194303634482,668
46,0 days 00:00:34.563325,0.016828086402705122,0.024080566509915115,6,0.001427676114065517,855
47,0 days 00:00:09.246643,0.04008207988298359,0.0369274394167475,6,0.006316840017918664,243
48,0 days 00:00:14.799732,0.019350632903893602,0.12523257756415376,5,0.014988495813882206,474
49,0 days 00:00:15.717489,0.12442785460997434,0.0573761734654558,2,0.0012441546656203246,741
50,0 days 00:00:21.868333,0.03963532833472948,0.010568206066262083,6,0.24518511351166175,584
51,0 days 00:00:08.847911,0.3675413088081224,0.05890613457500694,2,0.044297032579722465,388
