acc,bal_acc,roc,eq_loss,eod,spd,tpr_min,tpr_max,tpr_mean,pr_min,pr_max,pr_mean,bal_acc_min,bal_acc_max,bal_acc_mean
0.74,0.7666666666666666,0.8333333333333334,-0.7185343960740064,0.14761376248612645,0.10476190476190472,0.5882352941176471,0.7358490566037735,0.6620421753607103,0.4666666666666667,0.5714285714285714,0.519047619047619,0.6402714932126696,0.8385127635960044,0.739392128404337
0.72,0.7142857142857142,0.7657142857142858,-0.026125242489356992,-0.10000000000000009,-0.03676470588235292,0.7,0.8,0.75,0.5882352941176471,0.625,0.6066176470588236,0.711111111111111,0.7333333333333334,0.7222222222222222
0.73,0.7119047619047618,0.81,0.18485831304957512,-0.010000000000000009,-0.07152875175315565,0.75,0.76,0.755,0.5806451612903226,0.6521739130434783,0.6164095371669005,0.6957894736842105,0.7386363636363636,0.7172129186602871
0.73,0.7023809523809523,0.7914285714285715,-0.04523045520224134,-0.24825174825174823,-0.24193548387096775,0.6153846153846154,0.8636363636363636,0.7395104895104896,0.5,0.7419354838709677,0.6209677419354839,0.6826923076923077,0.7095959595959596,0.6961441336441336
0.71,0.6214285714285714,0.8371428571428572,0.06140458863699266,-0.012820512820512775,0.010654490106544956,0.8333333333333334,0.8461538461538461,0.8397435897435898,0.7671232876712328,0.7777777777777778,0.7724505327245053,0.5833333333333334,0.6373626373626373,0.6103479853479854
0.62,0.6333333333333333,0.6964285714285715,-0.056346825389256394,-0.05303030303030298,0.01029601029601035,0.5833333333333334,0.6363636363636364,0.6098484848484849,0.5135135135135135,0.5238095238095238,0.5186615186615187,0.625,0.6515151515151515,0.6382575757575757
0.63,0.6023809523809524,0.6823809523809524,-0.7665977796320789,0.10999999999999999,0.05925155925155923,0.64,0.75,0.6950000000000001,0.5945945945945946,0.6538461538461539,0.6242203742203742,0.5700000000000001,0.7083333333333333,0.6391666666666667
0.63,0.6690476190476191,0.7352380952380952,0.31490097004135964,0.09615384615384615,0.13647894469812283,0.5,0.5961538461538461,0.5480769230769231,0.37037037037037035,0.5068493150684932,0.43860984271943176,0.6552197802197802,0.6944444444444444,0.6748321123321124
0.64,0.638095238095238,0.6871428571428572,-0.023663139565240243,0.06000000000000005,0.06358111266947175,0.6,0.66,0.63,0.5161290322580645,0.5797101449275363,0.5479195885928003,0.6181818181818182,0.6457894736842105,0.6319856459330143
0.6,0.6857142857142857,0.7776190476190477,0.022031010199301204,-0.02999999999999997,-0.10098176718092566,0.45,0.48,0.46499999999999997,0.2903225806451613,0.391304347826087,0.34081346423562414,0.6610526315789473,0.725,0.6930263157894736
