,acc,roc,eq_loss,eod,spd
0,0.74,0.7685333333333334,0.7733424959612775,0.26315789473684215,0.3870967741935484
1,0.7,0.7786069651741293,0.09950403556242238,0.10526315789473684,0.25
2,0.8,0.8521825396825397,0.4819604611578062,0.11764705882352944,0.33333333333333337
3,0.65,0.8094618055555556,0.26647455693772315,0.1428571428571429,0.25
4,0.75,0.7688492063492063,0.48090594310104945,0.1578947368421053,0.21967213114754103
5,0.74,0.7980720446473871,1.5501435237776846,0.25,0.4
6,0.71,0.7503392130257801,0.2867601359446475,0.11788617886178854,0.18226600985221675
7,0.77,0.7656012176560122,3.0756275495503163,0.26315789473684215,0.3548387096774194
8,0.7,0.6993686255463817,0.8963131636608241,0.3846153846153846,0.5
9,0.76,0.7909982174688057,0.3326149735346849,0.23809523809523814,0.2962962962962963
