number,duration,params_C,params_a,params_b,params_gamma,params_max_iter,params_n_estimators
0,0 days 00:00:14.959138,3178.3217908023666,0.5065278933041272,0.5414866089031305,0.13189572747244027,10,10
1,0 days 00:00:36.699675,0.027975765831579028,0.6497695570623687,0.7879093094887003,0.3385300949440554,10,27
2,0 days 00:00:16.194876,292.8292265033633,0.3091653743169963,0.28417037117825933,0.42092827643422737,10,11
3,0 days 00:00:20.012823,146.39301185703522,0.598101199179134,0.4761990097484405,0.06474208112679802,10,14
4,0 days 00:00:15.131724,226.74938776863004,0.6684032068545742,0.5395333580974607,0.9989872117413006,10,10
5,0 days 00:00:37.920997,16.591464458259605,0.8519764398347037,0.3105872962059049,0.3034743765558854,10,28
6,0 days 00:00:37.426073,0.007130486228344579,0.5725845410274133,0.47495432979420676,0.9268982603306549,10,27
7,0 days 00:00:40.890004,1.1810696721716043,0.7425476015100255,0.4814362508159807,0.24465264178670776,10,29
8,0 days 00:00:32.679598,0.6059793825920731,0.5653903062003158,0.7707869383629687,0.04652573750036959,10,24
9,0 days 00:00:16.984691,0.01673068874960371,0.656106740609308,0.46461392925695155,0.40720920412964967,10,12
10,0 days 00:00:33.941643,0.806202357905023,0.4777305763469387,0.7359647790854884,0.9410441291596414,10,24
11,0 days 00:00:14.911598,4.929162911370145,0.9857552664748989,0.6635840942233112,0.7819741038428442,10,10
12,0 days 00:00:14.641210,2231.54117224066,0.9615092507092038,0.7977300491006005,0.8564123441175271,10,10
13,0 days 00:00:24.145465,66.08699347450765,0.8469204269841893,0.503494154447605,0.38023146588135726,10,17
14,0 days 00:00:42.277518,0.0006209817447064479,0.3911592717466723,0.9410875880972649,0.6764824898586965,10,32
15,0 days 00:00:18.647727,0.08215209318342344,0.1918272207504314,0.24639570176658707,0.5779366116860947,10,13
16,0 days 00:00:15.962998,0.07717895673271348,0.4919656282764454,0.6581845705348126,0.054310357237192575,10,11
17,0 days 00:00:51.362142,6.264235123474359,0.6894317864162085,0.3022319468102712,0.7538749922356239,10,37
18,0 days 00:00:39.089749,2714.8463047811533,0.9423309093006306,0.18003555101760418,0.7267834575150289,10,29
19,0 days 00:00:17.904091,1.558325637926638,0.8342352430648504,0.9482874482288769,0.5978343713116544,10,12
20,0 days 00:00:25.138639,13.341934705430706,0.7449574362863107,0.9443271308155182,0.5864062016928148,10,18
21,0 days 00:01:00.023083,0.01533726120714436,0.5229104545936386,0.5568776377988794,0.8802593959430252,10,44
22,0 days 00:00:18.335518,0.040809323175520475,0.2193882881327749,0.9835147362571888,0.5161179766888411,10,13
23,0 days 00:01:01.905122,0.016563654039877432,0.5662293418494888,0.701127755957271,0.05877689761287419,10,46
24,0 days 00:00:14.767653,1618.0408060266998,0.21640650351822455,0.029725558139920415,0.6134415188576712,10,10
25,0 days 00:00:54.754154,144.9604835174216,0.7393802762393361,0.9424600449691275,0.5137736145731189,10,40
26,0 days 00:00:26.589510,0.00392537819605431,0.7819611469855671,0.13147775735406364,0.35051815992462354,10,19
27,0 days 00:00:21.261990,0.3355819385444785,0.17227226057300654,0.459606521234513,0.03512358670923499,10,15
28,0 days 00:01:03.760060,0.03678060346969758,0.5042768601436073,0.968839383895453,0.6945428766753751,10,47
29,0 days 00:00:49.018278,8.33214203902819,0.7617608773731006,0.9439237836216534,0.4071577209031687,10,35
30,0 days 00:00:24.281502,0.35892919000133444,0.19264150677021669,0.13832926699903159,0.5743283498350347,10,16
31,0 days 00:01:02.450002,0.0005532115275455884,0.35924349614267626,0.14792131322724267,0.40022589807726683,10,46
32,0 days 00:00:23.962512,0.022039326959710573,0.9389957217534202,0.0796361857044522,0.2392005961825212,10,17
33,0 days 00:00:36.739206,8.440334428610859,0.47844329803188945,0.7045971599063618,0.05340502358732435,10,27
34,0 days 00:00:28.056326,5.613292607169267,0.4489158084304916,0.05115445745041637,0.8679322454980639,10,21
35,0 days 00:01:03.229006,2.577372562750681,0.441650912147873,0.17398052709344297,0.6733805625109289,10,47
36,0 days 00:00:20.616470,0.027110182068481054,0.5751724255678046,0.3459927789313855,0.7669076101265486,10,15
37,0 days 00:00:16.266740,0.013214308581259028,0.8816752140196306,0.44544897917782966,0.06590483901027266,10,11
38,0 days 00:00:40.338628,0.00018354030805072945,0.7755489252362339,0.5120922676628912,0.38235727179075674,10,30
39,0 days 00:00:20.632201,0.35342061714869727,0.6191203574306481,0.26193793896588674,0.9011387475599831,10,15
40,0 days 00:00:24.174471,8.296178168015556,0.27384080607796246,0.604639499706667,0.3293227058999195,10,17
41,0 days 00:00:17.873762,4.031817849380776,0.7931087013089737,0.11032743543428353,0.5271009779334243,10,13
42,0 days 00:00:15.991858,10.940442540416226,0.7037913166075871,0.3473755354955244,0.2113141380289576,10,11
43,0 days 00:00:32.724065,7558.025812031616,0.16474070877487476,0.03387532473621711,0.3121404546942339,10,24
44,0 days 00:00:18.929308,0.0019456551487818177,0.5139168013609269,0.18146760398724823,0.24501251437971971,10,13
45,0 days 00:00:19.243472,0.022515820091829328,0.7782353466665989,0.855958601740829,0.05598059902784547,10,14
46,0 days 00:00:35.369306,2516.1019145077335,0.4064578314304702,0.502722152892542,0.44509220108592085,10,26
47,0 days 00:00:44.501925,0.004526160610438587,0.639676766786314,0.737786896955069,0.5127186782196549,10,32
48,0 days 00:00:17.068801,0.0009519345226214986,0.4579723716051527,0.9737931405133156,0.9484435796589334,10,12
49,0 days 00:00:14.665837,5.696113425087609,0.8482882445964149,0.9047851410965103,0.7362553706562184,10,10
50,0 days 00:00:24.494734,0.00018516914350110225,0.8969631407084361,0.1807387345615092,0.3289070681123889,10,18
51,0 days 00:00:29.159096,308.9371072471944,0.7767550653523311,0.5210315911847277,0.7766894723957606,10,21
52,0 days 00:00:35.649749,0.03233596381290331,0.8624184405831797,0.7735461766426294,0.11023716267914152,10,26
53,0 days 00:00:30.826841,0.00014703333880051122,0.9232335361472152,0.7424738841304993,0.44454212358380374,10,23
54,0 days 00:00:27.103497,227.16682397081473,0.6481407438820014,0.501061850281298,0.8794394327105615,10,19
55,0 days 00:00:14.148876,8587.475677831873,0.3162885984012681,0.2714253094277676,0.459294250376699,10,10
56,0 days 00:00:19.374193,4.86690085172402,0.6877131327767185,0.6272210288382842,0.12481407744197703,10,14
