number,duration,params_a,params_b,params_gamma,params_n_estimators
0,0 days 00:00:05.878899,0.5576273161138638,0.932757947412723,0.5264650274071092,108
1,0 days 00:00:07.646335,0.520094817693927,0.7118330709659031,0.527390503318825,464
2,0 days 00:00:07.144040,0.23798388510091545,0.7203573901388202,0.6832442667583415,132
3,0 days 00:00:08.388453,0.2430217039081355,0.6376114550951216,0.8135564667939802,28
4,0 days 00:00:07.665916,0.3900496614390523,0.9244790264803887,0.4372998459061609,53
5,0 days 00:00:09.232467,0.11261496956196243,0.07297837483665381,0.036021902379224424,146
6,0 days 00:00:07.145955,0.5986070863753593,0.938488101718753,0.766069243051778,200
7,0 days 00:00:08.455641,0.2112901293965888,0.45862092004609506,0.650140194066616,20
8,0 days 00:00:07.754125,0.5531537542598705,0.5119290589302021,0.9663422825570619,272
9,0 days 00:00:05.825562,0.17085478862700537,0.4117585581751928,0.5309514915788117,43
10,0 days 00:00:07.774502,0.5431167910391237,0.2905451592219505,0.024645834019779933,39
11,0 days 00:00:07.804405,0.3608026461306507,0.9100201141500835,0.8589496941887038,12
12,0 days 00:00:06.716930,0.52679597894514,0.7821903116471884,0.8669137378493669,10
13,0 days 00:00:08.531634,0.9356349600637737,0.1897753429089363,0.4348511686270049,21
14,0 days 00:00:08.320504,0.8398075346682937,0.55686878927142,0.39772799195173736,97
15,0 days 00:00:07.777789,0.43341355091974787,0.9152490587364749,0.5637201202528903,164
16,0 days 00:00:08.146727,0.10679484646878142,0.32216003265821697,0.2904537028332598,264
17,0 days 00:00:07.700335,0.5112628301199393,0.5017932942323345,0.04047392413365536,23
18,0 days 00:00:07.328806,0.807046273283494,0.38506076377202314,0.3881964966949003,136
19,0 days 00:00:06.764495,0.8160163748639848,0.5656268860765375,0.4997122505051059,480
20,0 days 00:00:07.840417,0.7733260390975201,0.5786157640293091,0.5539062901361196,17
21,0 days 00:00:07.545111,0.657980642649094,0.17038919828813065,0.5356549887541514,178
22,0 days 00:00:07.879244,0.8615877980086928,0.22295670422753042,0.975189882705627,197
23,0 days 00:00:09.127648,0.826983747956384,0.8182217617244908,0.6310134435240964,347
24,0 days 00:00:08.982568,0.45940003685480135,0.4198106717570121,0.09826706409974184,136
25,0 days 00:00:05.984481,0.8151843441795712,0.8244405859538239,0.546788295567017,20
26,0 days 00:00:08.821922,0.1255103664739969,0.0673935358540404,0.8282076938656099,71
27,0 days 00:00:08.956999,0.900137257482619,0.3749862345472713,0.12641557390550417,80
28,0 days 00:00:08.750377,0.23686144454786834,0.2132399267205192,0.985626144845485,11
29,0 days 00:00:08.798759,0.6892816285360399,0.9507420499378636,0.04214026031691842,32
30,0 days 00:00:09.528536,0.4754069078281208,0.8762680630838687,0.8120481877618894,14
31,0 days 00:00:09.541217,0.5001941637473483,0.6062430330134968,0.48286841032404504,29
32,0 days 00:00:06.941326,0.22191294753436347,0.5421745334683721,0.4932923367870262,30
33,0 days 00:00:09.114324,0.9398596413184844,0.5365859697489899,0.0067296511906150824,287
34,0 days 00:00:06.851045,0.40693262344370884,0.594501556658747,0.43303629681966205,95
35,0 days 00:00:07.237541,0.1690454626983679,0.8485985639930342,0.25055804870243825,58
36,0 days 00:00:07.756070,0.7131285153121104,0.9568895259541353,0.4141438794664154,91
37,0 days 00:00:07.509678,0.6373910334997553,0.1256055399651066,0.8720928083481113,440
38,0 days 00:00:07.217112,0.595596301902575,0.5980237618388572,0.3761997282896017,39
39,0 days 00:00:07.509095,0.10370803335514996,0.4859791778237584,0.01059378605633221,43
40,0 days 00:00:05.971610,0.8929677853733546,0.40352317790757725,0.005454676092369826,120
41,0 days 00:00:07.430825,0.45686923188077955,0.9490239536461068,0.3699617137263663,269
42,0 days 00:00:07.793727,0.3015371716074929,0.4149904696093209,0.16299292736873394,26
43,0 days 00:00:07.574516,0.22948856030407364,0.08257977913817076,0.13999037724283914,57
44,0 days 00:00:08.752833,0.8914655274595068,0.8217895281259406,0.7261905661797933,103
45,0 days 00:00:06.775356,0.20509363847823214,0.8864924803899193,0.5104593516565298,23
46,0 days 00:00:08.676725,0.1273735419800695,0.8605294647482765,0.17654022452813867,33
47,0 days 00:00:08.211008,0.20873363901536213,0.33365000624390817,0.5417238888748525,42
48,0 days 00:00:08.271303,0.37588463161558905,0.7217348768519799,0.22006703558121388,62
49,0 days 00:00:08.155169,0.36356164674050884,0.2677679182273714,0.2367540417457712,66
50,0 days 00:00:07.058707,0.9525833571504208,0.8368892289960072,0.3096171922483657,26
51,0 days 00:00:08.740936,0.4147423998614681,0.022248758178519,0.1250378388482426,259
52,0 days 00:00:08.578312,0.3300805000814065,0.8584747729113512,0.13675857788306345,135
53,0 days 00:00:06.572037,0.8598810086049256,0.170936937384733,0.4028053011546422,72
54,0 days 00:00:08.230962,0.2813805274497203,0.7350969531265866,0.4962262577125278,17
55,0 days 00:00:07.612394,0.4792711769084045,0.11152206903936646,0.9477503465074014,154
56,0 days 00:00:07.846016,0.37528853452062405,0.03235897057806373,0.11203610219645133,31
57,0 days 00:00:06.592576,0.660172676733708,0.1898750608913051,0.3793343281009198,35
58,0 days 00:00:06.004883,0.6676072213755693,0.7579084286276333,0.6457339609220558,37
59,0 days 00:00:07.516856,0.42319706156685943,0.44959927500597013,0.9367514718490055,90
60,0 days 00:00:06.333912,0.3902036447114804,0.221969570170669,0.2178575778506846,22
61,0 days 00:00:08.244479,0.3075239720687617,0.6330135452729251,0.22311984039672195,284
62,0 days 00:00:07.722978,0.6771700074035867,0.22669863902745882,0.909174352690376,126
63,0 days 00:00:06.813538,0.4248583805430849,0.8047587834456197,0.30091028961955457,116
64,0 days 00:00:07.100671,0.5632515235922495,0.9455251381420039,0.1593765411008381,303
65,0 days 00:00:08.804692,0.6940005173242438,0.9652221291572324,0.5681466534086849,58
66,0 days 00:00:07.318095,0.4634694298579778,0.08291391162352024,0.8005729611449008,16
67,0 days 00:00:08.471990,0.541859409194027,0.2653664592629508,0.7469600981448163,213
68,0 days 00:00:08.152077,0.9092901210114472,0.940582271847503,0.15928388517445413,24
69,0 days 00:00:07.426473,0.4935185601240436,0.06313118630218646,0.4637056571015713,25
70,0 days 00:00:07.035297,0.48226638818231604,0.044802906304090125,0.12423690292400436,132
71,0 days 00:00:08.472580,0.35103478087919227,0.9587750537915617,0.1557093734501046,16
72,0 days 00:00:07.631165,0.8219742777361313,0.6389593466691359,0.35644253530207326,48
73,0 days 00:00:07.407362,0.24053061649723156,0.5258886804174862,0.415655954700623,31
74,0 days 00:00:08.229121,0.21912382172680833,0.11145621169645063,0.8529970329395102,82
75,0 days 00:00:07.190531,0.21398876555866422,0.9232558816145578,0.551953262138996,175
76,0 days 00:00:06.909085,0.916747145974084,0.015430647423842647,0.6921894363164243,101
77,0 days 00:00:07.238793,0.9883864796286659,0.5580627709090279,0.1625883971211335,11
78,0 days 00:00:06.331611,0.7941405135080972,0.5225328352914099,0.9250220662562524,170
79,0 days 00:00:06.378935,0.8363754105910899,0.5195850806637348,0.3306837028758599,181
80,0 days 00:00:06.586014,0.3194179548444911,0.6222692729297805,0.3147453240066497,13
81,0 days 00:00:07.286468,0.5936036675123479,0.025829081555323985,0.13441758551184912,37
82,0 days 00:00:06.957288,0.9889222738296145,0.5903710563991822,0.16839688259807295,381
83,0 days 00:00:07.311938,0.5489405326547577,0.23231650436248855,0.5640795709645391,331
84,0 days 00:00:07.864556,0.795466865586702,0.9431967409966588,0.3267177373383683,19
85,0 days 00:00:07.540213,0.8110938537139095,0.7513460717341904,0.47297208229026644,21
86,0 days 00:00:08.917885,0.7203775683846668,0.5544394695521727,0.6957754902416685,78
87,0 days 00:00:07.677743,0.7533603538887439,0.13544097724880771,0.4189607026158614,240
88,0 days 00:00:08.893282,0.6164169724030514,0.7836931594821689,0.054398150042875626,83
89,0 days 00:00:07.378745,0.7783591035456452,0.4907451906428417,0.8367979515033497,67
90,0 days 00:00:07.368755,0.34677697623723935,0.29265696072042396,0.07741222076982646,23
91,0 days 00:00:07.098238,0.24243696398340708,0.1714567448856348,0.5687974889089299,14
92,0 days 00:00:08.635404,0.9884397873368451,0.7295297314811885,0.9324949629723553,22
93,0 days 00:00:07.556662,0.846962264033571,0.675959353153749,0.6500230711726374,42
94,0 days 00:00:06.755712,0.962596602429656,0.10095925548867193,0.44255943076367843,21
95,0 days 00:00:07.658080,0.2493069238484184,0.597454845680492,0.7719986508062155,83
96,0 days 00:00:06.498523,0.8061848194380058,0.5924987715371651,0.12933519029319174,18
97,0 days 00:00:08.434614,0.41887754816993794,0.28697885767289427,0.40674844071646066,140
98,0 days 00:00:07.334314,0.45866111414258526,0.31989675060795164,0.0877596352224338,244
99,0 days 00:00:07.141251,0.3456003766319221,0.26985918759510014,0.26572394488082385,21
100,0 days 00:00:08.735416,0.46841632898304797,0.5019413651290721,0.11617238824536158,30
101,0 days 00:00:09.582962,0.188543772540619,0.4485771546654232,0.17376738235500522,74
102,0 days 00:00:08.461296,0.4196538406613518,0.38143076449761165,0.29402084317510535,414
103,0 days 00:00:08.046493,0.1236402954427017,0.6772944578739136,0.4165822428174182,10
104,0 days 00:00:09.469560,0.9299225890378976,0.3298859670499248,0.04210180014650622,249
105,0 days 00:00:09.457710,0.8587234531610195,0.14124003453961828,0.5051271740723206,74
106,0 days 00:00:08.675705,0.9943855933580713,0.8949272355476797,0.8735307466741474,39
107,0 days 00:00:09.553241,0.9250776242712793,0.7375594043469934,0.3168695766880457,175
108,0 days 00:00:08.265021,0.9826301174718888,0.08841530726008358,0.49155587115161037,68
109,0 days 00:00:09.545049,0.6439594866573493,0.43920857235478694,0.2123294731226949,263
110,0 days 00:00:09.439603,0.5785457754063358,0.07251967377787731,0.5929883845188606,15
111,0 days 00:00:09.291982,0.2868335767551663,0.984138493193822,0.7564748749309244,16
112,0 days 00:00:06.806446,0.32535416419376983,0.9607413144247476,0.4358070716997263,158
113,0 days 00:00:07.713872,0.5187141292987446,0.5692486001298616,0.4288659410196297,36
114,0 days 00:00:07.915926,0.9674701039089193,0.14322450943989276,0.4412964958775656,378
115,0 days 00:00:07.526597,0.913333354068344,0.452537797734418,0.9102837993738304,30
116,0 days 00:00:09.449339,0.19362678087468776,0.13622945220170057,0.5452681952420655,28
117,0 days 00:00:07.635064,0.6685890042724553,0.0891882962433936,0.07043281256507872,433
118,0 days 00:00:06.531590,0.5283025219370653,0.20896285176324816,0.8196597707505897,272
119,0 days 00:00:06.912250,0.5228508402583056,0.6885232723474866,0.9942711931063305,24
120,0 days 00:00:08.008930,0.9109555941503672,0.2757578260970332,0.05129050504388799,131
121,0 days 00:00:08.067092,0.143362717026831,0.6958061523796453,0.2749567512469634,15
122,0 days 00:00:07.947974,0.287769072497632,0.06034764732685034,0.8783733736137898,45
123,0 days 00:00:06.545322,0.839598654298087,0.10317125815399364,0.6645143878205021,15
124,0 days 00:00:07.225207,0.14213831514292186,0.7948861976064107,0.7146710446441201,442
125,0 days 00:00:07.277678,0.9573396716673658,0.8777146842914764,0.781433493210487,38
126,0 days 00:00:09.362607,0.5791832153639462,0.605809321065474,0.6585362594061012,421
127,0 days 00:00:07.043271,0.4907278200721985,0.4297392246634658,0.35823502336921653,32
128,0 days 00:00:06.514848,0.42776406266757716,0.9566830997308143,0.42735896126367734,35
129,0 days 00:00:07.443952,0.4092467408008499,0.9684121931239489,0.4332495536787925,432
130,0 days 00:00:09.499736,0.6115923764855974,0.047476901408558723,0.3008110242992773,27
131,0 days 00:00:06.901116,0.9520414516399489,0.6458876460735877,0.8617512426829933,483
132,0 days 00:00:08.455098,0.39965684671139856,0.5897628636041293,0.9930961851477054,302
133,0 days 00:00:06.910122,0.36063606693202643,0.6202866944031751,0.9533500050977781,109
134,0 days 00:00:08.198759,0.6504107185115576,0.5867120995756256,0.7023532186861187,149
135,0 days 00:00:08.738091,0.2788319145795687,0.8389842238797642,0.12579527611934993,59
136,0 days 00:00:06.857365,0.79119395868349,0.3220970901254289,0.2627967663849361,24
137,0 days 00:00:08.264190,0.7295103665711858,0.5893815746889799,0.05398814886499903,32
138,0 days 00:00:06.801964,0.5919240707509642,0.5921122525460129,0.45320248222887816,15
139,0 days 00:00:07.803604,0.7409438079395776,0.1071989596569902,0.49141173882098765,112
140,0 days 00:00:08.533445,0.9096046991481063,0.9664047778035625,0.27840124176560566,60
141,0 days 00:00:08.091694,0.11183933816444837,0.77847456870178,0.592936560967921,58
142,0 days 00:00:07.130807,0.4882403674302227,0.49282932135543367,0.7411337567099624,13
143,0 days 00:00:08.686745,0.8000655753583745,0.3245779782714944,0.61664352330642,79
144,0 days 00:00:06.854129,0.4153166811115747,0.8731403671972292,0.36168920210873334,115
145,0 days 00:00:07.631819,0.7737402679074596,0.6182143201053448,0.42575854142216984,18
146,0 days 00:00:07.350241,0.1642481344544765,0.34893036447556425,0.3615686611025495,36
147,0 days 00:00:08.950215,0.18525904977244387,0.2383607877167483,0.060239561751357584,93
148,0 days 00:00:06.922114,0.5348957180907598,0.7310048464322377,0.0345304658440867,393
