fold,trial,model,params,roc,acc,eod,spd,eq_loss
0,0,FairGBMClassifier,"{'n_estimators': 68, 'min_child_samples': 40, 'max_depth': 3, 'reg_lambda': 0.0013615920993679611, 'learning_rate': 0.3172040373111552, 'multiplier_learning_rate': 0.03154483326939815, 'constraint_fnr_tolerance': 0.39815562675195004}",0.7311801845556095,0.68,-0.05643896976483764,-0.06597222222222221,0.08892238836573918
0,1,FairGBMClassifier,"{'n_estimators': 28, 'min_child_samples': 497, 'max_depth': 4, 'reg_lambda': 0.2374171241335349, 'learning_rate': 0.08423988942554402, 'multiplier_learning_rate': 0.017927047118485414, 'constraint_fnr_tolerance': 0.023104146021629392}",0.5,0.29,0.0,0.0,0.07457710144181595
0,2,FairGBMClassifier,"{'n_estimators': 241, 'min_child_samples': 63, 'max_depth': 6, 'reg_lambda': 0.0012782771216354166, 'learning_rate': 0.41267302447129356, 'multiplier_learning_rate': 0.00500527059350961, 'constraint_fnr_tolerance': 0.3946186628286526}",0.6940262263234579,0.72,0.03023516237402024,-0.046875,0.28660218029701556
1,0,FairGBMClassifier,"{'n_estimators': 98, 'min_child_samples': 397, 'max_depth': 6, 'reg_lambda': 198.8233454127983, 'learning_rate': 0.04936513585997592, 'multiplier_learning_rate': 0.42794514566290376, 'constraint_fnr_tolerance': 0.012545259731524188}",0.5,0.29,0.0,0.0,0.07457710144181595
1,1,FairGBMClassifier,"{'n_estimators': 39, 'min_child_samples': 438, 'max_depth': 5, 'reg_lambda': 172.62473362594116, 'learning_rate': 0.37601839963894307, 'multiplier_learning_rate': 0.0060826416825718425, 'constraint_fnr_tolerance': 0.01022061142007736}",0.5,0.29,0.0,0.0,0.07457710144181595
1,2,FairGBMClassifier,"{'n_estimators': 27, 'min_child_samples': 451, 'max_depth': 9, 'reg_lambda': 0.007739887755567171, 'learning_rate': 0.010401290062369754, 'multiplier_learning_rate': 0.009806844084012169, 'constraint_fnr_tolerance': 0.020215427947743364}",0.5,0.29,0.0,0.0,0.07457710144181595
1,3,FairGBMClassifier,"{'n_estimators': 402, 'min_child_samples': 6, 'max_depth': 4, 'reg_lambda': 0.0726763265754856, 'learning_rate': 0.05155791126120338, 'multiplier_learning_rate': 0.11306998928803225, 'constraint_fnr_tolerance': 0.04511511756125314}",0.7268091306459445,0.77,0.06203807390817462,0.00954861111111116,0.04697201358855929
2,0,FairGBMClassifier,"{'n_estimators': 26, 'min_child_samples': 398, 'max_depth': 8, 'reg_lambda': 16.101542429021535, 'learning_rate': 0.01600018100022883, 'multiplier_learning_rate': 0.00818758792917523, 'constraint_fnr_tolerance': 0.06158073390012071}",0.5,0.29,0.0,0.0,-0.07457710144181595
2,1,FairGBMClassifier,"{'n_estimators': 393, 'min_child_samples': 73, 'max_depth': 4, 'reg_lambda': 0.04416149837450167, 'learning_rate': 0.17364842121793492, 'multiplier_learning_rate': 0.04746436610850502, 'constraint_fnr_tolerance': 0.06020065865226771}",0.7243807673627974,0.635,-0.08062709966405368,-0.06336805555555558,-0.154495190234074
2,2,FairGBMClassifier,"{'n_estimators': 11, 'min_child_samples': 218, 'max_depth': 8, 'reg_lambda': 8.502804628320169, 'learning_rate': 0.04961479579110311, 'multiplier_learning_rate': 0.23022453550633143, 'constraint_fnr_tolerance': 0.4222412159099868}",0.7002185526954832,0.29,0.0,0.0,-0.07959960928208665
2,3,FairGBMClassifier,"{'n_estimators': 48, 'min_child_samples': 91, 'max_depth': 8, 'reg_lambda': 278.54729128665235, 'learning_rate': 0.035315226599520216, 'multiplier_learning_rate': 0.12675165897274995, 'constraint_fnr_tolerance': 0.01498323711301637}",0.7356726566294317,0.29,0.0,0.0,-0.08279469257981553
2,4,FairGBMClassifier,"{'n_estimators': 147, 'min_child_samples': 7, 'max_depth': 10, 'reg_lambda': 2.3427749665777946, 'learning_rate': 0.14665025499122875, 'multiplier_learning_rate': 0.29725550998720796, 'constraint_fnr_tolerance': 0.0074249683212197866}",0.7321515298688683,0.665,0.046136618141097374,0.04861111111111116,-0.12799492924105016
3,0,FairGBMClassifier,"{'n_estimators': 11, 'min_child_samples': 107, 'max_depth': 3, 'reg_lambda': 292.3615066785554, 'learning_rate': 0.0119078428473574, 'multiplier_learning_rate': 0.4206392234025625, 'constraint_fnr_tolerance': 0.02763888923804158}",0.7115711510441961,0.29,0.0,0.0,0.07514829990344396
3,1,FairGBMClassifier,"{'n_estimators': 177, 'min_child_samples': 56, 'max_depth': 3, 'reg_lambda': 0.007686373894075919, 'learning_rate': 0.48048458236000174, 'multiplier_learning_rate': 0.08702635970260203, 'constraint_fnr_tolerance': 0.06315956115646731}",0.5133559980573094,0.29,0.0,0.0,1.0494169600635104
3,2,FairGBMClassifier,"{'n_estimators': 177, 'min_child_samples': 421, 'max_depth': 5, 'reg_lambda': 145.9928361214519, 'learning_rate': 0.3919686784258126, 'multiplier_learning_rate': 0.11500092409601402, 'constraint_fnr_tolerance': 0.05931630312346764}",0.5,0.29,0.0,0.0,0.07457710144181595
3,3,FairGBMClassifier,"{'n_estimators': 11, 'min_child_samples': 10, 'max_depth': 5, 'reg_lambda': 0.035931971253757244, 'learning_rate': 0.06566705368346314, 'multiplier_learning_rate': 0.005962566215332156, 'constraint_fnr_tolerance': 0.1505350994752747}",0.7449611461874697,0.68,0.07077267637178053,0.04253472222222221,0.0768824775575373
3,4,FairGBMClassifier,"{'n_estimators': 440, 'min_child_samples': 140, 'max_depth': 5, 'reg_lambda': 8.615570455074003, 'learning_rate': 0.09219588191763745, 'multiplier_learning_rate': 0.18981340599746024, 'constraint_fnr_tolerance': 0.013493159618229417}",0.7552209810587663,0.715,0.09249720044792831,0.09635416666666663,0.07505203777902114
3,5,FairGBMClassifier,"{'n_estimators': 12, 'min_child_samples': 208, 'max_depth': 10, 'reg_lambda': 136.62834483505796, 'learning_rate': 0.011224133785278737, 'multiplier_learning_rate': 0.19606521853281605, 'constraint_fnr_tolerance': 0.030793606568621335}",0.7002185526954832,0.29,0.0,0.0,0.07462478795697636
3,6,FairGBMClassifier,"{'n_estimators': 83, 'min_child_samples': 12, 'max_depth': 6, 'reg_lambda': 51.82809562943717, 'learning_rate': 0.06908096192163184, 'multiplier_learning_rate': 0.05153791294621384, 'constraint_fnr_tolerance': 0.05340867691725658}",0.7768334142787761,0.75,0.06159014557670772,0.02864583333333337,0.061425627988555276
4,0,FairGBMClassifier,"{'n_estimators': 12, 'min_child_samples': 472, 'max_depth': 3, 'reg_lambda': 5.656571344962469, 'learning_rate': 0.01790822554540042, 'multiplier_learning_rate': 0.08372450793689627, 'constraint_fnr_tolerance': 0.0658123338926546}",0.5,0.29,0.0,0.0,0.07457710144181595
4,1,FairGBMClassifier,"{'n_estimators': 163, 'min_child_samples': 364, 'max_depth': 2, 'reg_lambda': 560.0026275387384, 'learning_rate': 0.012220976537523843, 'multiplier_learning_rate': 0.04627208831547511, 'constraint_fnr_tolerance': 0.36838188457091436}",0.5,0.29,0.0,0.0,0.07457710144181595
4,2,FairGBMClassifier,"{'n_estimators': 27, 'min_child_samples': 309, 'max_depth': 4, 'reg_lambda': 492.8570738395602, 'learning_rate': 0.026110684854409903, 'multiplier_learning_rate': 0.03070491719948429, 'constraint_fnr_tolerance': 0.04224548551926408}",0.5733365711510441,0.29,0.0,0.0,0.07381295900115914
4,3,FairGBMClassifier,"{'n_estimators': 194, 'min_child_samples': 412, 'max_depth': 5, 'reg_lambda': 6.807013312394614, 'learning_rate': 0.014317347247347572, 'multiplier_learning_rate': 0.016144229365237156, 'constraint_fnr_tolerance': 0.023947590385852015}",0.5,0.29,0.0,0.0,0.07457710144181595
4,4,FairGBMClassifier,"{'n_estimators': 453, 'min_child_samples': 8, 'max_depth': 7, 'reg_lambda': 0.002644546830827445, 'learning_rate': 0.4797933951254422, 'multiplier_learning_rate': 0.1204765968341828, 'constraint_fnr_tolerance': 0.007005120721181914}",0.7189169499757163,0.675,0.09227323628219486,0.015625,0.33315467226528517
4,5,FairGBMClassifier,"{'n_estimators': 427, 'min_child_samples': 6, 'max_depth': 7, 'reg_lambda': 0.0036823565232746566, 'learning_rate': 0.0949311164411612, 'multiplier_learning_rate': 0.4323158397289766, 'constraint_fnr_tolerance': 0.005640403198164556}",0.7102962603205438,0.74,-0.011870100783874515,-0.05642361111111116,0.22627968663817977
5,0,FairGBMClassifier,"{'n_estimators': 32, 'min_child_samples': 8, 'max_depth': 4, 'reg_lambda': 0.00250244515438956, 'learning_rate': 0.01679298551877841, 'multiplier_learning_rate': 0.1082010732302742, 'constraint_fnr_tolerance': 0.007476549935915128}",0.7385866925692084,0.7,0.018589025755879063,0.05381944444444442,0.09939253530386605
5,1,FairGBMClassifier,"{'n_estimators': 166, 'min_child_samples': 399, 'max_depth': 6, 'reg_lambda': 0.00155655971294048, 'learning_rate': 0.010460353857948454, 'multiplier_learning_rate': 0.041268613825167715, 'constraint_fnr_tolerance': 0.0232805011553168}",0.5,0.29,0.0,0.0,0.07457710144181595
5,2,FairGBMClassifier,"{'n_estimators': 91, 'min_child_samples': 7, 'max_depth': 5, 'reg_lambda': 0.001147500125986209, 'learning_rate': 0.405096320737361, 'multiplier_learning_rate': 0.005116632010149495, 'constraint_fnr_tolerance': 0.02868206451486307}",0.7292374939290918,0.655,0.060022396416573365,0.03472222222222221,0.15502320995090046
5,3,FairGBMClassifier,"{'n_estimators': 96, 'min_child_samples': 438, 'max_depth': 5, 'reg_lambda': 0.0010738136067310231, 'learning_rate': 0.010295381623859377, 'multiplier_learning_rate': 0.036662635104612436, 'constraint_fnr_tolerance': 0.024728881979414523}",0.5,0.29,0.0,0.0,0.07457710144181595
5,4,FairGBMClassifier,"{'n_estimators': 109, 'min_child_samples': 444, 'max_depth': 5, 'reg_lambda': 0.0024879643628890695, 'learning_rate': 0.010190629114824521, 'multiplier_learning_rate': 0.04234800779236273, 'constraint_fnr_tolerance': 0.022689054642789575}",0.5,0.29,0.0,0.0,0.07457710144181595
6,0,FairGBMClassifier,"{'n_estimators': 14, 'min_child_samples': 379, 'max_depth': 10, 'reg_lambda': 5.841938504153009, 'learning_rate': 0.46523341131100976, 'multiplier_learning_rate': 0.0433575842427256, 'constraint_fnr_tolerance': 0.04558714980121311}",0.5,0.29,0.0,0.0,0.07457710144181595
