number,duration,params_constraint_fnr_tolerance,params_learning_rate,params_max_depth,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators
0,0 days 00:00:00.896682,0.03797497616894319,0.01871659125535811,3,0.17059727014538192,0.1050038027182318,862
1,0 days 00:00:00.916601,0.00662410302556151,0.011676309134427446,4,3.0360975633289113,0.006589593139624463,297
2,0 days 00:00:00.294609,0.02188268759763675,0.1641030515034457,4,0.14921181783033227,0.05558822196345772,270
3,0 days 00:00:00.222812,0.019286739265032632,0.4450181688431341,5,1.7595097329369764,0.10634134283563715,201
4,0 days 00:00:00.343130,0.3021868928161277,0.04842340709447236,2,42.51192379314523,0.09227711710846197,328
5,0 days 00:00:00.436197,0.009243764398697176,0.0374424232947364,4,0.06912543904104061,0.4364730079330476,416
6,0 days 00:00:00.490086,0.005944291648592344,0.24892882636350458,3,1.9279637811955705,0.031952402895360776,571
7,0 days 00:00:00.761601,0.06715815013101596,0.13860458529530265,2,0.1740660842575535,0.017075119805431957,904
8,0 days 00:00:00.334630,0.00940746703964919,0.19960516138598713,4,0.022969249501618893,0.005525192989397975,228
9,0 days 00:00:00.619192,0.008184238648776376,0.42547306339372454,2,0.4073628009864991,0.00858244373810622,694
10,0 days 00:00:00.981429,0.30378892359838405,0.012280323327943191,3,48.12164896383285,0.07787395736786185,909
11,0 days 00:00:00.265648,0.007575930176035361,0.33648490051978674,4,6.6830119521103635,0.005209937751277084,271
12,0 days 00:00:01.079738,0.04419265560321987,0.33362966490345786,5,0.003039585700822722,0.01742596301020339,976
13,0 days 00:00:01.823150,0.04638557314813123,0.01478517671547571,4,0.3482987743278643,0.006001653473777378,948
14,0 days 00:00:00.517300,0.1338146742342204,0.13824848846759574,4,0.10446329091694537,0.024457173197252706,380
15,0 days 00:00:00.751335,0.22069041993051572,0.11067872023737411,6,0.09903888133902655,0.0069032624468889775,400
16,0 days 00:00:00.376441,0.17806412993613108,0.03445468402838134,3,2.2854488379177913,0.23206071156013608,336
17,0 days 00:00:00.203649,0.08158048265856732,0.17888455450631888,2,0.04029164048971872,0.00828970203325245,209
18,0 days 00:00:00.263682,0.05872238880288398,0.29736578161965543,5,62.47571856802722,0.005719400039448828,236
19,0 days 00:00:00.694417,0.24868540881623752,0.48473424347603283,3,61.87807545791818,0.02566967679656668,720
20,0 days 00:00:00.706832,0.017705985410263993,0.033283025905600325,5,4.005323400948227,0.059364669601548035,554
21,0 days 00:00:00.466447,0.06581650490857126,0.2849623900086223,5,0.002141644146704317,0.01054898137992763,222
22,0 days 00:00:00.888705,0.05694271663187752,0.021832720672167724,6,0.19144667441312274,0.03672302234383804,255
23,0 days 00:00:00.635388,0.025083291559113045,0.045681815826047203,3,0.0022493350760360675,0.010465429994338537,394
24,0 days 00:00:00.616370,0.07216585966514695,0.021253089046357265,3,22.673192048586046,0.3428892789668864,585
25,0 days 00:00:00.405185,0.049080682706615655,0.04168446804441759,2,0.3201222525608442,0.01662566414597231,366
26,0 days 00:00:00.317222,0.014626002834872517,0.280074702485021,5,0.371768303108212,0.030907057771556185,233
27,0 days 00:00:00.336776,0.007272926557229522,0.020109534108171553,5,71.39326007199907,0.0840820923823195,201
28,0 days 00:00:00.413196,0.03384775725739253,0.2310733541500836,5,1.103993549639102,0.2353412518683806,339
29,0 days 00:00:01.205644,0.45296546903035756,0.05292603798857606,6,4.082442900886684,0.007704756919579567,210
30,0 days 00:00:00.442518,0.1771482859333781,0.1362785699578748,6,1.6534476040887347,0.06960769946953003,359
31,0 days 00:00:00.332495,0.1122918662277796,0.43798126124832604,5,91.08600317172983,0.19174724977709318,366
32,0 days 00:00:00.644991,0.04621183877530567,0.1855343432870747,3,0.49470069098495123,0.13862138211001127,693
33,0 days 00:00:00.418145,0.019981029262878782,0.055441284147869176,2,0.010661826554891734,0.44560456250353087,473
34,0 days 00:00:00.444574,0.007074376062684175,0.018437015419665276,4,12.30740603749229,0.020293987453185378,235
35,0 days 00:00:00.991120,0.37117077705526275,0.05419316077940089,5,0.10829531205569078,0.01849874536365115,821
36,0 days 00:00:00.244951,0.014057363695169068,0.38247152821388675,5,1.134834524462273,0.1113383269002123,200
37,0 days 00:00:00.509404,0.2078260327477763,0.0493962970855665,2,0.0015847618559333147,0.028430411750506274,559
38,0 days 00:00:00.417158,0.027864391207579227,0.1046430186260555,4,0.4854877462466422,0.10165619905351159,416
39,0 days 00:00:00.640454,0.0220295018116696,0.024897469501651785,4,0.19249667635119433,0.007272997559002264,229
40,0 days 00:00:00.780373,0.00501258712335876,0.07855972436262261,5,0.10354520971010164,0.04724138824694259,663
41,0 days 00:00:00.697594,0.08006235455477942,0.03907038351644044,4,0.0020997965905949997,0.00750700116874748,306
42,0 days 00:00:00.443634,0.2557938275646849,0.17201874565612726,6,0.00611097495659263,0.10607324444209973,346
43,0 days 00:00:00.516602,0.04095860822282641,0.1918239138652593,4,0.0025136538211590876,0.005801183201956953,459
44,0 days 00:00:00.657923,0.1464024258638955,0.06365840137452367,2,0.003436004525354959,0.29076179961331,745
45,0 days 00:00:00.728281,0.27769945287480996,0.04044684948537857,3,0.12855711018555105,0.44136052855279695,619
46,0 days 00:00:00.231147,0.052387298597501096,0.3191101416938704,6,2.6340780632928746,0.24472434316114958,211
47,0 days 00:00:00.795302,0.023890877016243192,0.3703974792238192,2,0.06237009301010486,0.018392624678578943,903
48,0 days 00:00:01.162663,0.09433687883293865,0.026971336648459732,6,0.24250989216794253,0.012618001539802996,513
49,0 days 00:00:00.258144,0.021481031112145763,0.08035038321154958,2,31.246793775536,0.02246514725366369,269
50,0 days 00:00:00.476365,0.006180123556308067,0.03211754227594882,4,9.593649039318379,0.45218312563927826,307
51,0 days 00:00:00.519330,0.024436045540855548,0.2107669375085049,5,0.028155759568459195,0.1950521498443494,506
52,0 days 00:00:00.755364,0.006157990073609716,0.49501010200229184,4,65.87262575549062,0.026591693587867386,822
53,0 days 00:00:00.542346,0.36669168946995734,0.013948955846285794,3,0.305192420072791,0.040218671647715885,263
54,0 days 00:00:00.477059,0.013239744247331296,0.23855607764102907,5,0.10165757522357231,0.024851573393488997,391
55,0 days 00:00:00.354500,0.10411318612724779,0.18168972460761973,5,0.7545177162257477,0.37396052779131933,273
56,0 days 00:00:01.235029,0.007795998120269796,0.01249202248356584,6,0.0037974524465169256,0.45702644586356694,851
57,0 days 00:00:00.503353,0.07031268518224637,0.03315392374389794,4,4.438544418629547,0.47475332003784276,507
58,0 days 00:00:00.485241,0.06430727717552012,0.0666717852508088,2,1.9346151440687775,0.31717163841360524,459
59,0 days 00:00:00.296795,0.014962100215990863,0.43427601415260264,6,4.551646928370497,0.15186096406399227,296
60,0 days 00:00:00.876073,0.21828046791091885,0.014772135607364375,5,0.0016391585110307294,0.044683608547757,341
61,0 days 00:00:00.965544,0.26663824448025136,0.019034266930567964,2,45.86448731419271,0.0530616377604135,988
62,0 days 00:00:00.625004,0.13684306251182862,0.04693420063003298,3,0.0022093260965253504,0.020924252811140475,622
63,0 days 00:00:00.659605,0.4447821160097079,0.158334834512192,3,0.0911306204666411,0.021717241319435487,718
64,0 days 00:00:00.665182,0.05537602045103031,0.03863703100956385,6,0.028458010369526256,0.0456133300967903,267
65,0 days 00:00:00.705904,0.04810086193138087,0.015868982371073072,4,1.0480638339350872,0.1855372618680069,444
66,0 days 00:00:00.355097,0.006875991353927738,0.06605354814677741,4,0.04089476249086912,0.14408715801687066,332
67,0 days 00:00:00.301014,0.027105816455568997,0.44476806683629333,5,32.57624596916206,0.03865563597739301,342
68,0 days 00:00:00.444551,0.34866482678808786,0.03286864116478667,3,0.4726514471222417,0.07605027100581284,319
