,acc,bal_acc,roc,eq_loss,eod,spd,min_tpr,max_tpr,mean_tpr
0,0.6648199445983379,0.6731718659174579,0.723003293935284,-0.012838295155712776,0.18453669625460056,0.20566031290565007,0.5201612903225806,0.7046979865771812,0.6124296384498809
1,0.6703601108033241,0.6561674094167798,0.7168533229994187,-0.024375476453482925,0.16315789473684217,0.17927052527812992,0.7368421052631579,0.9,0.8184210526315789
2,0.6592797783933518,0.6667390040689789,0.7227940321643093,-0.02316518434950854,0.12408457684048235,0.15879243304644153,0.547244094488189,0.6713286713286714,0.6092863829084302
3,0.682825484764543,0.674529032657867,0.718399485654087,0.03727592487851661,0.05804944741939155,0.1395015007177346,0.7404580152671756,0.7985074626865671,0.7694827389768714
4,0.710124826629681,0.7071484071484071,0.7455516705516705,-0.0028757290088702314,0.08972845336481705,0.14029796886276935,0.7024793388429752,0.7922077922077922,0.7473435655253837
5,0.6407766990291263,0.6434654234654235,0.6892229992229992,-0.012606901021830708,0.030296425457715714,0.07611740348313234,0.6048387096774194,0.6351351351351351,0.6199869224062773
6,0.6477115117891817,0.6536402486402486,0.7192113442113441,0.042439371276086324,0.06110908938219073,0.1363708483181722,0.5719844357976653,0.6330935251798561,0.6025389804887606
7,0.6712898751733704,0.677035742035742,0.7321367521367521,0.026139140326957522,0.08884047446138954,0.16640624999999998,0.5843621399176955,0.673202614379085,0.6287823771483902
8,0.6435506241331485,0.6570240870240871,0.7367599067599067,0.013174083709306506,0.09600042128544722,0.17000168010752686,0.48068669527896996,0.5766871165644172,0.5286869059216935
9,0.6477115117891817,0.6495027195027194,0.7063131313131313,0.008729093152840206,-0.11816356578771248,-0.15615230871726543,0.5850622406639004,0.7032258064516129,0.6441440235577567
