,acc,bal_acc,roc,eq_loss,eod,spd
0,0.79,0.7642857142857142,0.860952380952381,-0.6807017757851577,0.08435072142064381,0.05238095238095242
1,0.7,0.5857142857142857,0.6857142857142857,-0.07329297908012533,-0.10999999999999999,-0.08088235294117652
2,0.6,0.6571428571428571,0.7161904761904762,0.027334657836046383,-0.09000000000000002,-0.0944366526414212
3,0.68,0.6571428571428571,0.72,-0.07537596844070749,-0.09615384615384615,-0.15110356536502545
4,0.73,0.6452380952380952,0.848095238095238,0.14635095054371472,-0.03205128205128205,-0.04008117706747849
5,0.3,0.5,0.5,-0.025963388247850383,0.0,0.0
6,0.71,0.6785714285714286,0.7604761904761905,-0.2260005653841674,0.13,0.057172557172557203
7,0.65,0.6452380952380952,0.7345238095238096,-0.012393159885541571,0.1367521367521367,0.17199391171993916
8,0.79,0.7547619047619047,0.8152380952380952,-0.19219825048338618,-0.08000000000000007,0.018232819074333828
9,0.67,0.669047619047619,0.8204761904761905,0.16244587595092813,-0.24,-0.171575502571295
