fold,trial,model,params,roc,acc,eod,spd,eq_loss
0,0,LGBMClassifier,"{'num_leaves': 11, 'n_estimators': 196, 'min_child_samples': 6, 'max_depth': 9, 'reg_lambda': 27.28204862378522, 'learning_rate': 0.014017194340153746}",0.8038095238095238,0.73,-0.08990011098779127,-0.12857142857142867,-0.23328864492155504
0,1,LGBMClassifier,"{'num_leaves': 3, 'n_estimators': 174, 'min_child_samples': 54, 'max_depth': 3, 'reg_lambda': 0.0044549072509758834, 'learning_rate': 0.02469255721869467}",0.8071428571428572,0.75,-0.01220865704772467,-0.10952380952380958,-0.22842233328733097
1,0,LGBMClassifier,"{'num_leaves': 26, 'n_estimators': 19, 'min_child_samples': 457, 'max_depth': 6, 'reg_lambda': 0.006029758796181006, 'learning_rate': 0.21566936362944047}",0.5,0.3,0.0,0.0,-0.09083824289971121
1,1,LGBMClassifier,"{'num_leaves': 40, 'n_estimators': 55, 'min_child_samples': 264, 'max_depth': 4, 'reg_lambda': 54.981660340657555, 'learning_rate': 0.21164844824950832}",0.765952380952381,0.75,0.040000000000000036,0.1029411764705882,-0.08483582192806738
1,2,LGBMClassifier,"{'num_leaves': 24, 'n_estimators': 27, 'min_child_samples': 267, 'max_depth': 2, 'reg_lambda': 0.00997241754221798, 'learning_rate': 0.011933543861688108}",0.6571428571428571,0.3,0.0,0.0,-0.08899021969456888
1,3,LGBMClassifier,"{'num_leaves': 3, 'n_estimators': 197, 'min_child_samples': 191, 'max_depth': 4, 'reg_lambda': 106.00322861762173, 'learning_rate': 0.26922830070516923}",0.7723809523809524,0.78,0.0,0.09007352941176472,-0.009722228946604683
1,4,LGBMClassifier,"{'num_leaves': 83, 'n_estimators': 384, 'min_child_samples': 70, 'max_depth': 7, 'reg_lambda': 0.025737323059260457, 'learning_rate': 0.03998402912415568}",0.780952380952381,0.77,0.010000000000000009,0.0625,-0.050405044689711076
2,0,LGBMClassifier,"{'num_leaves': 2, 'n_estimators': 23, 'min_child_samples': 282, 'max_depth': 4, 'reg_lambda': 0.002068288706329055, 'learning_rate': 0.04107680417460743}",0.6814285714285715,0.6,-0.09000000000000002,-0.0944366526414212,0.04745308022164407
2,1,LGBMClassifier,"{'num_leaves': 8, 'n_estimators': 11, 'min_child_samples': 136, 'max_depth': 9, 'reg_lambda': 124.18723983158358, 'learning_rate': 0.03921857817312043}",0.6447619047619048,0.6,-0.09000000000000002,-0.0944366526414212,0.06243461882329815
2,2,LGBMClassifier,"{'num_leaves': 20, 'n_estimators': 18, 'min_child_samples': 7, 'max_depth': 2, 'reg_lambda': 18.652659592691364, 'learning_rate': 0.03694342597685817}",0.6566666666666667,0.3,0.0,0.0,0.06816561532419163
