number,duration,params_C,params_Kmin,params_alpha,params_max_iter,params_n_iterations
0,0 days 00:00:31.764805,0.13837930688120137,48,0.19104572364004993,10,19
1,0 days 00:00:32.653821,6.429498854881147,14,0.8679998784440466,10,17
2,0 days 00:01:22.453168,0.9571472512515252,20,0.7216412247690339,10,44
3,0 days 00:00:30.186185,0.12139014763274741,30,0.5680279371894125,10,20
4,0 days 00:00:22.171046,0.017370299176080826,18,0.28462560721681607,10,19
5,0 days 00:00:15.544832,0.015840785895820948,47,0.7067150905538622,10,13
6,0 days 00:00:34.473010,3358.2821598473806,22,0.8719780747763971,10,17
7,0 days 00:00:49.853345,8117.369097533951,47,0.371854116262221,10,26
8,0 days 00:00:29.389300,0.023091650804118312,17,0.42990531982878755,10,15
9,0 days 00:00:43.186839,0.0018082693050341448,16,0.14730477515677737,10,45
10,0 days 00:00:44.193197,0.004358974576561164,19,0.18291015746462502,10,46
11,0 days 00:00:39.968720,3.3093988831758487,36,0.4479437494642474,10,39
12,0 days 00:00:18.431282,9.921747902131942,48,0.6094824278645652,10,12
13,0 days 00:00:23.893114,0.010373610205381455,31,0.19171443765368937,10,23
14,0 days 00:00:33.527921,0.002198016619916221,26,0.6320139237578015,10,32
15,0 days 00:00:25.352090,0.007556619366183437,45,0.32425523099193854,10,23
16,0 days 00:00:23.660921,0.03151830410319913,17,0.7681802435586933,10,16
17,0 days 00:00:46.827210,0.6293548315402694,49,0.13839920529393962,10,36
18,0 days 00:00:48.984228,0.015121169424191996,30,0.5217596733438471,10,49
19,0 days 00:00:47.906475,4.3239613260282015,29,0.4925211975138706,10,47
20,0 days 00:00:53.714872,42.969796769846425,39,0.8586521215956785,10,28
21,0 days 00:00:24.417493,422.57334000180197,46,0.3337810716517671,10,12
22,0 days 00:01:03.853981,34.90112028208194,34,0.2744664201124378,10,33
23,0 days 00:00:32.664774,0.0006265929467814076,39,0.19398969426613608,10,30
24,0 days 00:00:34.005474,0.001315546921790647,37,0.7627301694512221,10,31
25,0 days 00:00:23.179326,0.007322314255364374,11,0.4826822981225346,10,20
26,0 days 00:00:18.543598,0.00042777271907376276,43,0.2487762842898154,10,15
27,0 days 00:00:47.425483,0.7693046044823824,23,0.3870782228531471,10,44
28,0 days 00:00:22.430244,0.004619184092164164,45,0.6898760091626864,10,21
29,0 days 00:00:13.328582,0.0002234550273998745,28,0.8989315557676507,10,10
30,0 days 00:01:08.125711,189.03860084415467,14,0.6391204834699981,10,36
31,0 days 00:00:22.742601,0.010932602674223328,36,0.8099934875039193,10,21
32,0 days 00:00:38.292995,1.1683689596897646,31,0.7285756632925245,10,20
33,0 days 00:00:34.250194,0.6583037040089307,10,0.7419510229778224,10,17
34,0 days 00:01:07.058744,18.310245574082142,42,0.6968043537598365,10,38
35,0 days 00:00:50.662822,2.659197095885147,21,0.25725801329545767,10,49
36,0 days 00:00:25.267769,30.078428198622632,17,0.802405625539726,10,12
37,0 days 00:00:38.786373,2542.497639180824,43,0.5113512238756288,10,26
38,0 days 00:00:18.325555,0.2316440005200822,27,0.6824271434503391,10,13
39,0 days 00:00:27.365172,0.030337196119873767,16,0.11330183244275337,10,13
40,0 days 00:00:16.044166,0.003500038163406022,38,0.5041881244990044,10,12
41,0 days 00:01:16.055389,268.24401473038523,43,0.8263753625229469,10,47
42,0 days 00:00:22.141460,0.03565304962153192,49,0.7254922333356252,10,12
43,0 days 00:00:29.353987,10.48529367057424,10,0.6888683476143674,10,21
44,0 days 00:00:50.501815,796.2092903712231,18,0.3424782061306587,10,49
45,0 days 00:00:21.123085,0.002277088740352789,30,0.4583509230775711,10,19
46,0 days 00:00:24.998062,41.30003082161781,23,0.3764852910168416,10,13
47,0 days 00:00:18.362391,0.0016274540476841769,22,0.48242498199329875,10,14
48,0 days 00:00:21.090743,1.3773555202603087,11,0.652653763327153,10,12
49,0 days 00:00:17.060791,0.0007092474545160498,12,0.3823061287594095,10,14
50,0 days 00:00:25.916454,0.1626764614575258,11,0.52156297045893,10,21
51,0 days 00:00:49.043635,13.730132536814864,14,0.5453922500610883,10,25
52,0 days 00:00:47.911333,0.2777839955275341,16,0.4680935336340756,10,44
53,0 days 00:01:23.421065,0.05991480737469855,34,0.3469184275662689,10,45
54,0 days 00:00:26.798083,141.13291935738152,15,0.7711781097224604,10,15
55,0 days 00:00:40.905684,73.04126869899135,30,0.17268791872090627,10,36
56,0 days 00:00:22.533642,0.028885333300247524,41,0.6876514131803103,10,10
57,0 days 00:00:34.369848,6942.858740997623,18,0.21461193749922458,10,27
58,0 days 00:00:19.463549,0.020146160037277587,22,0.14895529931902163,10,16
59,0 days 00:00:49.311566,0.001442366773554004,44,0.2579695838459162,10,48
60,0 days 00:00:13.928411,0.016486439182024942,13,0.453519988600218,10,11
61,0 days 00:00:37.670952,193.86969459950487,45,0.22027154284306763,10,20
62,0 days 00:00:57.740084,2.111697180755532,31,0.6263031690282714,10,30
63,0 days 00:00:14.027084,0.001667424653033172,46,0.5943633208657831,10,10
64,0 days 00:00:34.386755,0.033670667029959016,45,0.23463202083679224,10,17
65,0 days 00:00:40.542735,1.6894586657096684,45,0.1653087927065543,10,30
66,0 days 00:00:40.772395,45.46523615855986,10,0.47396957564955855,10,28
67,0 days 00:01:01.847724,0.03412975529689865,29,0.5779249843174186,10,46
68,0 days 00:00:39.469104,0.9702754064739727,46,0.32402106485314325,10,34
69,0 days 00:00:24.854743,171.58208267981024,44,0.7318589109646431,10,17
70,0 days 00:00:29.043537,0.11429329246932633,32,0.16596301475375688,10,14
71,0 days 00:00:34.766287,870.0188651929519,11,0.8321218406989641,10,18
72,0 days 00:00:27.524246,0.0008835076592147673,39,0.5666678941804066,10,27
73,0 days 00:00:38.132414,0.4871901012132094,22,0.5080135553460718,10,37
74,0 days 00:00:31.289224,3422.4674265498193,30,0.8287111446209829,10,16
75,0 days 00:00:40.864542,0.04324144814567402,40,0.287937223779958,10,20
76,0 days 00:00:40.229305,0.011226494337555903,40,0.8324044258379005,10,39
77,0 days 00:01:29.039172,685.1904188465977,38,0.6545998902681636,10,48
78,0 days 00:00:59.394629,1.0063727474751274,35,0.8067194638729922,10,31
79,0 days 00:00:47.582548,4.1979385161151805,28,0.2627054215945931,10,46
80,0 days 00:00:24.508988,0.43889162998854736,24,0.8741341877451074,10,12
81,0 days 00:00:22.730376,0.006276049968456322,45,0.3254057087128713,10,20
82,0 days 00:00:18.996458,1.1650867605578483,41,0.5746194562715717,10,15
83,0 days 00:00:13.955410,0.00045620268571897033,42,0.7950187282846071,10,11
84,0 days 00:00:41.682433,2.8044117349064184,21,0.53523988788024,10,32
85,0 days 00:00:40.160324,1.658691040828754,36,0.6406362192760853,10,20
86,0 days 00:00:22.364010,19.507188865998476,37,0.6251068779698468,10,16
87,0 days 00:00:42.881687,2.684554559070846,35,0.26555431546831665,10,41
