,pr_0,tpr_0,bal_acc_0,roc_0,pr_1,tpr_1,bal_acc_1,roc_1,tpr,bal_acc,roc
0,0.6,0.7647058823529411,0.6900452488687783,0.8099547511312217,0.6428571428571429,0.7924528301886793,0.8079911209766926,0.8479467258601554,0.7857142857142857,0.7595238095238095,0.8271428571428572
1,0.65625,0.8,0.6916666666666667,0.7375,0.6764705882352942,0.76,0.6577777777777778,0.7266666666666667,0.7714285714285715,0.6690476190476191,0.7276190476190476
2,0.4782608695652174,0.58,0.6847368421052631,0.7578947368421053,0.41935483870967744,0.6,0.7545454545454545,0.7636363636363637,0.5857142857142857,0.7095238095238096,0.7583333333333333
3,0.6129032258064516,0.75,0.7361111111111112,0.7575757575757576,0.47368421052631576,0.6538461538461539,0.7852564102564102,0.8461538461538461,0.7142857142857143,0.7571428571428571,0.7838095238095237
4,0.5342465753424658,0.7115384615384616,0.8081501831501832,0.8653846153846153,0.48148148148148145,0.6666666666666666,0.7777777777777777,0.8333333333333334,0.7,0.8,0.8538095238095238
5,0.3783783783783784,0.45454545454545453,0.5939393939393939,0.6848484848484848,0.5396825396825397,0.6041666666666666,0.6354166666666666,0.6708333333333334,0.5571428571428572,0.6285714285714286,0.6909523809523809
6,0.5675675675675675,0.66,0.6425000000000001,0.7241666666666666,0.6923076923076923,0.8,0.7333333333333334,0.7916666666666666,0.7,0.6666666666666666,0.7466666666666667
7,0.48148148148148145,0.6111111111111112,0.6944444444444444,0.7654320987654322,0.6986301369863014,0.8461538461538461,0.7564102564102564,0.8177655677655677,0.7857142857142857,0.7428571428571429,0.791904761904762
8,0.6451612903225806,0.85,0.7886363636363636,0.7772727272727273,0.6376811594202898,0.8,0.7947368421052632,0.8294736842105264,0.8142857142857143,0.7904761904761906,0.8171428571428571
9,0.43478260869565216,0.56,0.7273684210526317,0.7968421052631579,0.2903225806451613,0.4,0.6545454545454545,0.7727272727272727,0.5142857142857142,0.7071428571428571,0.7976190476190477
