number,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_lambda
98,0 days 00:00:14.561491,0.015162444888951727,11,34.94098356717338,5000,10,0.8551860145531762
99,0 days 00:00:06.576418,0.025677815489543246,5,0.44392887548653903,5000,12,1.8150257909021397
100,0 days 00:00:14.708075,0.019287503847595,19,511.3821578879922,5000,30,147.52749109836685
101,0 days 00:00:12.442667,0.013125010090882535,19,2.5633426482728146,5000,17,2.0266078507774012
102,0 days 00:00:48.122461,0.014633839706720766,18,0.0012366591529815543,5000,71,908.593308413578
103,0 days 00:00:19.707309,0.013104090988288051,7,0.012815142405404158,5000,12,104.25013764597641
104,0 days 00:01:56.954162,0.0010091717376318776,7,106.92984424712503,5000,28,1.9849474795132198
105,0 days 00:00:54.065069,0.004004858898710859,3,0.0037941734527728033,5000,71,0.003609032187635766
106,0 days 00:00:05.894633,0.11746158174290625,17,723.48643514811,5000,12,1.6442119236810697
107,0 days 00:00:02.846166,0.07554042139828632,10,0.0011489134646544452,5000,11,0.5944489296515341
108,0 days 00:00:19.876127,0.011035244262927995,14,0.25633371065032745,5000,26,63.450289455030344
109,0 days 00:00:45.557333,0.005859154639649951,6,35.45571022674188,5000,22,118.75253409479147
110,0 days 00:00:02.184228,0.1328775241086586,17,0.4715404680746937,5000,66,0.2550504068106668
111,0 days 00:00:10.358917,0.017047361868163625,18,1.7825235210451325,5000,26,0.0010480598582616545
112,0 days 00:01:16.688519,0.0017484813762992538,5,0.002100857634935491,5000,11,1.8244592520432101
113,0 days 00:01:37.114257,0.0016924067583370267,4,176.62098211136245,5000,65,0.7929405737995029
114,0 days 00:01:53.291918,0.001221859469726445,12,6.096740056242136,5000,11,0.0502600408062691
115,0 days 00:00:11.956216,0.013109911650081957,4,0.4709214895382652,5000,41,1.497426650958367
116,0 days 00:00:15.971032,0.010700251760782643,18,0.08333048026682362,5000,19,1.3138034881382017
117,0 days 00:00:03.466667,0.07108094754567505,12,20.6510195526227,5000,13,0.2644805299405602
118,0 days 00:02:35.578982,0.0013724934081322886,11,0.15967664889019878,5000,62,76.09271646460563
119,0 days 00:01:19.416697,0.0017455876949905556,6,3.141535349631636,5000,15,13.615711541780916
120,0 days 00:00:53.667730,0.002625822482180652,13,153.31187101433548,5000,91,0.01169919831049045
121,0 days 00:00:33.645578,0.00441922640205377,19,5.914790710229756,5000,29,0.08640070914496176
122,0 days 00:00:13.311643,0.018886962526891093,15,5.852021028844719,5000,81,25.712225808751022
123,0 days 00:01:30.081615,0.004511297609658162,7,0.012054556319139523,5000,38,447.45679678833267
124,0 days 00:01:57.020120,0.002669317264029888,17,859.2195305240783,5000,29,3.0782628250455404
125,0 days 00:00:20.285961,0.008218096759439998,8,18.520188639837947,5000,53,3.093076002544251
126,0 days 00:00:05.172343,0.1786032636249232,4,3.808528543846683,5000,17,292.9073989792612
127,0 days 00:00:13.669900,0.020919705315203763,15,0.008318508145348616,5000,14,60.97846328994585
128,0 days 00:00:43.896384,0.002913566145061813,16,106.61441234981129,5000,52,1.9754634773307818
129,0 days 00:00:43.790701,0.004697870841034899,3,0.03550919181125202,5000,39,7.53765247304781
130,0 days 00:00:03.819387,0.07595693511495824,18,0.005855184097461921,5000,52,0.01593793237482191
131,0 days 00:00:55.992825,0.0065078334769162515,2,4.029259353524427,5000,52,28.50973334594512
132,0 days 00:00:01.873531,0.15950214137074337,19,72.04080239416956,5000,68,28.4372122134074
133,0 days 00:00:32.649477,0.004584050057607552,13,161.8766165922854,5000,27,0.005073378118633383
134,0 days 00:00:03.337371,0.06722554715879021,19,1.0121851870323735,5000,41,3.542471484264299
135,0 days 00:00:07.261581,0.022650877222087293,12,0.009667073637500913,5000,14,0.03678205339373643
136,0 days 00:00:02.348994,0.12907732177061262,17,192.93205293259172,5000,79,1.044666082243782
137,0 days 00:02:31.358969,0.00127943867873128,19,0.27414404786941093,5000,26,173.98991268458914
138,0 days 00:01:44.826393,0.0017306551212959852,17,19.825586220805384,5000,77,20.92970412384318
139,0 days 00:00:42.994222,0.003204813598252427,19,0.05722323390037084,5000,18,4.041938360465795
140,0 days 00:01:04.287841,0.0024344863738907825,14,0.016368060639027966,5000,18,0.191530450721041
141,0 days 00:00:04.054829,0.08842528265463448,9,0.0026000481672963783,5000,89,24.887841780819304
142,0 days 00:00:42.251878,0.003698757600286135,4,27.51060858957022,5000,16,0.023104219263335633
143,0 days 00:01:05.369334,0.003234744661912773,18,0.018556717683139854,5000,35,49.26304014476021
144,0 days 00:00:01.670985,0.19324952400411152,15,4.923193369706384,5000,33,0.21322790132570527
145,0 days 00:01:05.960265,0.0030949097010765487,3,0.8000006472711487,5000,39,0.043953485402816836
146,0 days 00:00:55.331157,0.002709075145241739,12,0.1773548350879855,5000,23,0.017840226039059236
147,0 days 00:00:02.746492,0.0899526865139014,9,0.7886892389855317,5000,47,0.2181824809574622
148,0 days 00:00:27.731932,0.008623847574038708,16,0.09187645088731405,5000,10,0.0013194392578164047
149,0 days 00:01:17.969395,0.0022480660185646407,3,0.1465646588682221,5000,11,0.0010219479948616879
150,0 days 00:00:52.941034,0.0035389114302609784,3,0.0020660586585722453,5000,41,0.03975053487925038
151,0 days 00:00:50.540707,0.0019225394789907986,8,0.0021055015219391595,5000,56,0.009204778609728575
152,0 days 00:00:12.627021,0.021861799018710805,15,0.045567538794702676,5000,10,0.010724549210382676
153,0 days 00:00:01.895802,0.11081950082405301,19,0.11315391936220406,5000,21,0.0013710846125250572
154,0 days 00:01:57.410652,0.0010311876411664693,2,0.08281243608867996,5000,84,0.0011252058024743882
155,0 days 00:00:38.851446,0.004193265178551666,14,1.2439769177712414,5000,95,12.089294415529933
156,0 days 00:00:06.802596,0.043018424697647044,13,4.479699818388611,5000,19,16.238239532123583
157,0 days 00:00:02.331849,0.12210088251688385,5,0.008618341749858783,5000,54,0.023986640248871108
158,0 days 00:01:04.077920,0.0030343819164398564,19,0.0048967365011095216,5000,14,32.64077840472881
159,0 days 00:00:02.924885,0.08390956373293043,5,0.030322927333033132,5000,59,0.03224811184865812
160,0 days 00:00:18.873112,0.027737546818672725,14,0.10993829596376094,5000,39,275.0909617821495
161,0 days 00:00:03.532331,0.06503451084857124,11,2.714218225696436,5000,17,0.014929648786757899
162,0 days 00:00:01.950515,0.15129112210294526,15,0.0690967566320037,5000,33,0.5459596330844168
163,0 days 00:00:09.685933,0.04199724068163362,10,609.4353985532861,5000,38,0.01071516521247771
164,0 days 00:00:04.254106,0.03922101218924415,6,3.936343659179876,5000,62,0.005916621098322287
165,0 days 00:00:01.791625,0.1432724858730028,17,0.10650126517639277,5000,32,0.011334976834651204
166,0 days 00:00:08.875880,0.02086991996077951,4,278.1379303486978,5000,19,0.050580556214167724
167,0 days 00:01:37.230004,0.0013063899909487163,13,0.00372112266111593,5000,14,3.6694041659916605
168,0 days 00:01:30.646010,0.0013745438114970774,7,2.019226401767373,5000,72,7.578506900319505
169,0 days 00:00:20.990300,0.006364360876689432,16,34.41153491826722,5000,57,0.005436178149065138
170,0 days 00:00:06.843901,0.06655893576510391,12,0.2957757352638517,5000,10,211.56735081236553
171,0 days 00:00:04.947028,0.11145026316025501,2,31.48521827772952,5000,91,2.202448414163995
172,0 days 00:00:07.539409,0.021137206316643606,5,23.502413068099507,5000,22,0.0010934224473978598
173,0 days 00:00:03.272943,0.061601136862688845,6,0.027230153759892812,5000,64,0.2725054464385992
174,0 days 00:00:08.795690,0.03173277710389203,3,172.8928596250952,5000,37,40.47375102939691
175,0 days 00:00:03.950978,0.04900090675102982,5,173.63895848170316,5000,19,0.41628860672375556
176,0 days 00:00:04.656590,0.07632652818110905,15,0.0014336488982911277,5000,31,31.652597812604146
177,0 days 00:01:40.664097,0.003986960437140378,5,814.3952544154722,5000,12,27.025540451304085
178,0 days 00:01:01.692556,0.0029858189540041867,11,0.8584130155391341,5000,50,26.185802634720837
179,0 days 00:00:57.978003,0.0022110625981491133,10,0.39103344521245514,5000,41,0.016670264419054448
180,0 days 00:00:02.656388,0.11736611336222051,19,0.03127748600412164,5000,55,0.0017072990328413327
181,0 days 00:01:33.174177,0.003397411160430084,3,0.13390685417603174,5000,18,52.553268119421446
182,0 days 00:00:40.212535,0.00734908264501524,5,576.6427218951917,5000,19,0.23391058463288317
183,0 days 00:02:00.138285,0.0011704799984577888,4,1.537746074731426,5000,83,0.09152791857242759
184,0 days 00:00:07.664617,0.05836729803778663,6,0.5896629002931585,5000,10,211.4693188851677
185,0 days 00:00:24.795438,0.005914059117932117,6,0.15508081430114082,5000,11,0.14687049109505043
186,0 days 00:00:14.845711,0.032901104739034036,2,26.10203320236115,5000,21,0.11507035523601114
187,0 days 00:01:10.244947,0.0033122507053873693,8,35.854117541059495,5000,68,161.49181966311625
188,0 days 00:01:40.343220,0.001234524965490512,19,182.28632169631666,5000,42,0.0012983083913710779
189,0 days 00:00:19.094165,0.007594659350347478,15,0.046472945727547864,5000,47,0.13129237279798583
190,0 days 00:00:02.253221,0.10453913305670459,16,0.5681314595630708,5000,51,0.06711503812929696
191,0 days 00:01:49.222905,0.0024023517999440134,2,0.13728762629627075,5000,27,0.0035271424485009664
192,0 days 00:00:30.591678,0.005759403096631974,12,9.215999830878669,5000,44,2.579321065010095
193,0 days 00:00:03.164984,0.07983571901426241,7,0.19174016635147398,5000,91,2.314481739095062
194,0 days 00:02:38.502791,0.0021763314550214043,6,0.011463445610224119,5000,32,823.364424991752
195,0 days 00:00:06.316275,0.05583748215347505,12,38.84978614857939,5000,95,399.14081832234126
196,0 days 00:00:11.297993,0.03511093771432719,2,1.1144251122829931,5000,16,0.03076938502750074
197,0 days 00:00:15.894332,0.01574946565494048,16,508.4058647323246,5000,72,0.049848615233315685
198,0 days 00:00:36.814001,0.004807965437353275,4,15.281164885305612,5000,13,0.17315852815532898
199,0 days 00:00:03.157502,0.1761644651174475,11,4.101687623627282,5000,15,214.48659470011748
200,0 days 00:00:09.748513,0.013321508433715585,9,0.0018973371676264707,5000,79,0.003299180544611289
201,0 days 00:00:03.202519,0.14090336695876352,10,0.1679336571170746,5000,35,178.94438894433006
202,0 days 00:00:02.719948,0.07129293324071144,7,0.14509788525394404,5000,65,0.01778196627193756
203,0 days 00:00:42.256944,0.0034654854128278166,4,0.09105244978532878,5000,38,0.0010198643299184297
204,0 days 00:01:12.292271,0.00488634892408067,16,0.010509199203809412,5000,37,429.6081713749075
205,0 days 00:00:12.230197,0.04915465315006054,17,0.45165679799404496,5000,42,575.4454519000002
206,0 days 00:00:05.904938,0.03506856061398461,12,0.01437920385938504,5000,96,0.0045738848076164575
207,0 days 00:00:21.820501,0.00762049996423887,8,0.3280098435987027,5000,18,0.12876953317777812
208,0 days 00:00:24.244223,0.033922133475613486,3,22.30676526900587,5000,86,625.2722685156951
209,0 days 00:00:32.349149,0.004532671910285749,8,0.00118112126334272,5000,82,0.015782203612976824
210,0 days 00:01:09.392151,0.002911459837666269,7,92.84757865146294,5000,11,166.31608740729206
211,0 days 00:00:16.767385,0.029261808129447196,4,0.03925912591481305,5000,43,318.65838069999694
212,0 days 00:01:19.607874,0.003778144746041957,7,0.023072200038174787,5000,56,298.1501775072582
213,0 days 00:01:23.126622,0.002551882203922379,7,2.9533682384823194,5000,75,2.6611465504332505
214,0 days 00:00:50.616925,0.008632489045488643,9,210.400173343931,5000,61,778.0625851182511
215,0 days 00:00:03.899845,0.07251294656767195,11,19.873365039156806,5000,52,17.243001629219897
216,0 days 00:00:04.587880,0.04830581068826816,11,485.03725936298,5000,12,0.5699127189269046
217,0 days 00:00:02.848757,0.07559494610878476,10,13.469027897148331,5000,25,0.3175832373233739
218,0 days 00:00:39.368260,0.003938454836841676,15,1.5513224582378762,5000,51,0.5199118997943624
219,0 days 00:01:49.907920,0.0013122486333389447,7,0.006104376544268912,5000,66,0.029110411193367946
220,0 days 00:00:39.551481,0.0032869843792155498,10,0.002236270264353377,5000,48,1.5192418190548516
221,0 days 00:01:12.473950,0.0019100710630410506,19,46.95235644832112,5000,81,4.142992642253983
222,0 days 00:00:04.457150,0.03665395889779602,8,72.09534374526793,5000,31,0.04141624181990357
223,0 days 00:00:11.007136,0.1033206977607567,10,4.463372389072426,5000,45,770.7223245998115
224,0 days 00:01:53.003173,0.0014977504041290852,2,0.018400248960050283,5000,54,0.011131001221513464
225,0 days 00:01:44.023603,0.0022458779034336142,10,2.113637524644004,5000,17,103.09340650910534
226,0 days 00:00:08.440087,0.023874429438894465,15,422.4763937641706,5000,32,1.0728872085694063
227,0 days 00:02:03.627450,0.0012086022276147897,3,0.001456815810002507,5000,33,0.028089902755317215
228,0 days 00:00:05.120841,0.0339540317390431,15,0.0052997149531150345,5000,31,2.124247665206437
229,0 days 00:00:04.679901,0.04435985889134031,15,29.71961668243012,5000,77,0.0012384616374560016
230,0 days 00:00:07.592876,0.020832995275562503,17,253.5018667919759,5000,80,0.010106407170423524
231,0 days 00:00:09.040360,0.0205692456026465,13,0.1379500729595642,5000,13,0.002548176204593934
232,0 days 00:00:12.550876,0.05871515948147681,9,0.003886861792118291,5000,97,506.3657442939627
233,0 days 00:00:08.812016,0.01862754208826315,16,2.7145640820897112,5000,18,0.06243754963347305
234,0 days 00:01:30.994973,0.0021731445697516557,13,472.80732089255,5000,12,0.014789679960984663
235,0 days 00:01:26.414364,0.001681723268729576,14,5.883755313988724,5000,12,0.2786681077662739
236,0 days 00:00:12.842112,0.013619184069881714,8,0.00935148459451699,5000,20,0.04175475625495956
237,0 days 00:00:52.063986,0.0026462574988543944,8,0.023937477911530936,5000,20,0.18999970924602577
238,0 days 00:00:12.431049,0.1338746223363769,8,796.9493456823865,5000,48,895.1959408523646
239,0 days 00:00:13.473881,0.012434463138427186,18,2.1987416439528618,5000,38,2.683846551418517
240,0 days 00:00:47.358696,0.004224857232357618,3,31.465849115591705,5000,12,0.02423069706446322
241,0 days 00:00:18.467049,0.028087248417888316,15,0.004298443125440556,5000,14,635.2954870948682
242,0 days 00:01:29.520645,0.0016360293547126013,7,0.0018900982369841788,5000,10,0.0016583191663823217
243,0 days 00:00:01.501799,0.17552858622374268,18,0.0024364364804409875,5000,13,0.012026223856594598
244,0 days 00:00:15.321826,0.017577262787728237,12,26.353149354416125,5000,27,395.1257412943558
245,0 days 00:00:02.570191,0.07252865656793277,13,0.005401206248770983,5000,25,0.8825333839885845
246,0 days 00:00:22.821512,0.008060690351636476,10,149.74208537335736,5000,22,0.005770621675665149
247,0 days 00:00:04.673526,0.043241148339165245,13,0.23985740130016506,5000,80,0.04312124144064096
248,0 days 00:01:19.497287,0.0046893499817364645,3,0.005528899966258348,5000,23,161.40002109302367
249,0 days 00:00:48.542142,0.004396648487418726,3,4.939922939264345,5000,21,0.18204432353833092
250,0 days 00:00:17.806568,0.013167363757849354,10,1.9774832073769806,5000,10,0.07490391753393953
251,0 days 00:00:45.757938,0.0028342899381193017,12,0.18228497275710515,5000,31,0.6354338242846852
252,0 days 00:02:06.310322,0.0014734667611036427,3,0.001166486940384246,5000,32,0.0012971295487521845
253,0 days 00:00:06.288639,0.026285504564399285,14,7.234572481206352,5000,34,0.6794426077909806
254,0 days 00:02:12.760900,0.0010642399795871328,12,0.11659714854982393,5000,12,0.0021311171658562997
255,0 days 00:02:36.869468,0.0013699248958137919,15,34.31585862231445,5000,62,673.6974620732941
256,0 days 00:00:38.666114,0.008348221778086742,19,0.06606288526958733,5000,12,599.3665997653023
257,0 days 00:00:39.936570,0.00394008833214485,18,0.05352590449578283,5000,10,0.8104567565065612
258,0 days 00:00:04.575733,0.03782421561883356,11,3.4216527366599574,5000,52,0.3415300625257072
259,0 days 00:00:06.073995,0.07348248323579815,2,0.012606240999547684,5000,28,0.0022694784034705618
260,0 days 00:00:13.655917,0.009739872960929687,9,6.07707240379826,5000,67,4.930379882994327
261,0 days 00:00:52.250843,0.0024947192741990656,16,0.46226231506040394,5000,28,9.935520030722582
262,0 days 00:02:00.330298,0.0012307698900722766,2,0.01312428659122005,5000,21,20.555605072277032
263,0 days 00:01:18.133196,0.001623028453615201,17,0.48246920081142947,5000,48,0.014198435974639328
264,0 days 00:00:55.430250,0.004806287059818448,4,0.024688452781535947,5000,24,138.55794448006606
265,0 days 00:02:03.642265,0.00276908936291891,17,593.8530364987084,5000,25,57.41883728465416
266,0 days 00:01:58.233176,0.001361824217132023,2,1.7076621842330177,5000,46,66.94407156488582
267,0 days 00:00:14.549790,0.011234369117251099,12,0.0026424196417903167,5000,27,0.003480984315286442
268,0 days 00:00:04.136852,0.06211155854935563,10,9.606409925941437,5000,60,3.685684158332359
269,0 days 00:00:10.655978,0.034828683500760536,6,0.004366132218751886,5000,42,167.74440913186467
270,0 days 00:00:09.114048,0.08620655431820105,9,720.5181046555872,5000,11,0.3395664133371092
271,0 days 00:02:13.463396,0.001917623481921732,4,0.13332288056999375,5000,64,257.1605930596998
272,0 days 00:02:05.490692,0.0010987259801146865,18,1.2112568366717116,5000,44,0.11111552450393265
273,0 days 00:00:27.552277,0.005660718061647178,10,30.706810186835025,5000,15,2.2495574627001957
274,0 days 00:00:02.485405,0.08773329032016704,14,17.26115074493486,5000,12,0.02462461028215421
275,0 days 00:01:38.446935,0.0011897244678764532,11,26.38221266849982,5000,31,0.0012592371038987026
276,0 days 00:00:05.467672,0.03427902363920346,6,38.95050509667559,5000,10,5.933449280803615
277,0 days 00:00:01.921513,0.15747343185721677,14,0.020952857022679423,5000,12,19.890587503756713
278,0 days 00:00:03.298150,0.18246123962169067,2,13.412689501003168,5000,28,0.005099497146544513
279,0 days 00:00:30.418791,0.006740308181850262,4,532.0742931044654,5000,37,0.07942747075086891
280,0 days 00:00:03.811357,0.050140571789833784,4,4.112601836994674,5000,42,0.012346028753705472
281,0 days 00:00:01.847446,0.17977839954451943,15,9.94528360338365,5000,99,1.654179114200652
282,0 days 00:00:50.845617,0.002503908387471306,5,79.48447985170696,5000,83,0.001935990138715143
283,0 days 00:01:21.181553,0.004605522997309316,17,0.28092674064925405,5000,31,806.6310688889249
284,0 days 00:00:28.613010,0.014398152610506558,8,0.002241817104604984,5000,21,699.8794864695349
