number,duration,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda
67,0 days 00:00:03.482825,0.09267957934161489,8,266,88,0.004680564421148565,0.0024876010052831987
68,0 days 00:00:12.958497,0.031937252044276374,17,862,42,0.0012128315576621163,0.0003958878237140389
69,0 days 00:00:21.880695,0.031040990402302026,8,3029,16,0.00016541040295914438,0.00801491733787619
70,0 days 00:00:03.800330,0.03344238130150472,5,638,47,0.0013125266323933823,0.010477327702113357
71,0 days 00:00:10.970956,0.03741875718143604,19,943,23,0.04086892508131224,0.00010654891471613135
72,0 days 00:00:14.282889,0.08900522048698607,4,3440,50,0.00027093406559573746,0.003687541842994535
73,0 days 00:00:17.511363,0.01110691099985177,6,2463,81,0.00018847967915314,0.00010151604691785471
74,0 days 00:00:06.334661,0.13073774305379246,12,2515,57,0.014107205987507908,0.03663712413985225
75,0 days 00:00:20.061986,0.013201789884705965,5,3686,34,0.0013555256821311825,0.019014928994081828
76,0 days 00:00:03.224700,0.030293505147393547,15,311,58,0.0001528141989081873,0.0008520147190036732
77,0 days 00:00:03.706608,0.017361367001697978,13,373,63,0.00030499618282871173,0.02856917399552579
78,0 days 00:00:14.226885,0.014311931717904371,11,1325,31,0.07761762965674636,0.02170680379173429
79,0 days 00:00:02.586740,0.18460593047012688,5,537,35,0.0001758000564420051,0.004111223780680448
80,0 days 00:00:10.724367,0.06940109869496666,8,3944,11,0.003942753358306244,0.0014480572770271657
81,0 days 00:00:20.570638,0.01778675297540333,14,1871,26,0.006776954824455282,0.06655661755788149
82,0 days 00:00:01.541927,0.02874377844721807,2,1050,34,0.03157279683738044,0.010498482753963928
83,0 days 00:00:04.862054,0.1312943969757068,12,677,58,0.009602633673906985,0.00302333677569297
84,0 days 00:00:20.057812,0.054223093704104934,16,3115,38,0.0001926441507479271,0.0015519094432961873
85,0 days 00:00:09.304710,0.06743305798667838,10,4277,14,0.004377475236379874,0.00013087818358672635
86,0 days 00:00:05.092635,0.03454719378201954,18,401,83,0.0002900698980151539,0.0018328593178265032
87,0 days 00:00:06.795276,0.11121328378341833,15,1044,47,0.0007425509835819482,0.0006837252650461912
88,0 days 00:00:10.376291,0.013018343487119246,4,3148,17,0.08079285508614045,0.0010416429641527615
89,0 days 00:00:01.709333,0.0702904176877723,6,265,31,0.015596180680728428,0.03782665338704635
90,0 days 00:00:08.659085,0.11263650822077781,10,3581,20,0.00010730138086696914,0.00023102494172725933
91,0 days 00:00:12.061271,0.041379649035323304,4,3498,39,0.0028594198134823537,0.016888254930398906
92,0 days 00:00:10.351117,0.012102036085055707,16,921,72,0.006338126403550185,0.03977355900236246
93,0 days 00:00:24.808361,0.03380603374173942,15,2727,66,0.01259045744067638,0.0805577567278052
94,0 days 00:00:01.411187,0.17449989855168516,4,435,41,0.0014694820755683019,0.004994294123579176
95,0 days 00:00:03.646535,0.1407242297542606,2,2445,17,0.005040154552620227,0.0455185641439755
96,0 days 00:00:00.938234,0.0748986816919978,2,723,15,0.00022144925084314576,0.013502859811811414
97,0 days 00:00:02.152536,0.16691896209662663,19,347,15,0.017204727417367394,0.001255389099177097
98,0 days 00:00:16.799779,0.02804650838715333,13,1674,23,0.0037334405039787747,0.026427809739198182
99,0 days 00:00:07.708243,0.07451150121348803,16,1825,14,0.018171307795982874,0.02061517681563696
100,0 days 00:00:04.260144,0.06775120934553336,18,814,15,0.0009192865373484787,0.0012039599188477053
101,0 days 00:00:00.463810,0.01642124856057112,2,358,16,0.0005000882032484836,0.00040379089422190687
102,0 days 00:00:05.197980,0.028559094595858463,15,485,60,0.05864785970120362,0.0006868011787185046
103,0 days 00:00:01.088050,0.03559690978047314,4,283,51,0.002307136335278611,0.03195463165168495
104,0 days 00:00:11.029349,0.0484514383980863,9,1183,20,0.00017717288458531907,0.006260730573793693
105,0 days 00:00:04.651142,0.04392061215475497,16,854,10,0.015617136165787408,0.00011088682294302481
106,0 days 00:00:06.831672,0.02177596161847908,19,1047,13,0.0016293346871950121,0.00013876193465164587
107,0 days 00:00:01.950867,0.1134303191223261,12,390,10,0.005337468631890918,0.03309165106613273
108,0 days 00:00:04.906813,0.06749284700448736,16,422,47,0.0011038844722224953,0.0001698716737948264
109,0 days 00:00:07.414868,0.12277367937911542,4,2096,16,0.0030110528747826046,0.0007672314168311523
110,0 days 00:00:18.769200,0.017994185847028773,18,2353,18,0.013571321089819292,0.0009411193532781449
111,0 days 00:00:19.981409,0.04042066065615394,19,3851,12,0.002916460304011396,0.003865291605366689
112,0 days 00:00:04.836663,0.04481932891836766,12,555,17,0.0007376424820202609,0.005583915022449113
113,0 days 00:00:04.146260,0.11267979239602985,2,2516,48,0.035108929247960455,0.0001403157534901254
114,0 days 00:00:06.117097,0.13964601717827826,9,3121,28,0.01427556056467799,0.021171749642661115
115,0 days 00:00:07.843936,0.0955049475220489,11,4073,30,0.012186189537003579,0.0005737168513062897
116,0 days 00:00:03.156268,0.06862284703543545,2,1944,46,0.026877044317511114,0.014569161585010525
117,0 days 00:00:10.882236,0.027499147574010122,10,1929,14,0.016274795166120876,0.0016038475470663166
118,0 days 00:00:10.198853,0.015412773004509132,16,885,46,0.008346645862434762,0.00023467148221188432
119,0 days 00:00:02.810573,0.12562584454556347,5,998,45,0.08745480141724647,0.000654326021353174
120,0 days 00:00:07.307667,0.04253315170338278,13,688,48,0.003083683502937617,0.07255841374447426
121,0 days 00:00:06.677995,0.04609341517161291,16,557,62,0.00020945393498101778,0.022662391714794033
122,0 days 00:00:01.750604,0.050562298841524404,3,929,25,0.00037690473378695346,0.0006692148313237945
123,0 days 00:00:06.680391,0.08474382046202573,17,566,42,0.010913694642770816,0.004300483706092579
124,0 days 00:00:01.161145,0.020670438276993327,2,707,93,0.0026537378158773004,0.0006836808743162021
125,0 days 00:00:03.218555,0.07660850590858442,5,712,77,0.07719201976379672,0.0268243724688739
126,0 days 00:00:02.516681,0.030946616406037845,9,403,12,0.002337790555403729,0.014279336141606891
127,0 days 00:00:11.489804,0.1781485711204769,5,2618,10,0.00023075213486698791,0.035088677871490066
128,0 days 00:00:06.810243,0.07189219075819156,6,1262,14,0.04632543727533158,0.014400037290691307
129,0 days 00:00:07.469316,0.12151501501571761,7,4855,32,0.0067888169476345295,0.00010883395423114605
130,0 days 00:00:06.403086,0.02263709288730879,15,534,48,0.0002785605424039202,0.005910978466405818
131,0 days 00:00:01.640542,0.0426061225162378,9,369,10,0.0010046069268151029,0.07691168477522525
132,0 days 00:00:18.646851,0.026335925573367246,9,2032,49,0.00032280903057630355,0.0015687138960560297
133,0 days 00:00:05.948550,0.16831993185214977,6,1949,19,0.0024349275088733934,0.006398661967039818
134,0 days 00:00:04.194478,0.039437235594712655,10,381,30,0.04566193293939545,0.005316106320001059
135,0 days 00:00:01.663311,0.1037520347666915,4,436,90,0.004831466628156143,0.021247296962494097
136,0 days 00:00:06.186775,0.0782930070183232,4,1598,10,0.008013815641401792,0.032928049883470825
137,0 days 00:00:10.677853,0.05995156493947803,4,2521,26,0.00517178914261357,0.00016030389047405627
138,0 days 00:00:15.549739,0.08052603959969186,7,2519,18,0.00021721039664076574,0.0030314289733980723
139,0 days 00:00:02.861300,0.03970154338895562,7,390,69,0.011142398305707218,0.011107348340750587
140,0 days 00:00:06.728479,0.09068115782592372,2,4237,33,0.0001969898287129294,0.026719610429157895
141,0 days 00:00:07.002060,0.10754474150713694,18,2734,16,0.006512832414791327,0.01602706575537285
142,0 days 00:00:05.593413,0.03479571816393916,12,1016,12,0.08641193246309264,0.0001548941712686627
143,0 days 00:00:05.183268,0.013850907920193986,18,404,79,0.001798094019651153,0.00025549090763887
144,0 days 00:00:06.837735,0.05518800990794265,7,938,24,0.00843229089143488,0.000755810822267064
145,0 days 00:00:07.252606,0.02789812620400956,4,2087,82,0.009893674120934972,0.00449070759672932
146,0 days 00:00:03.815913,0.02602597141722503,12,455,22,0.00014249625698053056,0.00032519955582041706
147,0 days 00:00:03.805569,0.0489641909332876,11,582,14,0.000230641018064117,0.004142825494188874
148,0 days 00:00:09.279367,0.06750558613119784,18,1799,85,0.007419561771376053,0.0002050002433348439
149,0 days 00:00:04.586574,0.01782126907254316,7,849,11,0.00233960767585006,0.007149017420343224
150,0 days 00:00:00.640530,0.012840342023902376,2,429,12,0.0050834809115054376,0.023645974758560055
151,0 days 00:00:04.373533,0.037230721997953235,14,412,44,0.00017018701380064512,0.02037688133440239
152,0 days 00:00:32.908699,0.1615900067738541,17,4866,20,0.00014344804469605012,0.03847564952577847
153,0 days 00:00:05.330781,0.01132390336182849,14,1303,10,0.00010901260398740998,0.0008173027604740927
154,0 days 00:00:04.408631,0.1138310933740627,15,513,24,0.021978497426169488,0.014347942159066743
155,0 days 00:00:10.349330,0.012641919569487571,19,857,29,0.03473412715698453,0.03377327915643862
156,0 days 00:00:04.926535,0.01652252551380167,4,1333,32,0.0009104566173985918,0.001246491364903097
157,0 days 00:00:07.919907,0.0499279616297834,10,1730,11,0.025900786849884148,0.0696683463759894
158,0 days 00:00:04.155975,0.0549930116280057,4,1119,95,0.0012377157398247944,0.0190252720743417
159,0 days 00:00:04.394630,0.014429500223319043,19,300,67,0.0003012930770263217,0.00014941417977141838
160,0 days 00:00:14.415257,0.01563213580969152,4,4201,59,0.002280189214066793,0.0006030755154602618
161,0 days 00:00:05.021929,0.05595838167347831,15,468,81,0.0006047866047225808,0.0059153076053514
162,0 days 00:00:18.733229,0.0358451967421512,18,1964,24,0.002061634405200704,0.01622920683499352
163,0 days 00:00:04.885353,0.02998917770504825,8,800,14,0.0018853822589870693,0.016105611401350948
164,0 days 00:00:02.125802,0.015437870352361155,18,292,18,0.0006856742821034216,0.0020393786909504432
165,0 days 00:00:15.240613,0.06756133145139943,19,2473,35,0.00011420333040933991,0.0001573246477944522
166,0 days 00:00:02.380018,0.07610837879598993,10,329,17,0.008932765643403553,0.04130565717013186
167,0 days 00:00:13.543407,0.05551726447049937,17,2875,61,0.0025194012400303833,0.0035139828865620275
168,0 days 00:00:06.128186,0.014957750440630496,19,530,33,0.006545234814586791,0.044505763112665284
169,0 days 00:00:00.928130,0.03177061093810488,3,423,19,0.010125501404584842,0.03747554309058815
170,0 days 00:00:03.601151,0.03512903196296565,11,379,26,0.004617854037982588,0.000345305672075742
171,0 days 00:00:04.523391,0.16681889599642505,18,383,43,0.0004884714541878873,0.000164937883605137
172,0 days 00:00:03.887948,0.01197717736729134,14,320,29,0.018057280693227352,0.0012020964392996456
173,0 days 00:00:04.013216,0.048119778074380656,12,358,68,0.0009523018980316087,0.00018317214569068985
174,0 days 00:00:03.867044,0.17953693669205126,3,1492,16,0.00018595219548743017,0.0003531526912062524
175,0 days 00:00:53.746690,0.010139351582118348,18,4939,60,0.014423203988667217,0.0010634264586023327
176,0 days 00:00:03.327145,0.07370763809580613,12,730,10,0.0003227473661785166,0.05335213739444352
177,0 days 00:00:45.680020,0.01667249184173792,10,4539,29,0.0006331770913041158,0.04245550043381686
178,0 days 00:00:10.399586,0.06518367871233711,18,3577,92,0.008624222870006687,0.0024395870346959293
179,0 days 00:00:06.229063,0.15015578914190444,17,2433,47,0.0005815366428630398,0.0008456285368152435
180,0 days 00:00:04.029984,0.16767791525814124,19,3482,24,0.011777441830020203,0.004771422903551564
181,0 days 00:00:04.689877,0.12476385134504639,19,400,83,0.0001907379936438966,0.0002159072471482177
182,0 days 00:00:02.868684,0.0171888192964319,4,745,49,0.0075114042105312185,0.0003010921603637408
183,0 days 00:00:03.109275,0.0499364339390201,12,349,29,0.0001175889694151374,0.0007497141506445965
184,0 days 00:00:05.111384,0.034296891721342065,6,918,24,0.0034690735559721733,0.000164689548792304
185,0 days 00:00:03.769815,0.0673534462930327,16,307,57,0.05013450257845221,0.02098254785074151
186,0 days 00:00:01.341375,0.026733363308355466,4,367,11,0.00014241788776458728,0.0004981507749197394
187,0 days 00:00:05.778269,0.016622568324160095,3,2256,12,0.03693785695634304,0.012901363247598954
188,0 days 00:00:03.683532,0.020329142567904777,7,494,61,0.004358592966889835,0.04273957445854962
189,0 days 00:00:03.769150,0.17151783007875956,12,640,50,0.009181218132628953,0.00031975717755958015
190,0 days 00:00:07.443056,0.1352188169361448,5,2049,27,0.0006702869484788906,0.00033619597796885695
191,0 days 00:00:22.781863,0.01752372054313527,7,2600,53,0.0001638688174252629,0.0394147024365272
192,0 days 00:00:02.068705,0.019795162590723562,2,1264,23,0.05294956246495708,0.0018049371953701818
193,0 days 00:00:13.356157,0.01884780540488689,16,1077,49,0.0007563500461048762,0.011540043271413218
194,0 days 00:00:03.810064,0.11319324308656818,16,560,13,0.007296173864273291,0.027265520461958268
195,0 days 00:00:06.249033,0.125004880589678,4,1467,40,0.0005190446680666417,0.0004762022170780252
196,0 days 00:00:09.264337,0.016622528973394776,8,934,47,0.004399219788469625,0.03416796181025087
197,0 days 00:00:11.438927,0.04216087789203263,13,1107,22,0.019241253859604235,0.04940488373191716
198,0 days 00:00:19.830153,0.018845214286694594,16,4027,12,0.0003400211416157935,0.03951784555788673
199,0 days 00:00:04.154413,0.07001895348643207,9,755,12,0.007458996333474075,0.05936116048970013
200,0 days 00:00:01.056232,0.10627587278498038,2,642,24,0.0005694474698679374,0.08885534441383292
201,0 days 00:00:10.281039,0.08146867511305488,19,1344,18,0.0006549565623039228,0.003533534483614933
202,0 days 00:00:02.044885,0.032039608239310964,3,798,12,0.0001213846103622488,0.00215509059706105
203,0 days 00:00:03.746932,0.14359295186847856,14,2615,55,0.05161801414188851,0.00010577161639784385
204,0 days 00:00:13.960020,0.01060890063148705,13,1774,19,0.022101145667482246,0.0004555573704716591
205,0 days 00:00:23.207734,0.015462112339866982,16,2240,25,0.03297864440243408,0.00011685632929539848
206,0 days 00:00:05.864668,0.04592393907916279,9,1102,11,0.009213876765067483,0.0004930627056585858
207,0 days 00:00:06.494843,0.07176962065565365,19,1295,56,0.08585087650359412,0.0011779020940190768
208,0 days 00:00:10.399485,0.029889416406869977,10,951,46,0.005133440924427538,0.00028503094694963223
209,0 days 00:00:03.479193,0.010140282093695307,2,2307,10,0.023109042597923422,0.00011138711730486697
210,0 days 00:00:15.129047,0.010485402117173692,4,4345,32,0.000141840467194385,0.0006434230871318267
211,0 days 00:00:07.140813,0.1217781707236958,11,4521,14,0.005078916205827157,0.000556861469485617
212,0 days 00:00:04.324715,0.15159260737662744,15,2915,28,0.0545393626742334,0.00014367724882933774
213,0 days 00:00:04.690736,0.010286136374177576,18,590,17,0.00027189549086017377,0.0009501535173006765
214,0 days 00:00:01.750187,0.011315509004096322,4,325,96,0.028737463017201644,0.00047318433341798054
215,0 days 00:00:09.500971,0.014746748491876762,16,1198,21,0.0002704230492063232,0.01091973654492602
216,0 days 00:00:08.833306,0.012296570817482642,8,1106,50,0.0013761825666295654,0.053088563400133085
217,0 days 00:00:11.783738,0.04979967261336611,16,3361,10,0.020863784315029544,0.0009377474871370832
218,0 days 00:00:04.704551,0.023409992660967775,9,511,60,0.0012724654605648505,0.007473454894367477
219,0 days 00:00:06.622936,0.03602881745412909,13,696,20,0.0007093143933002059,0.005985954662196349
220,0 days 00:00:07.774692,0.12370540358496082,18,4703,30,0.0031698641294362344,0.004353010170590468
221,0 days 00:00:06.075988,0.03300770301453664,5,1298,59,0.03682095595466145,0.00030491492844702677
222,0 days 00:00:01.485551,0.1805446128659243,3,590,34,0.0077476461067578425,0.00862615310294809
223,0 days 00:00:01.457492,0.014904531848630961,7,302,10,0.020202143369835786,0.015491664829991253
224,0 days 00:00:12.963258,0.17871656767403138,19,2689,82,0.00017237282107477692,0.008012103356541941
225,0 days 00:00:03.219012,0.1921915339993391,7,492,16,0.00013270931321889982,0.0002308714932188101
226,0 days 00:00:09.948103,0.0323107228835663,6,2104,11,0.0006280328293824519,0.00020118273639108645
227,0 days 00:00:08.066700,0.012217651795702396,12,1239,14,0.013786543461358528,0.00016178407289892493
228,0 days 00:00:04.550243,0.029797256889888046,18,814,13,0.00043052022446845456,0.004282054279061704
229,0 days 00:00:28.030493,0.028954809754103864,16,3961,30,0.0007033439480695959,0.0001976049389910605
230,0 days 00:00:09.938812,0.06400938569320667,15,4568,23,0.010830226377349112,0.0023539650225020336
231,0 days 00:00:06.708453,0.0855230366152462,10,666,29,0.005266211897217338,0.00024588823164992216
232,0 days 00:00:06.065100,0.12762575317473296,15,1834,38,0.0016306258929485512,0.0003455097184937336
233,0 days 00:00:08.590151,0.06577080921582906,16,2064,17,0.049327975845239964,0.0440072427971465
234,0 days 00:00:04.040894,0.011788683575137156,5,909,31,0.09382068280926015,0.010090207127644954
235,0 days 00:00:03.098821,0.07712457947653217,6,532,23,0.004673848893579159,0.0039981405100875615
236,0 days 00:00:00.871490,0.02812106436498813,2,565,15,0.010426641321698857,0.00030544649537183856
237,0 days 00:00:04.363625,0.14683584929112917,18,2721,38,0.03534111092766212,0.018293525623380026
238,0 days 00:00:09.944353,0.0524040639715986,10,1052,40,0.01345282655777177,0.08322814496609769
239,0 days 00:00:07.859657,0.14620012509583757,12,3058,19,0.0019497312681166525,0.023216418123839778
240,0 days 00:00:36.164784,0.019612936179258904,10,4564,18,0.0001505933244300913,0.005845269919737019
241,0 days 00:00:03.881670,0.013685799785301205,13,314,64,0.03348702913400055,0.0002560836844909642
242,0 days 00:00:02.990112,0.02839943130527825,19,269,25,0.035552029267315446,0.009774850059772395
243,0 days 00:00:13.488482,0.048387054699364246,18,2090,32,0.004836926194230881,0.00035590332971325607
244,0 days 00:00:02.544703,0.14316177127869906,7,623,11,0.017066105317765114,0.002108838660872294
245,0 days 00:00:02.242116,0.022235509519101478,3,998,18,0.0006756017356790696,0.0007928390051333548
246,0 days 00:00:07.710920,0.01885517709043902,8,890,31,0.0002242087521713683,0.00010183381195130087
247,0 days 00:00:02.148936,0.014321292169776107,18,264,19,0.004533420091150376,0.0001979595428411148
248,0 days 00:00:02.231333,0.05688687464835996,18,301,17,0.00011289278693309417,0.00011071923337610008
249,0 days 00:00:13.525749,0.03957383050101809,17,1757,59,0.014164780630099544,0.001013232868325498
250,0 days 00:00:03.210948,0.10735656114159245,13,278,35,0.0025424501451262924,0.053289518119262365
251,0 days 00:00:08.479168,0.028306212328786225,11,833,89,0.0011790296237154543,0.0017220889109269182
252,0 days 00:00:08.078737,0.016188309110388575,14,641,35,0.0002495853208846681,0.003139638982050053
253,0 days 00:00:08.950947,0.024984769948207346,17,668,53,0.0007872153168084848,0.01745291794936
254,0 days 00:00:06.024167,0.10883977645222219,16,3487,31,0.041079830755912684,0.019551946761982523
255,0 days 00:00:02.621226,0.06398444711342664,8,543,11,0.00443262405527062,0.003337907250169513
256,0 days 00:00:02.602239,0.020887412748551683,8,311,25,0.01321749426762816,0.0039513309727242565
257,0 days 00:00:01.515343,0.1378549645224078,7,294,13,0.028006731739647257,0.005169613871706341
258,0 days 00:00:04.037023,0.01052332665318429,5,735,90,0.0002307800976398826,0.004257432038642202
259,0 days 00:00:26.743900,0.025465851159987937,16,1978,29,0.0021349399923170885,0.007986387331293891
260,0 days 00:00:13.156926,0.034363087584912445,12,1545,93,0.08322648627783394,0.0002428902934208494
261,0 days 00:00:09.283643,0.031011692780127813,11,788,54,0.0013065108406020997,0.0003246945510533655
262,0 days 00:00:03.439819,0.017351973673823053,10,656,11,0.05723525060609545,0.010110984878060426
263,0 days 00:00:04.277256,0.09425611597453436,18,299,75,0.0007778450795633841,0.01096689946779886
264,0 days 00:00:05.473420,0.18625935653520773,8,4196,69,0.013594530367804147,0.008073118827567657
265,0 days 00:00:09.053724,0.09991979118183651,11,730,55,0.00016215720616238617,0.0820908882649887
266,0 days 00:00:06.681761,0.018668099858465882,14,541,23,0.0002936022319539316,0.0006788121641979057
267,0 days 00:00:03.469398,0.06516122577595442,3,1133,60,0.0011617802545301245,0.09997993239413225
268,0 days 00:00:06.543367,0.035126180060449076,4,1504,11,0.0024899475416554425,0.0003766856299265399
269,0 days 00:00:09.556160,0.16899123246552133,18,3040,35,0.00012341608769441396,0.0013017588540850122
270,0 days 00:00:06.519374,0.011186272949112218,7,779,52,0.04813127394422454,0.015410492269822947
271,0 days 00:00:10.054166,0.034564356398751266,19,1187,19,0.02962556219797129,0.00013635600531454237
272,0 days 00:00:06.606310,0.04018004259795281,19,1081,15,0.0003915448685279204,0.0028235533792521283
273,0 days 00:00:29.516824,0.03401775820304201,14,2836,25,0.0003518126023558676,0.006816143471658478
274,0 days 00:00:18.198757,0.019229575297746843,11,1697,24,0.024593959349374462,0.08482918743666432
275,0 days 00:00:05.493940,0.017936084438500546,17,484,63,0.00022751759819423004,0.002036171563395263
276,0 days 00:00:03.220380,0.05442743416079145,3,1295,19,0.050995653053601986,0.04971514481431128
277,0 days 00:00:03.487855,0.13276385681677852,2,2425,35,0.013166864464403018,0.00011795595542252188
278,0 days 00:00:04.747969,0.1128764725098678,7,1496,10,0.034552451594579967,0.0016357182590190924
