,acc,roc,eq_loss,eod,spd
0,0.72,0.7744,0.17945863854189714,0.3157894736842105,0.4193548387096774
1,0.63,0.746268656716418,1.1657076798831765,0.8,0.5
2,0.77,0.841765873015873,0.5657177274065709,0.3529411764705882,0.4838709677419355
3,0.66,0.7174479166666666,0.33608708140493837,0.4285714285714286,0.5
4,0.62,0.7336309523809524,1.3707227420878578,0.4375,0.35
5,0.79,0.837138508371385,0.683604845962233,0.09313725490196079,0.19999999999999996
6,0.77,0.8109452736318409,0.12031335212867983,0.2530487804878049,0.3213166144200627
7,0.79,0.8155758498224253,0.3881745009929007,0.2137486573576799,0.7903225806451613
8,0.66,0.6954832442933463,0.20556663012458087,0.5,0.35000000000000003
9,0.78,0.8106060606060606,0.3945124935464716,0.33333333333333337,0.37037037037037035
