number,duration,params_fair_weight,params_learning_rate,params_min_child_weight,params_multiplier_learning_rate,params_n_estimators,params_num_leaves,params_reg_lambda
0,0 days 00:02:43.595011,0.01,0.0016803639012618477,5.435007796426275,0.13908488901026106,338,83,0.09590169531032197
1,0 days 00:02:46.139560,0.025,0.0016803639012618477,5.435007796426275,0.13908488901026106,338,83,0.09590169531032197
2,0 days 00:02:46.261592,0.05,0.0016803639012618477,5.435007796426275,0.13908488901026106,338,83,0.09590169531032197
3,0 days 00:02:48.301707,0.075,0.0016803639012618477,5.435007796426275,0.13908488901026106,338,83,0.09590169531032197
4,0 days 00:02:48.079316,0.1,0.0016803639012618477,5.435007796426275,0.13908488901026106,338,83,0.09590169531032197
5,0 days 00:02:44.003482,0.15,0.0016803639012618477,5.435007796426275,0.13908488901026106,338,83,0.09590169531032197
6,0 days 00:02:49.610125,0.2,0.0016803639012618477,5.435007796426275,0.13908488901026106,338,83,0.09590169531032197
7,0 days 00:02:46.961725,0.25,0.0016803639012618477,5.435007796426275,0.13908488901026106,338,83,0.09590169531032197
8,0 days 00:02:50.062813,0.3,0.0016803639012618477,5.435007796426275,0.13908488901026106,338,83,0.09590169531032197
9,0 days 00:02:41.908282,0.4,0.0016803639012618477,5.435007796426275,0.13908488901026106,338,83,0.09590169531032197
10,0 days 00:02:41.635824,0.5,0.0016803639012618477,5.435007796426275,0.13908488901026106,338,83,0.09590169531032197
11,0 days 00:02:39.963631,0.6,0.0016803639012618477,5.435007796426275,0.13908488901026106,338,83,0.09590169531032197
12,0 days 00:02:41.981316,0.8,0.0016803639012618477,5.435007796426275,0.13908488901026106,338,83,0.09590169531032197
13,0 days 00:01:27.972339,1.0,0.0016803639012618477,5.435007796426275,0.13908488901026106,338,83,0.09590169531032197
14,0 days 00:03:33.741904,0.01,0.002682786769489359,3.784333711242614,0.1950258339254283,451,75,235.18352117235582
15,0 days 00:03:33.531340,0.025,0.002682786769489359,3.784333711242614,0.1950258339254283,451,75,235.18352117235582
16,0 days 00:03:33.300182,0.05,0.002682786769489359,3.784333711242614,0.1950258339254283,451,75,235.18352117235582
17,0 days 00:03:32.739978,0.075,0.002682786769489359,3.784333711242614,0.1950258339254283,451,75,235.18352117235582
18,0 days 00:03:32.268564,0.1,0.002682786769489359,3.784333711242614,0.1950258339254283,451,75,235.18352117235582
19,0 days 00:03:33.334964,0.15,0.002682786769489359,3.784333711242614,0.1950258339254283,451,75,235.18352117235582
20,0 days 00:03:32.594920,0.2,0.002682786769489359,3.784333711242614,0.1950258339254283,451,75,235.18352117235582
21,0 days 00:03:26.418785,0.25,0.002682786769489359,3.784333711242614,0.1950258339254283,451,75,235.18352117235582
22,0 days 00:03:20.622341,0.3,0.002682786769489359,3.784333711242614,0.1950258339254283,451,75,235.18352117235582
23,0 days 00:03:31.216385,0.4,0.002682786769489359,3.784333711242614,0.1950258339254283,451,75,235.18352117235582
24,0 days 00:03:29.146042,0.5,0.002682786769489359,3.784333711242614,0.1950258339254283,451,75,235.18352117235582
25,0 days 00:03:38.813960,0.6,0.002682786769489359,3.784333711242614,0.1950258339254283,451,75,235.18352117235582
26,0 days 00:03:26.747903,0.8,0.002682786769489359,3.784333711242614,0.1950258339254283,451,75,235.18352117235582
27,0 days 00:01:57.380434,1.0,0.002682786769489359,3.784333711242614,0.1950258339254283,451,75,235.18352117235582
28,0 days 00:00:50.867316,0.01,0.0022842944551926263,1.5220953918694105,0.005266982213575487,96,87,22.71368259040845
29,0 days 00:00:46.104031,0.025,0.0022842944551926263,1.5220953918694105,0.005266982213575487,96,87,22.71368259040845
30,0 days 00:00:49.152525,0.05,0.0022842944551926263,1.5220953918694105,0.005266982213575487,96,87,22.71368259040845
31,0 days 00:00:47.847732,0.075,0.0022842944551926263,1.5220953918694105,0.005266982213575487,96,87,22.71368259040845
32,0 days 00:00:51.474806,0.1,0.0022842944551926263,1.5220953918694105,0.005266982213575487,96,87,22.71368259040845
33,0 days 00:00:46.762154,0.15,0.0022842944551926263,1.5220953918694105,0.005266982213575487,96,87,22.71368259040845
34,0 days 00:00:47.851235,0.2,0.0022842944551926263,1.5220953918694105,0.005266982213575487,96,87,22.71368259040845
35,0 days 00:00:47.987832,0.25,0.0022842944551926263,1.5220953918694105,0.005266982213575487,96,87,22.71368259040845
36,0 days 00:00:48.321379,0.3,0.0022842944551926263,1.5220953918694105,0.005266982213575487,96,87,22.71368259040845
37,0 days 00:00:46.071948,0.4,0.0022842944551926263,1.5220953918694105,0.005266982213575487,96,87,22.71368259040845
38,0 days 00:00:46.766819,0.5,0.0022842944551926263,1.5220953918694105,0.005266982213575487,96,87,22.71368259040845
39,0 days 00:00:48.251385,0.6,0.0022842944551926263,1.5220953918694105,0.005266982213575487,96,87,22.71368259040845
40,0 days 00:00:48.267589,0.8,0.0022842944551926263,1.5220953918694105,0.005266982213575487,96,87,22.71368259040845
41,0 days 00:00:26.393372,1.0,0.0022842944551926263,1.5220953918694105,0.005266982213575487,96,87,22.71368259040845
42,0 days 00:01:46.387126,0.01,0.49194670424230524,1.4972440111669052,0.02266492656332179,316,62,0.12713098667195338
43,0 days 00:01:46.406654,0.025,0.49194670424230524,1.4972440111669052,0.02266492656332179,316,62,0.12713098667195338
44,0 days 00:01:45.616655,0.05,0.49194670424230524,1.4972440111669052,0.02266492656332179,316,62,0.12713098667195338
45,0 days 00:01:37.628905,0.075,0.49194670424230524,1.4972440111669052,0.02266492656332179,316,62,0.12713098667195338
46,0 days 00:01:43.046531,0.1,0.49194670424230524,1.4972440111669052,0.02266492656332179,316,62,0.12713098667195338
47,0 days 00:01:37.679917,0.15,0.49194670424230524,1.4972440111669052,0.02266492656332179,316,62,0.12713098667195338
48,0 days 00:01:42.058662,0.2,0.49194670424230524,1.4972440111669052,0.02266492656332179,316,62,0.12713098667195338
49,0 days 00:01:38.858626,0.25,0.49194670424230524,1.4972440111669052,0.02266492656332179,316,62,0.12713098667195338
50,0 days 00:01:37.203662,0.3,0.49194670424230524,1.4972440111669052,0.02266492656332179,316,62,0.12713098667195338
51,0 days 00:01:38.281061,0.4,0.49194670424230524,1.4972440111669052,0.02266492656332179,316,62,0.12713098667195338
52,0 days 00:01:43.833668,0.5,0.49194670424230524,1.4972440111669052,0.02266492656332179,316,62,0.12713098667195338
53,0 days 00:01:43.255670,0.6,0.49194670424230524,1.4972440111669052,0.02266492656332179,316,62,0.12713098667195338
54,0 days 00:01:52.850877,0.8,0.49194670424230524,1.4972440111669052,0.02266492656332179,316,62,0.12713098667195338
55,0 days 00:01:23.600617,1.0,0.49194670424230524,1.4972440111669052,0.02266492656332179,316,62,0.12713098667195338
56,0 days 00:00:44.824284,0.01,0.010665256986815622,0.006225986967737101,0.07831795371594799,108,22,90.18817523175541
