model,thresh,bal_acc,precision,acc,recall,eod,spd,min_tpr,min_pr,min_bal_acc,min_acc,duration
0,0.0025463908673061916,0.5665609013839936,0.5778721084196589,0.5665460072395656,0.4944881364969341,0.7881269191402251,0.8293304221251819,0.21187308085977485,0.17066957787481807,0.4958050999728253,0.38280922431865827,0 days 00:00:13.775754
1,1.0,0.5,0.0,0.4998966728662947,0.0,0.0,0.0,0.0,0.0,0.5,0.3739229474101218,0 days 00:00:26.877031
2,0.9866910987162756,0.5946736168687661,0.5912146990517982,0.5946776526741728,0.6142028792322047,0.4500567757058662,0.5328924938870835,0.37719941348973607,0.2624179943767573,0.5200150626933724,0.4855570839064649,0 days 00:00:03.751920
3,0.9997703744634214,0.50055296953195,0.6729166666666667,0.5004499730016199,0.002152759264196214,0.006574827802128992,0.003542543947597086,0.0,0.0,0.49984702794049096,0.3739229474101218,0 days 00:00:15.229603
4,5.8845441733687445e-09,0.5985494621855834,0.6116468227020991,0.5985374210880681,0.5402825913089843,0.6523501140436625,0.670502878919003,0.20876099706744866,0.14305364511691887,0.5416898572551074,0.5095737246680643,0 days 00:00:04.783798
5,1.491049752399561e-308,0.5089617069456689,0.5056235140495461,0.5090261250991607,0.8206811516928819,0.3571428571428571,0.39070420338454337,0.6428571428571429,0.6092957966154566,0.4859413966682473,0.41411935953420675,0 days 00:00:24.977233
6,0.9999999999996378,0.5953818378210622,0.6361561721468916,0.5953509456099301,0.4458944281524927,0.8399014778325123,0.7815643765109569,0.0,0.0,0.5,0.3766006984866124,0 days 00:00:04.865740
7,1.1153369755396574e-31,0.5956875644791539,0.6023565113943168,0.595680925811118,0.5635630498533725,0.7959247738794336,0.7860618378000465,0.09772423025435073,0.07453994875378522,0.5187821030498807,0.4855570839064649,0 days 00:00:13.594872
8,4.294599544216485e-23,0.5054719458027398,0.5030120481927711,0.5055629995533601,0.9460810450546521,0.1119746689694876,0.143945534122224,0.8880253310305124,0.856054465877776,0.48769733082527744,0.36107128893522744,0 days 00:00:08.676379
9,3.7162247616651044e-308,0.5193265673455798,0.628061967603831,0.5192388456692598,0.09484137563316448,0.23686645791256306,0.2280316726662675,0.003582802547770658,0.0035222542427153503,0.493639379160943,0.37423601316408084,0 days 00:00:05.780292
10,3.018733512521983e-110,0.5580444994191435,0.5630052374932274,0.5580365178089315,0.5194214876033058,0.5739047717295612,0.5624944850254374,0.24464487034949267,0.24309340787328204,0.4716633014647651,0.4146685472496474,0 days 00:00:07.706449
11,inf,0.5,0.0,0.4998966728662947,0.0,0.0,0.0,0.0,0.0,0.5,0.3739229474101218,0 days 00:00:06.480187
12,4.57575963171734e-86,0.5977146992578195,0.5761504539559015,0.5977441353518789,0.7401559584110904,0.5915225313854313,0.6421261048242735,0.37166849215041986,0.2996971814581877,0.5248412053309356,0.5568260568260568,0 days 00:00:06.293608
13,3.271394809704652e-143,0.5337976016096686,0.5244059688328372,0.5338379697218167,0.7291388962943215,0.39603544474683866,0.3972808323702346,0.43517474633596387,0.4290079924776681,0.5041160757235117,0.44012167787383927,0 days 00:00:11.713235
14,8.372367909538329e-290,0.5444658632577406,0.6461060281048899,0.5443940030264851,0.19673420421221008,0.7974418638430674,0.7841497157340896,0.009645061728395077,0.005094614264919972,0.5021463121553701,0.3987194412107101,0 days 00:00:04.612832
